"brand","Series","PartNo","DetailLink","dataSheet","Package version","Power supply","PWM<br />","System frequency","Function","Watchdog timer","I/O pins","Operating Temperature","PWMs","Memory type","Serial interface","External interrupt","Program security","Series","Number of pins","Clock type","Memory size","Operating frequency","Reset active","Package name","Clock speed [max]","RAM<br />","I/O<br />pins","UART<br />","SPI<br />","Timers<br />","@ temperature<br /> range<br />","@ VDD<br /> [min]","@ VDD<br /> [max]<br />","@ product description","I<sup>2</sup>C<br />","ADC<br />","RAM"
"nxp","Microcontrollers---Product series---80C51 OTP/ROM","P80C51FA-4A","http://www.nxp.com/products/microcontrollers/product_series/80c51_otp_rom/P80C51FA-4A.html","http://www.nxp.com/documents/data_sheet/8XC54_51FX_51RX.pdf","SOT187-2","2.7~5.5","","0~16@3V?0~16@5V","8-bit 80C51 uController","","32","0~70","5-ch PCA","ROMless","UART","2","","80C51 family","44","12-clk","-","0~16","High","PLCC44","","","","","","","","","","","","","256"
"nxp","Microcontrollers---Product series---80C51 OTP/ROM","P87C51FA-4A","http://www.nxp.com/products/microcontrollers/product_series/80c51_otp_rom/P87C51FA-4A.html","http://www.nxp.com/documents/data_sheet/8XC54_51FX_51RX.pdf","SOT187-2","","5","","","","","","","","","","5","","","","","","","PLCC44","16","256","32","1","","4","B","2.7","5.5","80C51 8-bit microcontroller family 8K-64K/256-1K OTP/ROM/ROMless, low voltage 2.7V-5.5V), low power, high speed (33 MHz)","","",""
"nxp","Microcontrollers---Product series---80C51 OTP/ROM","P87C51FB-4A","http://www.nxp.com/products/microcontrollers/product_series/80c51_otp_rom/P87C51FB-4A.html","http://www.nxp.com/documents/data_sheet/8XC54_51FX_51RX.pdf","SOT187-2","","5","","","","","","","","","","5","","","","","","","PLCC44","16","256","32","1","","4","B","2.7","5.5","80C51 8-bit microcontroller family 8K-64K/256-1K OTP/ROM/ROMless, low voltage 2.7V-5.5V), low power, high speed (33 MHz)","","",""
"nxp","Microcontrollers---Product series---80C51 OTP/ROM","P87C51FB-4B","http://www.nxp.com/products/microcontrollers/product_series/80c51_otp_rom/P87C51FB-4B.html","http://www.nxp.com/documents/data_sheet/8XC54_51FX_51RX.pdf","SOT307-2","","5","","","","","","","","","","5","","","","","","","QFP44","16","256","32","1","","4","B","2.7","5.5","80C51 8-bit microcontroller family 8K-64K/256-1K OTP/ROM/ROMless, low voltage 2.7V-5.5V), low power, high speed (33 MHz)","","",""
"nxp","Microcontrollers---Product series---80C51 OTP/ROM","P87C51FB-5A","http://www.nxp.com/products/microcontrollers/product_series/80c51_otp_rom/P87C51FB-5A.html","http://www.nxp.com/documents/data_sheet/8XC54_51FX_51RX.pdf","SOT187-2","","5","","","","","","","","","","5","","","","","","","PLCC44","16","256","32","1","","4","F","2.7","5.5","80C51 8-bit microcontroller family 8K-64K/256-1K OTP/ROM/ROMless, low voltage 2.7V-5.5V), low power, high speed (33 MHz)","","",""
"nxp","Microcontrollers---Product series---80C51 OTP/ROM","P80C51SBAA","http://www.nxp.com/products/microcontrollers/product_series/80c51_otp_rom/P80C51SBAA.html","http://www.nxp.com/documents/data_sheet/8XC51_8XC52.pdf","SOT187-2","","","","","","","","","","","","","","","","","","","PLCC44","","","","","","","","","","","","",""
"nxp","Microcontrollers---Product series---80C51 OTP/ROM","P80C51SFAA","http://www.nxp.com/products/microcontrollers/product_series/80c51_otp_rom/P80C51SFAA.html","http://www.nxp.com/documents/data_sheet/8XC51_8XC52.pdf","SOT187-2","","","","","","","","","","","","","","","","","","","PLCC44","","","","","","","","","","","","",""
"nxp","Microcontrollers---Product series---80C51 OTP/ROM","P87C51SBAA","http://www.nxp.com/products/microcontrollers/product_series/80c51_otp_rom/P87C51SBAA.html","http://www.nxp.com/documents/data_sheet/8XC51_8XC52.pdf","SOT187-2","","","","","","","","","","","","","","","","","","","PLCC44","16","128","32","1","","3","B","2.7","5.5","80C51 8-bit microcontroller family 4 K/8 K OTP/ROM low voltage (2.7 V-5.5 V), low power, high speed (33 MHz), 128/256 B RAM","","",""
"nxp","Microcontrollers---Product series---80C51 OTP/ROM","P87C52SBAA","http://www.nxp.com/products/microcontrollers/product_series/80c51_otp_rom/P87C52SBAA.html","http://www.nxp.com/documents/data_sheet/8XC51_8XC52.pdf","SOT187-2","","","","","","","","","","","","","","","","","","","PLCC44","16","256","32","1","","3","B","2.7","5.5","80C51 8-bit microcontroller family 4 K/8 K OTP/ROM low voltage (2.7 V-5.5 V), low power, high speed (33 MHz), 128/256 B RAM","","",""
"nxp","Microcontrollers---Product series---80C51 OTP/ROM","P87C52SFAA","http://www.nxp.com/products/microcontrollers/product_series/80c51_otp_rom/P87C52SFAA.html","http://www.nxp.com/documents/data_sheet/8XC51_8XC52.pdf","SOT187-2","","","","","","","","","","","","","","","","","","","PLCC44","16","256","32","1","","3","F","2.7","5.5","80C51 8-bit microcontroller family 4 K/8 K OTP/ROM low voltage (2.7 V-5.5 V), low power, high speed (33 MHz), 128/256 B RAM","","",""
"nxp","Microcontrollers---Product series---80C51 OTP/ROM","P87C52UBAA","http://www.nxp.com/products/microcontrollers/product_series/80c51_otp_rom/P87C52UBAA.html","http://www.nxp.com/documents/data_sheet/8XC51_8XC52.pdf","SOT187-2","","","","","","","","","","","","","","","","","","","PLCC44","33","256","32","1","","3","B","4.5","5.5","80C51 8-bit microcontroller family 4 K/8 K OTP/ROM low voltage (2.7 V-5.5 V), low power, high speed (33 MHz), 128/256 B RAM","","",""
"nxp","Microcontrollers---Product series---80C51 OTP/ROM","P80C32X2BA","http://www.nxp.com/products/microcontrollers/product_series/80c51_otp_rom/P80C32X2BA.html","http://www.nxp.com/documents/data_sheet/P80C3XX2_8XC5XX2.pdf","SOT187-2","","","","","","","","","","","","","","","","","","","PLCC44","33","256","32","1","","3","B","2.7","5.5","80C51 8-bit microcontroller family 128/256 byte RAM ROMless low voltage (2.7 V-5.5 V), low power, high speed (33 MHz)","","",""
"nxp","Microcontrollers---Product series---80C51 OTP/ROM","P80C32X2BBD","http://www.nxp.com/products/microcontrollers/product_series/80c51_otp_rom/P80C32X2BBD.html","http://www.nxp.com/documents/data_sheet/P80C3XX2_8XC5XX2.pdf","SOT389-1","","","","","","","","","","","","","","","","","","","LQFP44","33","256","32","1","","3","B","2.7","5.5","80C51 8-bit microcontroller family 128/256 byte RAM ROMless low voltage (2.7 V-5.5 V), low power, high speed (33 MHz)","","",""
"nxp","Microcontrollers---Product series---80C51 OTP/ROM","P80C32X2FA","http://www.nxp.com/products/microcontrollers/product_series/80c51_otp_rom/P80C32X2FA.html","http://www.nxp.com/documents/data_sheet/P80C3XX2_8XC5XX2.pdf","SOT187-2","","","","","","","","","","","","","","","","","","","PLCC44","33","256","32","1","","3","F","2.7","5.5","80C51 8-bit microcontroller family 128/256 byte RAM ROMless low voltage (2.7 V-5.5 V), low power, high speed (33 MHz)","","",""
"nxp","Microcontrollers---Product series---80C51 OTP/ROM","P87C51X2BA","http://www.nxp.com/products/microcontrollers/product_series/80c51_otp_rom/P87C51X2BA.html","http://www.nxp.com/documents/data_sheet/P80C3XX2_8XC5XX2.pdf","SOT187-2","","","","","","","","","","","","","","","","","","","PLCC44","33","128","32","1","","3","B","2.7","5.5","80C51 8-bit microcontroller family 4K/8K/16K/32K ROM/OTP 128B/256B RAM low voltage (2.7 to 5.5 V), low power, high speed (30/33 MHz)","","",""
"nxp","Microcontrollers---Product series---80C51 OTP/ROM","P87C51X2BBD","http://www.nxp.com/products/microcontrollers/product_series/80c51_otp_rom/P87C51X2BBD.html","http://www.nxp.com/documents/data_sheet/P80C3XX2_8XC5XX2.pdf","SOT389-1","","","","","","","","","","","","","","","","","","","LQFP44","33","128","32","1","","3","B","2.7","5.5","80C51 8-bit microcontroller family 4K/8K/16K/32K ROM/OTP 128B/256B RAM low voltage (2.7 to 5.5 V), low power, high speed (30/33 MHz)","","",""
"nxp","Microcontrollers---Product series---80C51 OTP/ROM","P87C51X2FA","http://www.nxp.com/products/microcontrollers/product_series/80c51_otp_rom/P87C51X2FA.html","http://www.nxp.com/documents/data_sheet/P80C3XX2_8XC5XX2.pdf","SOT187-2","","","","","","","","","","","","","","","","","","","PLCC44","33","128","32","1","","3","F","2.7","5.5","80C51 8-bit microcontroller family 4K/8K/16K/32K ROM/OTP 128B/256B RAM low voltage (2.7 to 5.5 V), low power, high speed (30/33 MHz)","","",""
"nxp","Microcontrollers---Product series---80C51 OTP/ROM","P87C52X2BA","http://www.nxp.com/products/microcontrollers/product_series/80c51_otp_rom/P87C52X2BA.html","http://www.nxp.com/documents/data_sheet/P80C3XX2_8XC5XX2.pdf","SOT187-2","","","","","","","","","","","","","","","","","","","PLCC44","33","256","32","1","","3","B","2.7","5.5","80C51 8-bit microcontroller family 4 K/8 K OTP/ROM low voltage (2.7 V-5.5 V), low power, high speed (33 MHz), 128/256 B RAM","","",""
"nxp","Microcontrollers---Product series---80C51 OTP/ROM","P87C52X2BBD","http://www.nxp.com/products/microcontrollers/product_series/80c51_otp_rom/P87C52X2BBD.html","http://www.nxp.com/documents/data_sheet/P80C3XX2_8XC5XX2.pdf","SOT389-1","","","","","","","","","","","","","","","","","","","LQFP44","33","256","32","1","","3","B","2.7","5.5","80C51 8-bit microcontroller family 4 K/8 K OTP/ROM low voltage (2.7 V-5.5 V), low power, high speed (33 MHz), 128/256 B RAM","","",""
"nxp","Microcontrollers---Product series---80C51 OTP/ROM","P87C52X2FA","http://www.nxp.com/products/microcontrollers/product_series/80c51_otp_rom/P87C52X2FA.html","http://www.nxp.com/documents/data_sheet/P80C3XX2_8XC5XX2.pdf","SOT187-2","","","","","","","","","","","","","","","","","","","PLCC44","33","256","32","1","","3","F","2.7","5.5","80C51 8-bit microcontroller family 4 K/8 K OTP/ROM low voltage (2.7 V-5.5 V), low power, high speed (33 MHz), 128/256 B RAM","","",""
"nxp","Microcontrollers---Product series---80C51 OTP/ROM","P87C52X2FBD","http://www.nxp.com/products/microcontrollers/product_series/80c51_otp_rom/P87C52X2FBD.html","http://www.nxp.com/documents/data_sheet/P80C3XX2_8XC5XX2.pdf","SOT389-1","","","","","","","","","","","","","","","","","","","LQFP44","33","256","32","1","","3","F","2.7","5.5","80C51 8-bit microcontroller family 4 K/8 K OTP/ROM low voltage (2.7 V-5.5 V), low power, high speed (33 MHz), 128/256 B RAM","","",""
"nxp","Microcontrollers---Product series---80C51 OTP/ROM","P87C51MB2BA","http://www.nxp.com/products/microcontrollers/product_series/80c51_otp_rom/P87C51MB2BA.html","http://www.nxp.com/documents/data_sheet/P87C51MB2_MC2.pdf","SOT187-2","","1","","","","","","","","","","1","","","","","","","PLCC44","24","2048","34","2","1","2","B","2.7","5.5","64 kB OTP with 2 kB RAM; 80C51 8-bit microcontroller family with extended memory","","",""
"nxp","Microcontrollers---Product series---80C51 OTP/ROM","P87C51MC2BA","http://www.nxp.com/products/microcontrollers/product_series/80c51_otp_rom/P87C51MC2BA.html","http://www.nxp.com/documents/data_sheet/P87C51MB2_MC2.pdf","SOT187-2","","1","","","","","","","","","","1","","","","","","","PLCC44","24","3072","34","2","1","2","B","2.7","5.5","80C51 8-bit microcontroller family with extended memory; 96 kB OTP with 3 kB RAM","","",""
