"brand","Series","PartNo","DetailLink","dataSheet","Package version","Remarks","Standby current","Operating Temperature","I2C-bus controlled","Part type","Accuracy on-chip","Operating voltage","Assignable addresses","SMBus clock","Accuracy remote"
"nxp","Sensors---I²C temperature/voltage monitors","LM75AD","http://www.nxp.com/products/sensors/i2c_temperature_voltage_monitors/LM75AD.html","http://www.nxp.com/documents/data_sheet/LM75A.pdf","SOT96-1","Extended temperature range, temperature to digital converter, programmable threshold","3","-55~125","2.8~5.5","Supervisor, Temperature","2@-25~100?3@-55~125","2.8~5.5","8","400",""
"nxp","Sensors---I²C temperature/voltage monitors","LM75ADP","http://www.nxp.com/products/sensors/i2c_temperature_voltage_monitors/LM75ADP.html","http://www.nxp.com/documents/data_sheet/LM75A.pdf","SOT505-1","Extended temperature range, temperature to digital converter, programmable threshold","3","-55~125","2.8~5.5","Supervisor, Temperature","2@-25~100?3@-55~125","2.8~5.5","8","400",""
"nxp","Sensors---I²C temperature/voltage monitors","LM75BD","http://www.nxp.com/products/sensors/i2c_temperature_voltage_monitors/LM75BD.html","http://www.nxp.com/documents/data_sheet/LM75B.pdf","SOT96-1","Extended temperature range, temperature to digital converter, programmable threshold","1","-55~125","2.8~5.5","Supervisor, Temperature","2@-25~100?3@-55~125","2.8~5.5","8","400",""
"nxp","Sensors---I²C temperature/voltage monitors","LM75BDP","http://www.nxp.com/products/sensors/i2c_temperature_voltage_monitors/LM75BDP.html","http://www.nxp.com/documents/data_sheet/LM75B.pdf","SOT505-1","Extended temperature range, temperature to digital converter, programmable threshold","1","-55~125","2.8~5.5","Supervisor, Temperature","2@-25~100?3@-55~125","2.8~5.5","8","400",""
"nxp","Sensors---I²C temperature/voltage monitors","LM75BGD","http://www.nxp.com/products/sensors/i2c_temperature_voltage_monitors/LM75BGD.html","http://www.nxp.com/documents/data_sheet/LM75B.pdf","SOT996-2","Extended temperature range, temperature to digital converter, programmable threshold","1","-55~125","2.8~5.5","Supervisor, Temperature","2@-25~100?3@-55~125","2.8~5.5","8","400",""
"nxp","Sensors---I²C temperature/voltage monitors","LM75BTP","http://www.nxp.com/products/sensors/i2c_temperature_voltage_monitors/LM75BTP.html","http://www.nxp.com/documents/data_sheet/LM75B.pdf","SOT1069-2","","","","","","","","","",""
"nxp","Sensors---I²C temperature/voltage monitors","NE1617ADS","http://www.nxp.com/products/sensors/i2c_temperature_voltage_monitors/NE1617ADS.html","http://www.nxp.com/documents/data_sheet/NE1617A.pdf","SOT519-1","","10","0~120","3.0~5.5","","1@+60~100?2@0~125","3.0~5.5","9","100","3@+60~100?5@0~125"
"nxp","Sensors---I²C temperature/voltage monitors","PCT2075D","http://www.nxp.com/products/sensors/i2c_temperature_voltage_monitors/PCT2075D.html","http://www.nxp.com/documents/data_sheet/PCT2075.pdf","SOT96-1","","","","","","","","","",""
"nxp","Sensors---I²C temperature/voltage monitors","PCT2075DP","http://www.nxp.com/products/sensors/i2c_temperature_voltage_monitors/PCT2075DP.html","http://www.nxp.com/documents/data_sheet/PCT2075.pdf","SOT505-1","","","","","","","","","",""
"nxp","Sensors---I²C temperature/voltage monitors","PCT2075GV","http://www.nxp.com/products/sensors/i2c_temperature_voltage_monitors/PCT2075GV.html","http://www.nxp.com/documents/data_sheet/PCT2075.pdf","SOT1353-1","","","","","","","","","",""
"nxp","Sensors---I²C temperature/voltage monitors","PCT2075TP","http://www.nxp.com/products/sensors/i2c_temperature_voltage_monitors/PCT2075TP.html","http://www.nxp.com/documents/data_sheet/PCT2075.pdf","SOT1069-2","","","","","","","","","",""
"nxp","Sensors---I²C temperature/voltage monitors","SA56004AD","http://www.nxp.com/products/sensors/i2c_temperature_voltage_monitors/SA56004AD.html","http://www.nxp.com/documents/data_sheet/SA56004X.pdf","SOT96-1","","10","0~125","3.0~5.5","","2@+60~100?3@0~125","3.0~5.5","8","400","1@+60~100?3@0~125"
"nxp","Sensors---I²C temperature/voltage monitors","SA56004ADP","http://www.nxp.com/products/sensors/i2c_temperature_voltage_monitors/SA56004ADP.html","http://www.nxp.com/documents/data_sheet/SA56004X.pdf","SOT505-1","","10","0~125","3.0~5.5","","2@+60~100?3@0~125","3.0~5.5","8","400","1@+60~100?3@0~125"
