"brand","Series","PartNo","DetailLink","dataSheet","Package name","RF-IF function","RF  frequency [max]","IF bandwidth [max]","VCC [min]","VCC [max]","ICC [max]","Mixer gain [min]","Mixer Noise Figure [typ]","12 dB SINAD fdev=8 kHz","12 dB SINAD fdev=125 kHz","12 dB SINAD fdev=288 kHz","Data rate","Data rate","RSSI dynamic range [typ]","Product status"
"nxp","RF---RF-IF building blocks","SA601DK","http://www.nxp.com/products/rf/rf_if_building_blocks/SA601DK.html","http://www.nxp.com/documents/data_sheet/SA601.pdf","SSOP20","Mixer; RF Amplifier &amp","","","2.7 to 5.5V","","","","","","","","","","","Production"
"nxp","RF---RF-IF building blocks","SA602AD","http://www.nxp.com/products/rf/rf_if_building_blocks/SA602AD.html","http://www.nxp.com/documents/data_sheet/SA602A.pdf","SO8","Mixer","500","25","4.5","8","2.8@6 V","14","5@45 MHz","","","","","","","Production"
"nxp","RF---RF-IF building blocks","SA604AD","http://www.nxp.com/products/rf/rf_if_building_blocks/SA604AD.html","http://www.nxp.com/documents/data_sheet/SA604A.pdf","SO16","IF Subsystem","","25","4.5","8","4@6 V","","","-120","","","1.5","","90","Production"
"nxp","RF---RF-IF building blocks","SA604AHR","http://www.nxp.com/products/rf/rf_if_building_blocks/SA604AHR.html","http://www.nxp.com/documents/data_sheet/SA604A.pdf","HXQFN16","IF Subsystem","","25","4.5","8","4@6 V","","","-120","","","1.5","","90","Development"
"nxp","RF---RF-IF building blocks","SA605D","http://www.nxp.com/products/rf/rf_if_building_blocks/SA605D.html","http://www.nxp.com/documents/data_sheet/SA605.pdf","SO20","Single conversion receiver","500","25","4.5","8","6.55@6 V","10","5@45 MHz","-120","","","1.5","","90","Production"
"nxp","RF---RF-IF building blocks","SA605DK","http://www.nxp.com/products/rf/rf_if_building_blocks/SA605DK.html","http://www.nxp.com/documents/data_sheet/SA605.pdf","SSOP20","Single conversion receiver","500","25","4.5","8","6.55@6 V","10","5@45 MHz","-120","","","1.5","","90","Production"
"nxp","RF---RF-IF building blocks","SA606D","http://www.nxp.com/products/rf/rf_if_building_blocks/SA606D.html","http://www.nxp.com/documents/data_sheet/SA606.pdf","SO20","Single conversion receiver","150","2","2.7","6","4.2@3 V","13.5","6.2@45 MHz","-120","","","","2","90","Production"
"nxp","RF---RF-IF building blocks","SA606DK","http://www.nxp.com/products/rf/rf_if_building_blocks/SA606DK.html","http://www.nxp.com/documents/data_sheet/SA606.pdf","SSOP20","Single conversion receiver","150","2","2.7","6","4.2@3 V","13.5","6.2@45 MHz","-120","","","","2","90","Production"
"nxp","RF---RF-IF building blocks","SA612AD","http://www.nxp.com/products/rf/rf_if_building_blocks/SA612AD.html","http://www.nxp.com/documents/data_sheet/SA612A.pdf","SO8","Mixer","500","","4.5","8","3@6 V","14","5@45 MHz","","","","","","","Production"
"nxp","RF---RF-IF building blocks","SA614AD","http://www.nxp.com/products/rf/rf_if_building_blocks/SA614AD.html","http://www.nxp.com/documents/data_sheet/SA614A.pdf","SO16","IF Subsystem","","25","4.5","8","4@6 V","","","-120","","","1.5","","80","Production"
"nxp","RF---RF-IF building blocks","SA614AHR","http://www.nxp.com/products/rf/rf_if_building_blocks/SA614AHR.html","http://www.nxp.com/documents/data_sheet/SA614A.pdf","HXQFN16","IF Subsystem","","25","4.5","8","4@6 V","","","-120","","","1.5","","80","Production"
"nxp","RF---RF-IF building blocks","SA615D","http://www.nxp.com/products/rf/rf_if_building_blocks/SA615D.html","http://www.nxp.com/documents/data_sheet/SA615.pdf","SO20","Single Conversion  receiver","500","25","4.5","8","7.4@6 V","8","5@45 MHz","-120","","","1.5","","80","Production"
"nxp","RF---RF-IF building blocks","SA615DK","http://www.nxp.com/products/rf/rf_if_building_blocks/SA615DK.html","http://www.nxp.com/documents/data_sheet/SA615.pdf","SSOP20","Single conversion receiver","500","25","4.5","8","7.4@6 V","8","5@45 MHz","-120","","","1.5","","80","Production"
"nxp","RF---RF-IF building blocks","SA616BS","http://www.nxp.com/products/rf/rf_if_building_blocks/SA616BS.html","http://www.nxp.com/documents/data_sheet/SA616.pdf","HVQFN20","Single conversion receiver","150","2","2.7","6","5@3 V","11","6.8@45 MHz","-120","","","","2","80","Production"
"nxp","RF---RF-IF building blocks","SA616DK","http://www.nxp.com/products/rf/rf_if_building_blocks/SA616DK.html","http://www.nxp.com/documents/data_sheet/SA616.pdf","SSOP20","Single conversion receiver","150","2","2.7","6","5@3 V","11","6.8@45 MHz","-120","","","","2","80","Production"
"nxp","RF---RF-IF building blocks","SA630D","http://www.nxp.com/products/rf/rf_if_building_blocks/SA630D.html","http://www.nxp.com/documents/data_sheet/SA630.pdf","SO8","SPDT Switch","1000","","3","5.5","","","","","","","","","","Production"
"nxp","RF---RF-IF building blocks","SA636BS","http://www.nxp.com/products/rf/rf_if_building_blocks/SA636BS.html","http://www.nxp.com/documents/data_sheet/SA636.pdf","HVQFN20","Single conversion receiver","500","25","2.7","5.5","7.5@3 V","8","12@240 MHz","","-111","","1.2","","90","Production"
"nxp","RF---RF-IF building blocks","SA636DK","http://www.nxp.com/products/rf/rf_if_building_blocks/SA636DK.html","http://www.nxp.com/documents/data_sheet/SA636.pdf","SSOP20","Single conversion receiver","500","25","2.7","5.5","7.5@3 V","8","12@240 MHz","","-111","","1.2","","90","Production"
