"brand","Series","PartNo","DetailLink","dataSheet","Core","Clock speed [max]","DMIPS","Flash","RAM","EEPROM","GPIO","USB","USB (speed)","USB (type)","CAN","UART","I²C","SPI","ADC channels","ADC","ADC sample rate","Comparators","DAC","Timers","Timer","SCTimer / PWM","PWM","Package name","Temperature range","Temperature sensor","IOH","Supply voltage [min]","Supply voltage [max]","Product status","Demoboard","Product category"
"nxp","Microcontrollers---Product series---LPC1100","LPC1101LVUK","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1101LVUK.html","http://www.nxp.com/documents/data_sheet/LPC111XLV_LPC11XXLVUK.pdf","Cortex-M0","50","","32","2","","21","","","","","1","1","1","6","8","400 ksps","","","2; 2","16; 32","1","11","WLCSP25","-40 °C to +85 °C","","N","1.71","1.89","Production","","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1102LVUK","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1102LVUK.html","http://www.nxp.com/documents/data_sheet/LPC111XLV_LPC11XXLVUK.pdf","Cortex-M0","50","42","32","8","","21","","","","","1","1","1","6","8","400 ksps","","","2; 2","16; 32","1","11","WLCSP25","-40 °C to +85 °C","","N","1.71","1.89","Production","","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1112LVFHI33","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1112LVFHI33.html","http://www.nxp.com/documents/data_sheet/LPC111XLV_LPC11XXLVUK.pdf","Cortex-M0","50","42","16","4","","27","","","","","1","1","1","8","10","400 ksps","","","2; 2","16; 32","1","11","HVQFN32","-40 °C to +85 °C","","N","1.71","1.89","Production","","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1112LVFHN24","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1112LVFHN24.html","http://www.nxp.com/documents/data_sheet/LPC111XLV_LPC11XXLVUK.pdf","Cortex-M0","50","42","16","2","","20","","","","","1","1","1","6","10","400 ksps","","","2; 2","16; 32","1","11","HVQFN24","-40 °C to +85 °C","","N","1.71","1.89","Production","","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1114LVFHI33","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1114LVFHI33.html","http://www.nxp.com/documents/data_sheet/LPC111XLV_LPC11XXLVUK.pdf","Cortex-M0","50","42","32","8","","27","","","","","1","1","1","8","10","400 ksps","","","2; 2","16; 32","1","11","HVQFN32","-40 °C to +85 °C","","N","1.71","1.89","Production","","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1114LVFHN24","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1114LVFHN24.html","http://www.nxp.com/documents/data_sheet/LPC111XLV_LPC11XXLVUK.pdf","Cortex-M0","50","42","32","4","","20","","","","","1","1","1","6","10","400 ksps","","","2; 2","16; 32","1","11","HVQFN24","-40 °C to +85 °C","","N","1.71","1.89","Production","","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1102UK","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1102UK.html","http://www.nxp.com/documents/data_sheet/LPC1102_1104.pdf","Cortex-M0","50","","32","8","","11","","","","","1","","1","5","10","400 ksps","","","2; 2","16; 32","1","11","WLCSP","-40 °C to +85 °C","","N","1.8","3.6","Production","","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1104UK","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1104UK.html","http://www.nxp.com/documents/data_sheet/LPC1102_1104.pdf","Cortex-M0","50","","32","8","","11","","","","","1","","1","5","10","400 ksps","","","2; 2","16; 32","1","11","WLCSP","-40 °C to +85 °C","","N","1.8","3.6","Production","OM13047","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1110FD20","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1110FD20.html","http://www.nxp.com/documents/data_sheet/LPC111X.pdf","Cortex-M0","50","42","4","1","","16","","","","","1","1","1","5","10","400 ksps","","","2; 2","16; 32","1","13","SO20","-40 °C to +85 °C","","N","1.8","3.6","Production","OM11049; OM11083; OM11085; OM11086; OM13016; OM13035","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1111FDH20","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1111FDH20.html","http://www.nxp.com/documents/data_sheet/LPC111X.pdf","Cortex-M0","50","","8","2","","16","","","","","1","1","1","5","10","400 ksps","","","2; 2","16; 32","1","13","TSSOP20","-40 °C to +85 °C","","N","1.8","3.6","Production","OM11049; OM11085; OM11086; OM13035","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1111FHN33","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1111FHN33.html","http://www.nxp.com/documents/data_sheet/LPC111X.pdf","Cortex-M0","50","","8","2","","28","","","","","1","1","1","8","10","400 ksps","","","2; 2","16; 32","1","13","HVQFN32","-40 °C to +85 °C","","N","1.8","3.6","Production","OM11049; OM11085; OM11086; OM13035","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1111JHN33","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1111JHN33.html","http://www.nxp.com/documents/data_sheet/LPC111X.pdf","Cortex-M0","50","42","8","2","","28","","","","","1","1","1","8","10","400 ksps","","","2; 2","16; 32","1","13","HVQFN32","-40 °C to +105 °C","","N","1.8","3.6","Production","","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1112FD20","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1112FD20.html","http://www.nxp.com/documents/data_sheet/LPC111X.pdf","Cortex-M0","50","42","16","4","","16","","","","","1","1","1","5","10","400 ksps","","","2; 2","16; 32","1","13","SO20","-40 °C to +85 °C","","N","1.8","3.6","Production","OM11049; OM11085; OM11086; OM13035","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1112FDH20","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1112FDH20.html","http://www.nxp.com/documents/data_sheet/LPC111X.pdf","Cortex-M0","50","42","16","4","","14","","","","","1","","1","5","10","400 ksps","","","2; 2","16; 32","1","13","TSSOP20","-40 °C to +85 °C","","N","1.8","3.6","Production","OM11049; OM11085; OM11086; OM13035","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1112FDH28","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1112FDH28.html","http://www.nxp.com/documents/data_sheet/LPC111X.pdf","Cortex-M0","50","42","16","4","","22","","","","","1","1","1","6","10","400 ksps","","","2; 2","16; 32","1","13","TSSOP28","-40 °C to +85 °C","","N","1.8","3.6","Production","OM11049; OM11085; OM13035","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1112FHI33","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1112FHI33.html","http://www.nxp.com/documents/data_sheet/LPC111X.pdf","Cortex-M0","50","42","16","2","","28","","","","","1","1","1","8","10","400 ksps","","","2; 2","16; 32","1","13","HVQFN32","-40 °C to +85 °C","","N","1.8","3.6","Production","OM11049; OM11085; OM11086; OM13035","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1112FHN24","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1112FHN24.html","http://www.nxp.com/documents/data_sheet/LPC111X.pdf","Cortex-M0","50","42","16","4","","19","","","","","1","1","1","6","10","400 ksps","","","2; 2","16; 32","1","13","HVQFN24","-40 °C to +85 °C","","N","1.8","3.6","Production","OM11049; OM11085; OM11086; OM13035","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1112FHN33","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1112FHN33.html","http://www.nxp.com/documents/data_sheet/LPC111X.pdf","Cortex-M0","50","","16","2","","28","","","","","1","1","1","8","10","400 ksps","","","2; 2","16; 32","1","13","HVQFN32","-40 °C to +85 °C","","N","1.8","3.6","Production","OM11049; OM11085; OM11086; OM13035","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1112JHI33","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1112JHI33.html","http://www.nxp.com/documents/data_sheet/LPC111X.pdf","Cortex-M0","50","42","16","2","","28","","","","","1","1","1","8","10","400 ksps","","","2; 2","16; 32","1","13","HVQFN32","-40 °C to +105 °C","","N","1.8","3.6","Production","","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1112JHN33","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1112JHN33.html","http://www.nxp.com/documents/data_sheet/LPC111X.pdf","Cortex-M0","50","42","16","2","","28","","","","","1","1","1","8","10","400 ksps","","","2; 2","16; 32","1","13","HVQFN32","-40 °C to +105 °C","","N","1.8","3.6","Production","","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1113FBD48","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1113FBD48.html","http://www.nxp.com/documents/data_sheet/LPC111X.pdf","Cortex-M0","50","42","24","8","","42","","","","","1","1","2","8","10","400 ksps","","","2; 2","16; 32","1","13","LQFP48","-40 °C to +85 °C","","N","1.8","3.6","Production","OM11049; OM11085; OM11086; OM13035","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1113FHN33","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1113FHN33.html","http://www.nxp.com/documents/data_sheet/LPC111X.pdf","Cortex-M0","50","42","24","4","","28","","","","","1","1","1","8","10","400 ksps","","","2; 2","16; 32","1","13","HVQFN32","-40 °C to +85 °C","","N","1.8","3.6","Production","OM11049; OM11085; OM11086; OM13035","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1113JBD48","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1113JBD48.html","http://www.nxp.com/documents/data_sheet/LPC111X.pdf","Cortex-M0","50","42","24","8","","42","","","","","1","1","2","8","10","400 ksps","","","2; 2","16; 32","1","13","LQFP48","-40 °C to +105 °C","","N","1.8","3.6","Production","","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1113JHN33","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1113JHN33.html","http://www.nxp.com/documents/data_sheet/LPC111X.pdf","Cortex-M0","50","42","24","4","","28","","","","","1","1","1","8","10","400 ksps","","","2; 2","16; 32","1","13","HVQFN32","-40 °C to +105 °C","","N","1.8","3.6","Production","","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1114FBD48","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1114FBD48.html","http://www.nxp.com/documents/data_sheet/LPC111X.pdf","Cortex-M0","50","42","32","8","","42","","","","","1","1","2","8","10","400 ksps","","","2; 2","16; 32","1","13","LQFP48","-40 °C to +85 °C","","N","1.8","3.6","Production","OM11049; OM11085; OM11086; OM13035","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1114FDH28","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1114FDH28.html","http://www.nxp.com/documents/data_sheet/LPC111X.pdf","Cortex-M0","50","42","32","4","","22","","","","","1","1","1","6","10","400 ksps","","","2; 2","16; 32","1","13","TSSOP28","-40 °C to +85 °C","","N","1.8","3.6","Production","OM11049; OM11085; OM11086; OM13035","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1114FHI33","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1114FHI33.html","http://www.nxp.com/documents/data_sheet/LPC111X.pdf","Cortex-M0","50","42","32","4","","28","","","","","1","1","1","8","10","400 ksps","","","2; 2","16; 32","1","13","HVQFN32","-40 °C to +85 °C","","N","1.8","3.6","Production","OM11049; OM11085; OM11086; OM13035","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1114FHN33","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1114FHN33.html","http://www.nxp.com/documents/data_sheet/LPC111X.pdf","Cortex-M0","50","42","32","4","","28","","","","","1","1","1","8","10","400 ksps","","","2; 2","16; 32","1","13","HVQFN32","-40 °C to +85 °C","","N","1.8","3.6","Production","OM11049; OM11085; OM11086; OM13035","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1114FN28","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1114FN28.html","http://www.nxp.com/documents/data_sheet/LPC111X.pdf","Cortex-M0","50","42","32","4","","22","","","","","1","1","1","6","10","400 ksps","","","2; 2","16; 32","1","13","DIP28","-40 °C to +85 °C","","N","1.8","3.6","Production","OM11049; OM11085; OM11086; OM13035","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1114JBD48","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1114JBD48.html","http://www.nxp.com/documents/data_sheet/LPC111X.pdf","Cortex-M0","50","42","32","8","","42","","","","","1","1","2","8","10","400 ksps","","","2; 2","16; 32","1","13","LQFP48","-40 °C to +105 °C","","N","1.8","3.6","Production","","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1114JHI33","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1114JHI33.html","http://www.nxp.com/documents/data_sheet/LPC111X.pdf","Cortex-M0","50","42","32","4","","28","","","","","1","1","1","8","10","400 ksps","","","2; 2","16; 32","1","13","HVQFN32","-40 °C to +105 °C","","N","1.8","3.6","Production","","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1114JHN33","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1114JHN33.html","http://www.nxp.com/documents/data_sheet/LPC111X.pdf","Cortex-M0","50","42","32","4","","28","","","","","1","1","1","8","10","400 ksps","","","2; 2","16; 32","1","13","HVQFN32","-40 °C to +105 °C","","N","1.8","3.6","Production","","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1115FBD48","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1115FBD48.html","http://www.nxp.com/documents/data_sheet/LPC111X.pdf","Cortex-M0","50","42","64","8","","42","","","","","1","1","2","8","10","400 ksps","","","2; 2","16; 32","1","13","LQFP48","-40 °C to +85 °C","","N","1.8","3.6","Production","","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1115FET48","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1115FET48.html","http://www.nxp.com/documents/data_sheet/LPC111X.pdf","Cortex-M0","50","42","64","8","","42","","","","","1","1","2","8","10","400 ksps","","","2; 2","16; 32","1","13","TFBGA48","-40 °C to +85 °C","","N","1.8","3.6","Production","","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1115JBD48","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1115JBD48.html","http://www.nxp.com/documents/data_sheet/LPC111X.pdf","Cortex-M0","50","42","64","8","","42","","","","","1","1","2","8","10","400 ksps","","","2; 2","16; 32","1","13","LQFP48","-40 °C to +105 °C","","N","1.8","3.6","Production","","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1115JET48","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1115JET48.html","http://www.nxp.com/documents/data_sheet/LPC111X.pdf","Cortex-M0","50","42","64","8","","42","","","","","1","1","2","8","10","400 ksps","","","2; 2","16; 32","1","13","TFBGA48","-40 °C to +105 °C","","N","1.8","3.6","Production","","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1124JBD48","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1124JBD48.html","http://www.nxp.com/documents/data_sheet/LPC112X.pdf","Cortex-M0","50","42","","8","","38","","","","","3","1","","8","12","2 Msps","","","","","1","","LQFP48","-40 °C to +105 °C","","N","1.8","3.6","Production","","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC1125JBD48","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC1125JBD48.html","http://www.nxp.com/documents/data_sheet/LPC112X.pdf","Cortex-M0","50","42","","8","","38","","","","","3","1","","8","","2 Msps","","","","","1","","LQFP48","-40 °C to +105 °C","","N","1.8","3.6","Production","OM13080","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC11A02UK","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC11A02UK.html","http://www.nxp.com/documents/data_sheet/LPC11AXX.pdf","Cortex-M0","50","42","16","4","2","18","","","","","1","1","1","8","10","400 ksps","1","10","2; 2","16; 32","1","11","WLCSP","-40 °C to +85 °C","1","N","2.6","3.6","Production","","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC11A04UK","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC11A04UK.html","http://www.nxp.com/documents/data_sheet/LPC11AXX.pdf","Cortex-M0","50","42","32","8","4","18","","","","","1","1","1","8","10","400 ksps","1","10","2; 2","16; 32","1","11","WLCSP","-40 °C to +85 °C","1","N","1.8","3.6","Production","","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC11A11FHN33","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC11A11FHN33.html","http://www.nxp.com/documents/data_sheet/LPC11AXX.pdf","Cortex-M0","50","42","8","2","0.5","28","","","","","1","1","2","8","10","400 ksps","1","10","2; 2","16; 32","1","11","HVQFN32","-40 °C to +85 °C","1","N","1.8","3.6","Production","OM13025","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC11A12FBD48","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC11A12FBD48.html","http://www.nxp.com/documents/data_sheet/LPC11AXX.pdf","Cortex-M0","50","42","16","4","1","42","","","","","1","1","2","8","10","400 ksps","1","10","2; 2","16; 32","1","11","LQFP48","-40 °C to +85 °C","1","N","1.8","3.6","Production","OM13025","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC11A12FHN33","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC11A12FHN33.html","http://www.nxp.com/documents/data_sheet/LPC11AXX.pdf","Cortex-M0","50","42","16","4","1","28","","","","","1","1","2","8","10","400 ksps","1","10","2; 2","16; 32","1","11","HVQFN32","-40 °C to +85 °C","1","N","1.8","3.6","Production","OM13025","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC11A13FHI33","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC11A13FHI33.html","http://www.nxp.com/documents/data_sheet/LPC11AXX.pdf","Cortex-M0","50","42","24","6","2","28","","","","","1","1","2","8","10","400 ksps","1","10","2; 2","16; 32","1","11","HVQFN32","-40 °C to +85 °C","1","N","1.8","3.6","Production","OM13025","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC11A13JHI33","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC11A13JHI33.html","No full datasheet available","Cortex-M0","50","42","24","6","2","28","","","","","1","1","2","8","10","400 ksps","1","10","2; 2","16; 32","1","11","HVQFN32","-40 °C to +105 °C","1","N","1.8","3.6","Production","","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC11A14FBD48","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC11A14FBD48.html","http://www.nxp.com/documents/data_sheet/LPC11AXX.pdf","Cortex-M0","50","42","32","8","4","42","","","","","1","1","2","8","10","400 ksps","1","10","2; 2","16; 32","1","11","LQFP48","-40 °C to +85 °C","1","N","1.8","3.6","Production","OM13025","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC11A14FHN33","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC11A14FHN33.html","http://www.nxp.com/documents/data_sheet/LPC11AXX.pdf","Cortex-M0","50","42","32","8","4","28","","","","","1","1","2","8","10","400 ksps","1","10","2; 2","16; 32","1","11","HVQFN32","-40 °C to +85 °C","1","N","1.8","3.6","Production","OM13025","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC11A14JBD48","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC11A14JBD48.html","No full datasheet available","Cortex-M0","50","42","32","8","4","42","","","","","1","1","2","8","10","400 ksps","1","10","2; 2","16; 32","1","11","LQFP48","-40 °C to +105 °C","1","N","1.8","3.6","Production","","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC11C12FBD48","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC11C12FBD48.html","http://www.nxp.com/documents/data_sheet/LPC11CX2_CX4.pdf","Cortex-M0","50","42","16","8","","40","","","","1","1","1","2","8","10","400 ksps","","","2; 2","16; 32","1","11","LQFP48","-40 °C to +85 °C","","N","1.8","3.6","Production","OM13003; OM13004; OM13012","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC11C14FBD48","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC11C14FBD48.html","http://www.nxp.com/documents/data_sheet/LPC11CX2_CX4.pdf","Cortex-M0","50","42","32","8","","40","","","","1","1","1","2","8","10","400 ksps","","","2; 2","16; 32","1","11","LQFP48","-40 °C to +85 °C","","N","1.8","3.6","Production","OM13003; OM13004; OM13012","030-LPC1100-"
