"brand","Series","PartNo","DetailLink","dataSheet","Package version","Operating Temperature","PWMs","I2C-bus interface","Reset input pin","I2C-bus","Operating voltage","Max Sink Current per bit","No of Addresses","Max Sink Current, per package","Number of bits"
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9530D","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9530D.html","http://www.nxp.com/documents/data_sheet/PCA9530.pdf","SOT96-1","-40~85","2 (160 Hz to 1.6 sec)","","yes","400","2.3~5.5","25","2","50","2"
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9530DP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9530DP.html","http://www.nxp.com/documents/data_sheet/PCA9530.pdf","SOT505-1","-40~85","2 (160 Hz to 1.6 sec)","","yes","400","2.3~5.5","25","2","50","2"
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9531BS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9531BS.html","http://www.nxp.com/documents/data_sheet/PCA9531.pdf","SOT629-1","-40~85","2 (160 Hz to 1.6 sec)","","yes","400","2.3~5.5","25","8","100","8"
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9531D","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9531D.html","http://www.nxp.com/documents/data_sheet/PCA9531.pdf","SOT109-1","-40~85","2 (160 Hz to 1.6 sec)","","yes","400","2.3~5.5","25","8","100","8"
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9531PW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9531PW.html","http://www.nxp.com/documents/data_sheet/PCA9531.pdf","SOT403-1","-40~85","2 (160 Hz to 1.6 sec)","","yes","400","2.3~5.5","25","8","100","8"
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9532BS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9532BS.html","http://www.nxp.com/documents/data_sheet/PCA9532.pdf","SOT616-1","-40~85","2 (160 Hz to 1.6 sec)","","yes","400","2.3~5.5","25","8","200","16"
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9532D","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9532D.html","http://www.nxp.com/documents/data_sheet/PCA9532.pdf","SOT137-1","-40~85","2 (160 Hz to 1.6 sec)","","yes","400","2.3~5.5","25","8","200","16"
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9532PW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9532PW.html","http://www.nxp.com/documents/data_sheet/PCA9532.pdf","SOT355-1","-40~85","2 (160 Hz to 1.6 sec)","","yes","400","2.3~5.5","25","8","200","16"
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9533D","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9533D.html","http://www.nxp.com/documents/data_sheet/PCA9533.pdf","SOT96-1","","","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9533DP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9533DP.html","http://www.nxp.com/documents/data_sheet/PCA9533.pdf","SOT505-1","","","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9550D","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9550D.html","http://www.nxp.com/documents/data_sheet/PCA9550.pdf","SOT96-1","-40~85","2 (40 Hz to 6.4 sec)","","yes","400","2.3~5.5","25","2","50","2"
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9550DP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9550DP.html","http://www.nxp.com/documents/data_sheet/PCA9550.pdf","SOT505-1","-40~85","2 (40 Hz to 6.4 sec)","","yes","400","2.3~5.5","25","2","50","2"
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9551BS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9551BS.html","http://www.nxp.com/documents/data_sheet/PCA9551.pdf","SOT629-1","-40~85","2 (40 Hz to 6.4 sec)","","yes","400","2.3~5.5","25","8","100","8"
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9551D","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9551D.html","http://www.nxp.com/documents/data_sheet/PCA9551.pdf","SOT109-1","-40~85","2 (40 Hz to 6.4 sec)","","yes","400","2.3~5.5","25","8","100","8"
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9551PW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9551PW.html","http://www.nxp.com/documents/data_sheet/PCA9551.pdf","SOT403-1","-40~85","2 (40 Hz to 6.4 sec)","","yes","400","2.3~5.5","25","8","100","8"
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9552BS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9552BS.html","http://www.nxp.com/documents/data_sheet/PCA9552.pdf","SOT616-1","-40~85","2 (40 Hz to 6.4 sec)","","yes","400","2.3~5.5","25","8","200","16"
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9552D","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9552D.html","http://www.nxp.com/documents/data_sheet/PCA9552.pdf","SOT137-1","-40~85","2 (40 Hz to 6.4 sec)","","yes","400","2.3~5.5","25","8","200","16"
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9552PW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9552PW.html","http://www.nxp.com/documents/data_sheet/PCA9552.pdf","SOT355-1","-40~85","2 (40 Hz to 6.4 sec)","","yes","400","2.3~5.5","25","8","200","16"
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9553D","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9553D.html","http://www.nxp.com/documents/data_sheet/PCA9553.pdf","SOT96-1","","","","","","","","","",""
