"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","No of protected lines","Rline [typ] (Ohm)","VRWM (V)","Cd [typ] (pF)","Ls(ch) [typ] (nH)","VESD IEC61000-4-2 (kV)","IRM [typ] ( µA)","VBR [min] (V)","S21 -3dB  (MHz)"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---LCD and camera protection and filtering","IP3088CX5","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/lcd_and_camera_protection_and_filtering/IP3088CX5.html","http://www.nxp.com/documents/data_sheet/IP3088CX5_CX10_CX15_CX20.pdf","OL-IP3088CX5","WLCSP","0.96 x 1.28 x 0.65","2","18","5.6","65","40","15","0.1","5.8","175"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---LCD and camera protection and filtering","IP3088CX10","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/lcd_and_camera_protection_and_filtering/IP3088CX10.html","http://www.nxp.com/documents/data_sheet/IP3088CX5_CX10_CX15_CX20.pdf","OL-IP3088CX10","WLCSP","1.96 x 1.28 x 0.65","4","18","5.6","65","40","15","0.1","5.8","175"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---LCD and camera protection and filtering","IP3088CX15","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/lcd_and_camera_protection_and_filtering/IP3088CX15.html","http://www.nxp.com/documents/data_sheet/IP3088CX5_CX10_CX15_CX20.pdf","OL-IP3088CX15","WLCSP","2.96 x 1.28 x 0.65","6","18","5.6","65","40","15","0.1","5.8","175"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---LCD and camera protection and filtering","IP3088CX20","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/lcd_and_camera_protection_and_filtering/IP3088CX20.html","http://www.nxp.com/documents/data_sheet/IP3088CX5_CX10_CX15_CX20.pdf","OL-IP3088CX20","WLCSP","3.96 x 1.28 x 0.65","8","18","5.6","65","40","15","0.1","5.8","175"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---LCD and camera protection and filtering","IP3253CZ8-4-TTL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/lcd_and_camera_protection_and_filtering/IP3253CZ8-4-TTL.html","http://www.nxp.com/documents/data_sheet/IP3253_IP3254-TTL.pdf","SOT1166-1","DFN1714-8","1.7 x 1.35 x 0.55","4","8","5.6","43","12","15","0.1","5.8","175"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---LCD and camera protection and filtering","IP3253CZ12-6-TTL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/lcd_and_camera_protection_and_filtering/IP3253CZ12-6-TTL.html","http://www.nxp.com/documents/data_sheet/IP3253_IP3254-TTL.pdf","SOT1167-1","DFN2514-12","2.5 x 1.35 x 0.55","6","8","5.6","43","12","15","0.1","5.8","175"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---LCD and camera protection and filtering","IP3253CZ16-8-TTL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/lcd_and_camera_protection_and_filtering/IP3253CZ16-8-TTL.html","http://www.nxp.com/documents/data_sheet/IP3253_IP3254-TTL.pdf","SOT1168-1","DFN3314-16","3.3 x 1.35 x 0.55","8","8","5.6","43","12","15","0.1","5.8","175"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---LCD and camera protection and filtering","IP4035CX24","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/lcd_and_camera_protection_and_filtering/IP4035CX24.html","http://www.nxp.com/documents/data_sheet/IP4035CX24.pdf","OL-IP4035CX24","WLCSP","2.45 x 2.41 x 0.65","10","1000","","50","","","","","22"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---LCD and camera protection and filtering","IP4041CX25","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/lcd_and_camera_protection_and_filtering/IP4041CX25.html","http://www.nxp.com/documents/data_sheet/IP4041CX25.pdf","OL-IP4041CX25","WLCSP","2.41 x 2.41 x 0.65","10","200","5.5","50","0.01","20","0.025","6","105"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---LCD and camera protection and filtering","IP4251CZ8-4-TTL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/lcd_and_camera_protection_and_filtering/IP4251CZ8-4-TTL.html","http://www.nxp.com/documents/data_sheet/IP4251_52_53_54-TTL.pdf","SOT1166-1","DFN1714-8","1.7 x 1.35 x 0.55","4","100","5.6","15","0.01","15","0.1","5.8","240"
