"brand","Series","PartNo","DetailLink","dataSheet","Category","Product category","Supported standards","Package name","Package version","Low power modes","Supply voltage [min]","Supply voltage [max]","Data rate [min]","Data rate [max]","CAN channels","LIN channels","FlexRay Channels","Voltage on bus pins [min]","Voltage on bus pins [max]","VESD IEC61000-4-2 (kV)","VESD HBM on bus pins (+/- kV)","VIO option available","Tvj [max]","Rth(j-a)","Under-voltage detection","TX Dominant Time out","Over-temperature detection","INH / Wake Pin","Min High Input Levels (V)","No of pins","Application","Recommended Version"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---LIN transceivers","TJA1020T","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/lin_transceivers/TJA1020T.html","http://www.nxp.com/documents/data_sheet/TJA1020.pdf","LIN","LIN Transceiver","LIN1.3; SAE J2602","SO8","SOT96-1","Sleep Mode; Standby Mode","5","27","2.4","20","0","1","0","-27.0","40.0","","4","No","-40~150","145","No","Yes","No","Yes","2","8","Automotive; Industrial","TJA1020T/CM"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---LIN transceivers","TJA1021T","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/lin_transceivers/TJA1021T.html","http://www.nxp.com/documents/data_sheet/TJA1021.pdf","LIN","LIN Transceiver","LIN 2.1; SAE J2602","SO8","SOT96-1","Sleep Mode; Standby Mode","5.5","27","1","20","0","1","0","-40.0","40.0","6","8","No","-40~150","145","No","Yes","No","Yes","2","8","Automotive; Industrial","TJA1021T/10/CM or TJA1021T/20/CM"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---LIN transceivers","TJA1021TK","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/lin_transceivers/TJA1021TK.html","http://www.nxp.com/documents/data_sheet/TJA1021.pdf","LIN","LIN Transceiver","LIN 2.1; SAE J2602","HVSON8","SOT782-1","Sleep Mode; Standby Mode","5.5","27","1","20","0","1","0","-40.0","40.0","6","8","No","-40~150","145","No","Yes","No","Yes","2","8","Automotive; Industrial","TJA1021TK/10/C or TJA1021TK/20/C"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---LIN transceivers","TJA1022T","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/lin_transceivers/TJA1022T.html","http://www.nxp.com/documents/data_sheet/TJA1022.pdf","LIN","LIN Transceiver","LIN 2.0; LIN 2.1; LIN 2.2; LIN 2.2A; SAE J2602","SO14","SOT108-1","Sleep Mode; Standby Mode","5","18","2.4","20","0","2","0","-42.0","42.0","8","8","No","-40~150","145","Yes","Yes","Yes","No","2","14","Automotive; Industrial","TJA1022T"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---LIN transceivers","TJA1022TK","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/lin_transceivers/TJA1022TK.html","http://www.nxp.com/documents/data_sheet/TJA1022.pdf","LIN","LIN Transceiver","LIN 2.0; LIN 2.1; LIN 2.2; LIN 2.2A; SAE J2602","HVSON14","SOT1086-2","Sleep Mode; Standby Mode","5","18","2.4","20","0","2","0","-42.0","42.0","8","8","No","-40~150","145","Yes","Yes","Yes","No","2","14","Automotive; Industrial","TJA1022TK"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---LIN transceivers","TJA1024HG","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/lin_transceivers/TJA1024HG.html","http://www.nxp.com/documents/data_sheet/TJA1024.pdf","","","","DHVQFN24","SOT815-1","","","","","","","","","","","","","","","","","","","","","24","",""
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---LIN transceivers","TJA1027T","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/lin_transceivers/TJA1027T.html","http://www.nxp.com/documents/data_sheet/TJA1027.pdf","LIN","LIN Transceiver","LIN 2.0; LIN 2.1; LIN 2.2; LIN 2.2A; SAE J2602","SO8","SOT96-1","Sleep Mode; Standby Mode","5","18","0","20","0","1","0","-42.0","42.0","8","8","No","-40~150","145","Yes","No","Yes","No","2","8","Automotive; Industrial","TJA1027T/20"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---LIN transceivers","TJA1027TK","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/lin_transceivers/TJA1027TK.html","http://www.nxp.com/documents/data_sheet/TJA1027.pdf","LIN","LIN Transceiver","LIN 2.0; LIN 2.1; LIN 2.2; LIN 2.2A; SAE J2602","HVSON8","SOT782-1","Sleep Mode; Standby Mode","5","18","0","20","0","1","0","-42.0","42.0","8","8","No","-40~150","145","Yes","No","Yes","No","2","8","Automotive; Industrial","TJA1027TK/20"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---LIN transceivers","TJA1028T","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/lin_transceivers/TJA1028T.html","http://www.nxp.com/documents/data_sheet/TJA1028.pdf","LIN; SBC","LIN Transceiver; SBC","LIN 2.0; LIN 2.1; SAE J2602","SO8","SOT96-1","Sleep Mode; Standby Mode","5.5","28","2.4","20","0","1","0","-40.0","40.0","8","8","No","-40~150","132","No","Yes","Yes","No","","8","Automotive; Industrial","TJA1028T/3V3/10 or TJA1028T/5V0/10 or TJA1028T/3V3/20/1 or TJA1028T/5V0/20/1"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---LIN transceivers","TJA1028TK","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/lin_transceivers/TJA1028TK.html","http://www.nxp.com/documents/data_sheet/TJA1028.pdf","LIN; SBC","LIN Transceiver; SBC","LIN 2.0; LIN 2.1; SAE J2602","HVSON8","SOT782-1","Sleep Mode; Standby Mode","5.5","28","2.4","20","0","1","0","-40.0","40.0","8","8","No","-40~150","129","No","Yes","Yes","No","","8","Automotive; Industrial","TJA1028TK/3V3/10 or TJA1028TK/5V0/10 or TJA1028TK/3V3/20/1 or TJA1028TK/5V0/20/1"
