"brand","Series","PartNo","DetailLink","dataSheet","Package version","Fmax","Application","Channel","Features","Other features","Operating Temperature","Data transfer rate","Number of pins","Receiver/Transmitter type","Function"
"nxp","Interface and connectivity---UARTs---Two channel","SC16C652BIB48","http://www.nxp.com/products/interface_and_connectivity/uarts/two_channel/SC16C652BIB48.html","http://www.nxp.com/documents/data_sheet/SC16C652B.pdf","SOT313-2","","","","","","","","","",""
"nxp","Interface and connectivity---UARTs---Two channel","SC16C652BIBS","http://www.nxp.com/products/interface_and_connectivity/uarts/two_channel/SC16C652BIBS.html","http://www.nxp.com/documents/data_sheet/SC16C652B.pdf","SOT617-1","","","","","","","","","",""
"nxp","Interface and connectivity---UARTs---Two channel","SC16C752BIB48","http://www.nxp.com/products/interface_and_connectivity/uarts/two_channel/SC16C752BIB48.html","http://www.nxp.com/documents/data_sheet/SC16C752B.pdf","SOT313-2","","","","","","","","","",""
"nxp","Interface and connectivity---UARTs---Two channel","SC16C752BIBS","http://www.nxp.com/products/interface_and_connectivity/uarts/two_channel/SC16C752BIBS.html","http://www.nxp.com/documents/data_sheet/SC16C752B.pdf","SOT617-1","","","","","","","","","",""
"nxp","Interface and connectivity---UARTs---Two channel","SC16C852SVIET","http://www.nxp.com/products/interface_and_connectivity/uarts/two_channel/SC16C852SVIET.html","http://www.nxp.com/documents/data_sheet/SC16C852SV.pdf","SOT912-1","","","","","","","","","",""
"nxp","Interface and connectivity---UARTs---Two channel","SC16C852VIET","http://www.nxp.com/products/interface_and_connectivity/uarts/two_channel/SC16C852VIET.html","http://www.nxp.com/documents/data_sheet/SC16C852V.pdf","SOT912-1","","","","","","","","","",""
"nxp","Interface and connectivity---UARTs---Two channel","SC16C2550BIA44","http://www.nxp.com/products/interface_and_connectivity/uarts/two_channel/SC16C2550BIA44.html","http://www.nxp.com/documents/data_sheet/SC16C2550B.pdf","SOT187-2","48","","2","16 Bytes FIFO / DMA mode / HW &amp; SW Flow Control","4-level receive trigger level,","=-40 +85","3","","","UART"
"nxp","Interface and connectivity---UARTs---Two channel","SC16C2550BIB48","http://www.nxp.com/products/interface_and_connectivity/uarts/two_channel/SC16C2550BIB48.html","http://www.nxp.com/documents/data_sheet/SC16C2550B.pdf","SOT313-2","48","","2","16 Bytes FIFO / DMA mode","","=-40 +85","3","","","UART"
"nxp","Interface and connectivity---UARTs---Two channel","SC16C2550BIBS","http://www.nxp.com/products/interface_and_connectivity/uarts/two_channel/SC16C2550BIBS.html","http://www.nxp.com/documents/data_sheet/SC16C2550B.pdf","SOT617-1","","","","","","","","","",""
"nxp","Interface and connectivity---UARTs---Two channel","SC16C2552BIA44","http://www.nxp.com/products/interface_and_connectivity/uarts/two_channel/SC16C2552BIA44.html","http://www.nxp.com/documents/data_sheet/SC16C2552B.pdf","SOT187-2","","","","","","","","","",""
"nxp","Interface and connectivity---UARTs---Two channel","SC26C92A1A","http://www.nxp.com/products/interface_and_connectivity/uarts/two_channel/SC26C92A1A.html","http://www.nxp.com/documents/data_sheet/SC26C92.pdf","SOT187-2","","Data Communication","","","","-40~85","","44","Dual UARTs","Receivers/Transmitters"
"nxp","Interface and connectivity---UARTs---Two channel","SC26C92A1B","http://www.nxp.com/products/interface_and_connectivity/uarts/two_channel/SC26C92A1B.html","http://www.nxp.com/documents/data_sheet/SC26C92.pdf","SOT307-2","","Data Communication","","","","-40~85","","44","Dual UARTs","Receivers/Transmitters"
"nxp","Interface and connectivity---UARTs---Two channel","SC26C92C1A","http://www.nxp.com/products/interface_and_connectivity/uarts/two_channel/SC26C92C1A.html","http://www.nxp.com/documents/data_sheet/SC26C92.pdf","SOT187-2","","","","","","","","","",""
"nxp","Interface and connectivity---UARTs---Two channel","SC26C92C1B","http://www.nxp.com/products/interface_and_connectivity/uarts/two_channel/SC26C92C1B.html","http://www.nxp.com/documents/data_sheet/SC26C92.pdf","SOT307-2","","","","","","","","","",""
"nxp","Interface and connectivity---UARTs---Two channel","SC28L92A1A","http://www.nxp.com/products/interface_and_connectivity/uarts/two_channel/SC28L92A1A.html","http://www.nxp.com/documents/data_sheet/SC28L92.pdf","SOT187-2","","Data Communication","","","","-40~85","","44","Dual UARTs","Receivers/Transmitters"
"nxp","Interface and connectivity---UARTs---Two channel","SC28L92A1B","http://www.nxp.com/products/interface_and_connectivity/uarts/two_channel/SC28L92A1B.html","http://www.nxp.com/documents/data_sheet/SC28L92.pdf","SOT307-2","","Data Communication","","","","-40~85","","44","Dual UARTs","Receivers/Transmitters"
