"brand","Series","PartNo","DetailLink","dataSheet","Core","Clock speed [max]","DMIPS","Flash","RAM","EEPROM","GPIO","USB","USB (speed)","USB (type)","CAN","UART","I²C","SPI","ADC channels","ADC","ADC sample rate","SCTimer / PWM","PWM","QEI","Package name","Temperature range","IOH","Supply voltage [min]","Supply voltage [max]","Product status","Demoboard","Product category"
"nxp","Microcontrollers---Product series---LPC1500","LPC1517JBD48","http://www.nxp.com/products/microcontrollers/product_series/lpc1500/LPC1517JBD48.html","http://www.nxp.com/documents/data_sheet/LPC15XX.pdf","Cortex-M3","72","90","64","12","4","32","0","","","1","3","1","2","16","12","2 Msps","4","4","1","LQFP48","-40 °C to +105 °C","N","2.4","3.6","Production","OM13056; OM13064; OM13067; OM13068","120-LPC1500-"
"nxp","Microcontrollers---Product series---LPC1500","LPC1517JBD64","http://www.nxp.com/products/microcontrollers/product_series/lpc1500/LPC1517JBD64.html","http://www.nxp.com/documents/data_sheet/LPC15XX.pdf","Cortex-M3","72","90","64","12","4","46","0","","","1","3","1","2","24","12","2 Msps","4","4","1","LQFP64","-40 °C to +105 °C","N","2.4","3.6","Production","OM13056; OM13064; OM13067; OM13068","120-LPC1500-"
"nxp","Microcontrollers---Product series---LPC1500","LPC1518JBD100","http://www.nxp.com/products/microcontrollers/product_series/lpc1500/LPC1518JBD100.html","http://www.nxp.com/documents/data_sheet/LPC15XX.pdf","Cortex-M3","72","90","128","20","4","78","0","","","1","3","1","2","24","12","2 Msps","4","4","1","LQFP100","-40 °C to +105 °C","N","2.4","3.6","Production","OM13056; OM13064; OM13067; OM13068","120-LPC1500-"
"nxp","Microcontrollers---Product series---LPC1500","LPC1518JBD64","http://www.nxp.com/products/microcontrollers/product_series/lpc1500/LPC1518JBD64.html","http://www.nxp.com/documents/data_sheet/LPC15XX.pdf","Cortex-M3","72","90","128","20","4","46","0","","","1","3","1","2","24","12","2 Msps","4","4","1","LQFP64","-40 °C to +105 °C","N","2.4","3.6","Production","OM13056; OM13064; OM13067; OM13068","120-LPC1500-"
"nxp","Microcontrollers---Product series---LPC1500","LPC1519JBD100","http://www.nxp.com/products/microcontrollers/product_series/lpc1500/LPC1519JBD100.html","http://www.nxp.com/documents/data_sheet/LPC15XX.pdf","Cortex-M3","72","90","256","36","4","78","0","","","1","3","1","2","24","12","2 Msps","4","4","1","LQFP100","-40 °C to +105 °C","N","2.4","3.6","Production","OM13056; OM13064; OM13067; OM13068","120-LPC1500-"
"nxp","Microcontrollers---Product series---LPC1500","LPC1519JBD64","http://www.nxp.com/products/microcontrollers/product_series/lpc1500/LPC1519JBD64.html","http://www.nxp.com/documents/data_sheet/LPC15XX.pdf","Cortex-M3","72","90","256","36","4","46","0","","","1","3","1","2","24","12","2 Msps","4","4","1","LQFP64","-40 °C to +105 °C","N","2.4","3.6","Production","OM13056; OM13064; OM13067; OM13068","120-LPC1500-"
"nxp","Microcontrollers---Product series---LPC1500","LPC1547JBD48","http://www.nxp.com/products/microcontrollers/product_series/lpc1500/LPC1547JBD48.html","http://www.nxp.com/documents/data_sheet/LPC15XX.pdf","Cortex-M3","72","90","64","12","4","30","1","FS","device","1","3","1","2","16","12","2 Msps","4","4","1","LQFP48","-40 °C to +105 °C","N","2.4","3.6","Production","OM13056; OM13064; OM13067; OM13068","120-LPC1500-"
"nxp","Microcontrollers---Product series---LPC1500","LPC1547JBD64","http://www.nxp.com/products/microcontrollers/product_series/lpc1500/LPC1547JBD64.html","http://www.nxp.com/documents/data_sheet/LPC15XX.pdf","Cortex-M3","72","90","64","12","4","44","1","FS","device","1","3","1","2","24","12","2 Msps","4","4","1","LQFP64","-40 °C to +105 °C","N","2.4","3.6","Production","OM13056; OM13064; OM13067; OM13068","120-LPC1500-"
"nxp","Microcontrollers---Product series---LPC1500","LPC1548JBD100","http://www.nxp.com/products/microcontrollers/product_series/lpc1500/LPC1548JBD100.html","http://www.nxp.com/documents/data_sheet/LPC15XX.pdf","Cortex-M3","72","90","128","20","4","76","1","FS","device","1","3","1","2","24","12","2 Msps","4","4","1","LQFP100","-40 °C to +105 °C","N","2.4","3.6","Production","OM13056; OM13064; OM13067; OM13068","120-LPC1500-"
"nxp","Microcontrollers---Product series---LPC1500","LPC1548JBD64","http://www.nxp.com/products/microcontrollers/product_series/lpc1500/LPC1548JBD64.html","http://www.nxp.com/documents/data_sheet/LPC15XX.pdf","Cortex-M3","72","90","128","20","4","44","1","FS","device","1","3","1","2","24","12","2 Msps","4","4","1","LQFP64","-40 °C to +105 °C","N","2.4","3.6","Production","OM13056; OM13064; OM13067; OM13068","120-LPC1500-"
