"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","No of protected lines","Configuration","Cd [typ] (pF)","Cd [max] (pF)","VRWM (V)","VESD IEC61000-4-2 (kV)","IRM [max] (µA)","Recommended for"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---USB 2.0 protection and filtering","IP3319CX6","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/usb_2_0_protection_and_filtering/IP3319CX6.html","http://www.nxp.com/documents/data_sheet/IP3319CX6.pdf","OL-IP3319CX6","WLCSP","0.95 x 1.34 x 0.6","","Common Mode Filter with ESD-protection for one line pair, ESD protection for ID","0.3","","","15","",""
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---USB 2.0 protection and filtering","IP4220CZ6","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/usb_2_0_protection_and_filtering/IP4220CZ6.html","http://www.nxp.com/documents/data_sheet/IP4220CZ6.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","4","Rail-to-Rail","1","1.5","5.5","8","0.1",""
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---USB 2.0 protection and filtering","IP4221CZ6-S","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/usb_2_0_protection_and_filtering/IP4221CZ6-S.html","http://www.nxp.com/documents/data_sheet/IP4221CZ6-S.pdf","SOT886","XSON6","1.45 x 1 x 0.5","4","Rail-to-Rail","1","1.3","5.5","8","0.1",""
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---USB 2.0 protection and filtering","IP4221CZ6-XS","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/usb_2_0_protection_and_filtering/IP4221CZ6-XS.html","http://www.nxp.com/documents/data_sheet/IP4221CZ6-XS.pdf","SOT891","XSON6","1 x 1 x 0.5","4","Rail-to-Rail","1","1.3","5.5","8","0.1",""
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---USB 2.0 protection and filtering","IP4234CZ6","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/usb_2_0_protection_and_filtering/IP4234CZ6.html","http://www.nxp.com/documents/data_sheet/IP4234CZ6.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","2","Pi-Filter","2","3.5","5.5","15","0.1",""
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---USB 2.0 protection and filtering","IP4282CZ6","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/usb_2_0_protection_and_filtering/IP4282CZ6.html","http://www.nxp.com/documents/data_sheet/IP4282CZ6.pdf","SOT886","XSON6","1.45 x 1 x 0.5","2","Rail-to-Rail","0.7","1","5.5","8","1",""
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---USB 2.0 protection and filtering","IP4283CZ10-TBA","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/usb_2_0_protection_and_filtering/IP4283CZ10-TBA.html","http://www.nxp.com/documents/data_sheet/IP4283CZ10_SER.pdf","SOT1165-1","DFN2510-10","2.5 x 1 x 0.5","4","Rail-to-Rail","0.6","0.8","5.5","8","1",""
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---USB 2.0 protection and filtering","IP4283CZ10-TBR","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/usb_2_0_protection_and_filtering/IP4283CZ10-TBR.html","http://www.nxp.com/documents/data_sheet/IP4283CZ10_SER.pdf","SOT1176-1","DFN2510A-10","2.5 x 1 x 0.5","","Rail-to-Rail","0.6","","","8","",""
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---USB 2.0 protection and filtering","IP4283CZ10-TT","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/usb_2_0_protection_and_filtering/IP4283CZ10-TT.html","http://www.nxp.com/documents/data_sheet/IP4283CZ10_SER.pdf","SOT552-1","TSSOP10","3 x 3 x 1.1","4","Rail-to-Rail","0.6","0.8","5.5","8","1",""
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---USB 2.0 protection and filtering","IP4359CX4","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/usb_2_0_protection_and_filtering/IP4359CX4.html","http://www.nxp.com/documents/data_sheet/IP4359CX4.pdf","OL-IP4359CX4","WLCSP","0.76 x 0.76 x 0.66","2","Rail-to-Rail","1.3","1.5","5.5","15","0.1",""
