"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Description","VCC","Logic switching levels","Output drive capability","tpd","No of bits","fmax","Power dissipation considerations","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Transceivers","74ABT245D","http://www.nxp.com/products/logic/transceivers/74ABT245D.html","http://www.nxp.com/documents/data_sheet/74ABT245.pdf","Production","ABT","octal transceiver (3-state)","4.5 - 5.5","TTL","-32/+64","2.9","8","100","medium","82","24.8","58","20","SO20","SOT163-1"
"nxp","Logic---Transceivers","74ABT245DB","http://www.nxp.com/products/logic/transceivers/74ABT245DB.html","http://www.nxp.com/documents/data_sheet/74ABT245.pdf","Production","ABT","octal transceiver (3-state)","4.5 - 5.5","TTL","-32/+64","2.9","8","100","medium","136","40.0","","20","SSOP20","SOT339-1"
"nxp","Logic---Transceivers","74ABT245PW","http://www.nxp.com/products/logic/transceivers/74ABT245PW.html","http://www.nxp.com/documents/data_sheet/74ABT245.pdf","Production","ABT","octal transceiver (3-state)","4.5 - 5.5","TTL","-32/+64","2.9","8","100","medium","98","4.13524996413246","42.727952550508","20","TSSOP20","SOT360-1"
"nxp","Logic---Transceivers","74ABT16245BDGG","http://www.nxp.com/products/logic/transceivers/74ABT16245BDGG.html","http://www.nxp.com/documents/data_sheet/74ABT16245B.pdf","Production","ABT","16-bit transceiver (3-state)","4.5 - 5.5","TTL","-32/+64","2.3","16","150","medium","81","1.6","33","48","TSSOP48","SOT362-1"
"nxp","Logic---Transceivers","74ABT16245BDL","http://www.nxp.com/products/logic/transceivers/74ABT16245BDL.html","http://www.nxp.com/documents/data_sheet/74ABT16245B.pdf","Production","ABT","16-bit transceiver (3-state)","4.5 - 5.5","TTL","-32/+64","2.3","16","150","medium","88","25.0","","48","SSOP48","SOT370-1"
"nxp","Logic---Transceivers","74ABT162245ADGG","http://www.nxp.com/products/logic/transceivers/74ABT162245ADGG.html","http://www.nxp.com/documents/data_sheet/74ABT_H162245A.pdf","Production","ABT","16-bit transceiver with 30 ohm termination resistors (3-state)","4.5 - 5.5","TTL","-32/+12","3","16","100","medium","81","1.6","33","48","TSSOP48","SOT362-1"
"nxp","Logic---Transceivers","74ABT162245ADL","http://www.nxp.com/products/logic/transceivers/74ABT162245ADL.html","http://www.nxp.com/documents/data_sheet/74ABT_H162245A.pdf","Production","ABT","16-bit transceiver with 30 ohm termination resistors (3-state)","4.5 - 5.5","TTL","-32/+12","3","16","100","medium","88","25.0","","48","SSOP48","SOT370-1"
"nxp","Logic---Transceivers","74ABTH162245ADGG","http://www.nxp.com/products/logic/transceivers/74ABTH162245ADGG.html","http://www.nxp.com/documents/data_sheet/74ABT_H162245A.pdf","Production","ABT","16-bit transceiver with bus hold and 30 ohm termination resistors (3-state)","4.5 - 5.5","TTL","-32/+12","3","16","80","medium","81","1.6","33","48","TSSOP48","SOT362-1"
"nxp","Logic---Transceivers","74ABTH162245ADL","http://www.nxp.com/products/logic/transceivers/74ABTH162245ADL.html","http://www.nxp.com/documents/data_sheet/74ABT_H162245A.pdf","Production","ABT","16-bit transceiver with bus hold and 30 ohm termination resistors (3-state)","4.5 - 5.5","TTL","-32/+12","3","16","80","medium","88","25.0","","48","SSOP48","SOT370-1"
"nxp","Logic---Transceivers","74AHC245BQ","http://www.nxp.com/products/logic/transceivers/74AHC245BQ.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT245.pdf","Production","AHC(T)","octal transceiver (3-state)","2.0 - 5.5","CMOS","+/- 8","3.5","8","60","low","75","7.1","47","20","DHVQFN20","SOT764-1"
"nxp","Logic---Transceivers","74AHC245D","http://www.nxp.com/products/logic/transceivers/74AHC245D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT245.pdf","Production","AHC(T)","octal transceiver (3-state)","2.0 - 5.5","CMOS","+/- 8","3.5","8","60","low","83","25.6","59","20","SO20","SOT163-1"
"nxp","Logic---Transceivers","74AHC245PW","http://www.nxp.com/products/logic/transceivers/74AHC245PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT245.pdf","Production","AHC(T)","octal transceiver (3-state)","2.0 - 5.5","CMOS","+/- 8","3.5","8","60","low","99","4.27855251659689","43.3360201379922","20","TSSOP20","SOT360-1"
"nxp","Logic---Transceivers","74AHCT245BQ","http://www.nxp.com/products/logic/transceivers/74AHCT245BQ.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT245.pdf","Production","AHC(T)","octal transceiver; TTL enabled (3-state)","4.5 - 5.5","TTL","+/- 8","5","8","60","low","75","7.1","47","20","DHVQFN20","SOT764-1"
"nxp","Logic---Transceivers","74AHCT245D","http://www.nxp.com/products/logic/transceivers/74AHCT245D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT245.pdf","Production","AHC(T)","octal transceiver; TTL enabled (3-state)","4.5 - 5.5","TTL","+/- 8","5","8","60","low","83","25.6","59","20","SO20","SOT163-1"
"nxp","Logic---Transceivers","74AHCT245PW","http://www.nxp.com/products/logic/transceivers/74AHCT245PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT245.pdf","Production","AHC(T)","octal transceiver; TTL enabled (3-state)","4.5 - 5.5","TTL","+/- 8","5","8","60","low","99","4.27855251659689","43.3360201379922","20","TSSOP20","SOT360-1"
"nxp","Logic---Transceivers","74ALVC245BQ","http://www.nxp.com/products/logic/transceivers/74ALVC245BQ.html","http://www.nxp.com/documents/data_sheet/74ALVC245.pdf","Production","ALVC","octal transceiver (3-state)","1.65 - 3.6","TTL","+/- 24","2.3","8","130","low","77","8.4","49","20","DHVQFN20","SOT764-1"
"nxp","Logic---Transceivers","74ALVC245D","http://www.nxp.com/products/logic/transceivers/74ALVC245D.html","http://www.nxp.com/documents/data_sheet/74ALVC245.pdf","Production","ALVC","octal transceiver (3-state)","1.65 - 3.6","TTL","+/- 24","2.3","8","130","low","84","26.7","60","20","SO20","SOT163-1"
"nxp","Logic---Transceivers","74ALVC245PW","http://www.nxp.com/products/logic/transceivers/74ALVC245PW.html","http://www.nxp.com/documents/data_sheet/74ALVC245.pdf","Production","ALVC","octal transceiver (3-state)","1.65 - 3.6","TTL","+/- 24","2.3","8","130","low","100","4.48716281253668","44.2212043667097","20","TSSOP20","SOT360-1"
"nxp","Logic---Transceivers","74ALVC16245DGG","http://www.nxp.com/products/logic/transceivers/74ALVC16245DGG.html","http://www.nxp.com/documents/data_sheet/74ALVC_ALVCH16245.pdf","Production","ALVC","16-bit transceiver (3-state)","1.65 - 3.6","TTL","+/- 24","1.9","16","150","low","82","1.8","35","48","TSSOP48","SOT362-1"
"nxp","Logic---Transceivers","74ALVC16245DL","http://www.nxp.com/products/logic/transceivers/74ALVC16245DL.html","http://www.nxp.com/documents/data_sheet/74ALVC_ALVCH16245.pdf","Production","ALVC","16-bit transceiver (3-state)","1.65 - 3.6","TTL","+/- 24","1.9","16","150","low","88","25.0","","48","SSOP48","SOT370-1"
"nxp","Logic---Transceivers","74ALVCH16245DGG","http://www.nxp.com/products/logic/transceivers/74ALVCH16245DGG.html","http://www.nxp.com/documents/data_sheet/74ALVC_ALVCH16245.pdf","Production","ALVC","16-bit transceiver with bus hold (3-state)","1.65 - 3.6","TTL","+/- 24","1.9","16","150","low","82","1.8","35","48","TSSOP48","SOT362-1"
"nxp","Logic---Transceivers","74ALVCH16245DL","http://www.nxp.com/products/logic/transceivers/74ALVCH16245DL.html","http://www.nxp.com/documents/data_sheet/74ALVC_ALVCH16245.pdf","Production","ALVC","16-bit transceiver with bus hold (3-state)","1.65 - 3.6","TTL","+/- 24","1.9","16","150","low","88","25.0","","48","SSOP48","SOT370-1"
"nxp","Logic---Transceivers","74ALVCH16500DGG","http://www.nxp.com/products/logic/transceivers/74ALVCH16500DGG.html","http://www.nxp.com/documents/data_sheet/74ALVCH16500.pdf","Production","ALVC","18-bit universal bus transceiver with bus hold; negative edge trigger (3-state)","1.65 - 3.6","TTL","+/- 24","2.9","18","150","low","93","21.0","","56","TSSOP56","SOT364-1"
"nxp","Logic---Transceivers","74ALVCH16501DGG","http://www.nxp.com/products/logic/transceivers/74ALVCH16501DGG.html","http://www.nxp.com/documents/data_sheet/74ALVCH16501.pdf","Production","ALVC","18-bit universal bus transceiver with bus hold; positive edge trigger (3-state)","1.65 - 3.6","TTL","+/- 24","2.8","18","150","low","93","21.0","","56","TSSOP56","SOT364-1"
"nxp","Logic---Transceivers","74ALVCH16501DL","http://www.nxp.com/products/logic/transceivers/74ALVCH16501DL.html","http://www.nxp.com/documents/data_sheet/74ALVCH16501.pdf","Production","ALVC","18-bit universal bus transceiver with bus hold; positive edge trigger (3-state)","1.65 - 3.6","TTL","+/- 24","2.8","18","150","low","84","24.0","","56","SSOP56","SOT371-1"
"nxp","Logic---Transceivers","74ALVCH16543DGG","http://www.nxp.com/products/logic/transceivers/74ALVCH16543DGG.html","http://www.nxp.com/documents/data_sheet/74ALVCH16543.pdf","Production","ALVC","16-bit registered transceiver with bus hold (3-state)","1.65 - 3.6","TTL","+/- 24","3.8","16","150","low","93","21.0","","56","TSSOP56","SOT364-1"
"nxp","Logic---Transceivers","74ALVCH16600DGG","http://www.nxp.com/products/logic/transceivers/74ALVCH16600DGG.html","http://www.nxp.com/documents/data_sheet/74ALVCH16600.pdf","Production","ALVC","18-bit universal bus transceiver with bus hold; negative edge trigger (3-state)","1.65 - 3.6","TTL","+/- 24","2.8","18","150","low","93","21.0","","56","TSSOP56","SOT364-1"
"nxp","Logic---Transceivers","74ALVCH16601DGG","http://www.nxp.com/products/logic/transceivers/74ALVCH16601DGG.html","http://www.nxp.com/documents/data_sheet/74ALVCH16601.pdf","Production","ALVC","18-bit universal bus transceiver with bus hold; positive edge trigger (3-state)","1.65 - 3.6","TTL","+/- 24","2.8","18","150","low","93","21.0","","56","TSSOP56","SOT364-1"
"nxp","Logic---Transceivers","74ALVCH16646DGG","http://www.nxp.com/products/logic/transceivers/74ALVCH16646DGG.html","http://www.nxp.com/documents/data_sheet/74ALVCH16646.pdf","Production","ALVC","16-bit registered transceiver with bus hold (3-state)","1.65 - 3.6","TTL","+/- 24","2.6","16","150","low","93","21.0","","56","TSSOP56","SOT364-1"
"nxp","Logic---Transceivers","74ALVCH16652DGG","http://www.nxp.com/products/logic/transceivers/74ALVCH16652DGG.html","http://www.nxp.com/documents/data_sheet/74ALVCH16652.pdf","Production","ALVC","16-bit registered transceiver with bus hold (3-state)","1.65 - 3.6","TTL","+/- 24","2.6","16","150","low","93","21.0","","56","TSSOP56","SOT364-1"
"nxp","Logic---Transceivers","74ALVCH16952DGG","http://www.nxp.com/products/logic/transceivers/74ALVCH16952DGG.html","http://www.nxp.com/documents/data_sheet/74ALVCH16952.pdf","Production","ALVC","16-bit registered transceiver with bus hold (3-state)","1.65 - 3.6","TTL","+/- 24","3.2","16","150","low","93","21.0","","56","TSSOP56","SOT364-1"
"nxp","Logic---Transceivers","74ALVCH162245DGG","http://www.nxp.com/products/logic/transceivers/74ALVCH162245DGG.html","http://www.nxp.com/documents/data_sheet/74ALVCH162245.pdf","Production","ALVC","16-bit transceiver with bus hold and 30 ohm termination resistors (3-state)","1.65 - 3.6","TTL","+/- 12","2.4","16","150","low","82","1.8","35","48","TSSOP48","SOT362-1"
"nxp","Logic---Transceivers","74ALVCH162245DL","http://www.nxp.com/products/logic/transceivers/74ALVCH162245DL.html","http://www.nxp.com/documents/data_sheet/74ALVCH162245.pdf","Production","ALVC","16-bit transceiver with bus hold and 30 ohm termination resistors (3-state)","1.65 - 3.6","TTL","+/- 12","2.4","16","150","low","88","25.0","","48","SSOP48","SOT370-1"
"nxp","Logic---Transceivers","74ALVCH162601DGG","http://www.nxp.com/products/logic/transceivers/74ALVCH162601DGG.html","http://www.nxp.com/documents/data_sheet/74ALVCH162601.pdf","Production","ALVC","18-bit universal bus transceiver with bus hold and 30 ohm termination resistors; positive-edge trigger (3-state)","1.65 - 3.6","TTL","+/- 12","3.1","18","150","low","93","21.0","","56","TSSOP56","SOT364-1"
"nxp","Logic---Transceivers","74ALVT16501DGG","http://www.nxp.com/products/logic/transceivers/74ALVT16501DGG.html","http://www.nxp.com/documents/data_sheet/74ALVT16501.pdf","Development","ALVT","18-bit universal bus transceiver with bus hold; positive edge trigger (3-state)","2.3 - 3.6","TTL","-32/+64","1.8","18","150","medium","93","21.0","","56","TSSOP56","SOT364-1"
"nxp","Logic---Transceivers","74ALVT16543DGG","http://www.nxp.com/products/logic/transceivers/74ALVT16543DGG.html","http://www.nxp.com/documents/data_sheet/74ALVT16543.pdf","Development","ALVT","16-bit registered transceiver with bus hold (3-state)","2.3 - 3.6","TTL","-32/+64","1.8","16","200","medium","93","21.0","","56","TSSOP56","SOT364-1"
"nxp","Logic---Transceivers","74ALVT16601DGG","http://www.nxp.com/products/logic/transceivers/74ALVT16601DGG.html","http://www.nxp.com/documents/data_sheet/74ALVT16601.pdf","Development","ALVT","18-bit universal bus transceiver with bus hold; positive edge trigger (3-state)","2.3 - 3.6","TTL","-32/+64","1.9","18","200","medium","93","21.0","","56","TSSOP56","SOT364-1"
"nxp","Logic---Transceivers","74ALVT162245DGG","http://www.nxp.com/products/logic/transceivers/74ALVT162245DGG.html","http://www.nxp.com/documents/data_sheet/74ALVT162245.pdf","Production","ALVT","16-bit transceiver with bus hold and 30 ohm termination resistors (3-state)","2.3 - 3.6","TTL","+/- 12","2.3","16","75","medium","81","1.5","33","48","TSSOP48","SOT362-1"
"nxp","Logic---Transceivers","74ALVT162245DL","http://www.nxp.com/products/logic/transceivers/74ALVT162245DL.html","http://www.nxp.com/documents/data_sheet/74ALVT162245.pdf","Production","ALVT","16-bit transceiver with bus hold and 30 ohm termination resistors (3-state)","2.3 - 3.6","TTL","+/- 12","2.3","16","75","medium","88","25.0","","48","SSOP48","SOT370-1"
"nxp","Logic---Transceivers","74AVC16245DGG","http://www.nxp.com/products/logic/transceivers/74AVC16245DGG.html","http://www.nxp.com/documents/data_sheet/74AVC16245.pdf","Production","AVC(M)","16-bit transceiver (3-state)","1.2 - 3.6","CMOS","+/- 12","2","16","200","low","82","1.8","35","48","TSSOP48","SOT362-1"
"nxp","Logic---Transceivers","74AVCH16245DGG","http://www.nxp.com/products/logic/transceivers/74AVCH16245DGG.html","http://www.nxp.com/documents/data_sheet/74AVCH16245.pdf","Production","AVC(M)","16-bit transceiver with bus hold (3-state)","1.2 - 3.6","CMOS","+/- 12","2","16","200","low","82","1.8","35","48","TSSOP48","SOT362-1"
"nxp","Logic---Transceivers","74HC245BQ","http://www.nxp.com/products/logic/transceivers/74HC245BQ.html","http://www.nxp.com/documents/data_sheet/74HC_HCT245.pdf","Production","HC(T)","octal transceiver (3-state)","2.0 - 6.0","CMOS","+/- 7.8","7","8","36","low","76","7.3","47","20","DHVQFN20","SOT764-1"
