"brand","Series","PartNo","DetailLink","dataSheet","No of bits","VDD [min]","VDD [max]","Over volt tolerant","No of supplies","Standby current [typ]","Max Sink Current per bit","Max Sink Current, per package","Source Current per bit","Interrupt output pin","Reset input pin","Output mode","Input mode: invert option","Internal pull-up resistor per bit","I2C-bus","Footprint body and leads","Package name","Package version","Operating Temperature","No of Addresses","Remark"
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA6408ABS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA6408ABS.html","http://www.nxp.com/documents/data_sheet/PCA6408A.pdf","8","1.65","5.5","Y","2","0.5","25","200","10","Y","Y","Totem pole","Y","No","400","9.61","HVQFN16","SOT758-1","-40~85","2",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA6408AHK","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA6408AHK.html","http://www.nxp.com/documents/data_sheet/PCA6408A.pdf","8","1.65","5.5","Y","2","0.5","25","200","10","Y","Y","Totem pole","Y","No","400","5.13","XQFN16","SOT1161-1","-40~85","2",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA6408APW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA6408APW.html","http://www.nxp.com/documents/data_sheet/PCA6408A.pdf","8","1.65","5.5","Y","2","0.5","25","200","10","Y","Y","Totem pole","Y","No","400","33.66","TSSOP16","SOT403-1","-40~85","2",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA6416AEV","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA6416AEV.html","http://www.nxp.com/documents/data_sheet/PCA6416A.pdf","16","1.65","5.5","Y","2","0.5","25","200","10","Y","Y","Totem pole","Y","No","400","9.61","VFBGA24","SOT1199-1","-40~85","2",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA6416AHF","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA6416AHF.html","http://www.nxp.com/documents/data_sheet/PCA6416A.pdf","16","1.65","5.5","Y","2","0.5","25","200","10","Y","Y","Totem pole","Y","No","400","16.81","HWQFN24","SOT994-1","-40~85","2",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA6416APW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA6416APW.html","http://www.nxp.com/documents/data_sheet/PCA6416A.pdf","16","1.65","5.5","Y","2","0.5","25","200","10","Y","Y","Totem pole","Y","No","400","52.14","TSSOP24","SOT355-1","-40~85","2",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA8574AD","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA8574AD.html","http://www.nxp.com/documents/data_sheet/PCA8574_PCA8574A.pdf","8","2.3","5.5","Y","1","4.5","25","200","0.1","Y","","Quasi","","Int I source","400","111.83","SO16","SOT162-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA8574APW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA8574APW.html","http://www.nxp.com/documents/data_sheet/PCA8574_PCA8574A.pdf","8","2.3","5.5","Y","1","4.5","25","200","0.1","Y","","Quasi","","Int I source","400","33.66","TSSOP16","SOT403-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA8574ATS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA8574ATS.html","http://www.nxp.com/documents/data_sheet/PCA8574_PCA8574A.pdf","8","2.3","5.5","Y","1","4.5","25","200","0.1","Y","","Quasi","","Int I source","400","43.56","SSOP20","SOT266-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA8574D","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA8574D.html","http://www.nxp.com/documents/data_sheet/PCA8574_PCA8574A.pdf","8","2.3","5.5","Y","1","4.5","25","200","0.1","Y","","Quasi","","Int I source","400","111.83","SO16","SOT162-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA8574PW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA8574PW.html","http://www.nxp.com/documents/data_sheet/PCA8574_PCA8574A.pdf","8","2.3","5.5","Y","1","4.5","25","200","0.1","Y","","Quasi","","Int I source","400","33.66","TSSOP16","SOT403-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA8574TS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA8574TS.html","http://www.nxp.com/documents/data_sheet/PCA8574_PCA8574A.pdf","8","2.3","5.5","Y","1","4.5","25","200","0.1","Y","","Quasi","","Int I source","400","43.56","SSOP20","SOT266-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA8575BS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA8575BS.html","http://www.nxp.com/documents/data_sheet/PCA8575.pdf","16","2.3","5.5","Y","1","2.5","25","400","0.1","Y","","Quasi","","Int I source","400","16.81","HVQFN24","SOT616-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA8575D","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA8575D.html","http://www.nxp.com/documents/data_sheet/PCA8575.pdf","16","2.3","5.5","Y","1","2.5","25","400","0.1","Y","","Quasi","","Int I source","400","166.14","SO24","SOT137-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA8575DB","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA8575DB.html","http://www.nxp.com/documents/data_sheet/PCA8575.pdf","16","2.3","5.5","Y","1","2.5","25","400","0.1","Y","","Quasi","","Int I source","400","66.36","SSOP24","SOT340-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA8575PW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA8575PW.html","http://www.nxp.com/documents/data_sheet/PCA8575.pdf","16","2.3","5.5","Y","1","2.5","25","400","0.1","Y","","Quasi","","Int I source","400","52.14","TSSOP24","SOT355-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9500BS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9500BS.html","http://www.nxp.com/documents/data_sheet/PCA9500.pdf","8","2.5","3.6","Y","1","60","25","100","0.1","","","Quasi","","Int I source","400","16.81","HVQFN16","SOT629-1","-40~85","8","EEPROM 2K byte"
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9500D","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9500D.html","http://www.nxp.com/documents/data_sheet/PCA9500.pdf","8","2.5","3.6","Y","1","60","25","100","0.1","","","Quasi","","Int I source","400","111.83","SO16","SOT162-1","-40~85","8","EEPROM 2K byte"
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9500PW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9500PW.html","http://www.nxp.com/documents/data_sheet/PCA9500.pdf","8","2.5","3.6","Y","1","60","25","100","0.1","","","Quasi","","Int I source","400","16.81","TSSOP16","SOT403-1","-40~85","8","EEPROM 2K byte"
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9501BS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9501BS.html","http://www.nxp.com/documents/data_sheet/PCA9501.pdf","8","2.5","3.6","Y","1","60","25","100","0.1","Y","","Quasi","","Int I source","400","111.83","HVQFN20","SOT662-1","-40~85","64","EEPROM 2K byte"
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9501D","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9501D.html","http://www.nxp.com/documents/data_sheet/PCA9501.pdf","8","2.5","3.6","Y","1","60","25","100","0.1","Y","","Quasi","","Int I source","400","16.81","SO20","SOT163-1","-40~85","64","EEPROM 2K byte"
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9501PW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9501PW.html","http://www.nxp.com/documents/data_sheet/PCA9501.pdf","8","2.5","3.6","Y","1","60","25","100","0.1","Y","","Quasi","","Int I source","400","111.83","TSSOP20","SOT360-1","-40~85","64","EEPROM 2K byte"
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9502BS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9502BS.html","http://www.nxp.com/documents/data_sheet/PCA9502.pdf","8","2.5","3.6","Y","1","","4","32","4","Y","Y","Totem pole","","","400","16.81","HVQFN24","SOT616-3","-40~85","16","I2C/SPI interface; I/O and interrupt latch"
