"brand","Series","PartNo","DetailLink","dataSheet","Category","Product category","Supported standards","Package name","Package version","Low power modes","Supply voltage [min]","Supply voltage [max]","Data rate [min]","Data rate [max]","CAN channels","LIN channels","FlexRay Channels","Voltage on bus pins [min]","Voltage on bus pins [max]","VESD IEC61000-4-2 (kV)","VESD HBM on bus pins (+/- kV)","VIO option available","Tvj [max]","Rth(j-a)","SPLIT pin","Under-voltage detection","TX Dominant Time out","Over-temperature detection","INH / Wake Pin","Min High Input Levels (V)","No of pins","Application","Recommended Version"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---System basis chips","TJA1028T","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/system_basis_chips/TJA1028T.html","http://www.nxp.com/documents/data_sheet/TJA1028.pdf","LIN; SBC","LIN Transceiver; SBC","LIN 2.0; LIN 2.1; SAE J2602","SO8","SOT96-1","Sleep Mode; Standby Mode","5.5","28","2.4","20","0","1","0","-40.0","40.0","8","8","No","-40~150","132","","No","Yes","Yes","No","","8","Automotive; Industrial","TJA1028T/3V3/10 or TJA1028T/5V0/10 or TJA1028T/3V3/20/1 or TJA1028T/5V0/20/1"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---System basis chips","TJA1028TK","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/system_basis_chips/TJA1028TK.html","http://www.nxp.com/documents/data_sheet/TJA1028.pdf","LIN; SBC","LIN Transceiver; SBC","LIN 2.0; LIN 2.1; SAE J2602","HVSON8","SOT782-1","Sleep Mode; Standby Mode","5.5","28","2.4","20","0","1","0","-40.0","40.0","8","8","No","-40~150","129","","No","Yes","Yes","No","","8","Automotive; Industrial","TJA1028TK/3V3/10 or TJA1028TK/5V0/10 or TJA1028TK/3V3/20/1 or TJA1028TK/5V0/20/1"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---System basis chips","UJA1131HW","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/system_basis_chips/UJA1131HW.html","http://www.nxp.com/documents/data_sheet/UJA113X_SER.pdf","CAN; LIN; SBC","CAN FD; High-Speed CAN; LIN Transceiver; SBC","compatible with LIN 1.3; ISO-11898-2; ISO-11898-5; ISO-11898-6; LIN 2.0; LIN 2.1; SAE J2602","","","Sleep Mode; Standby Mode","2","40","15","2000","1","1","0","-58.0","58.0","6","6","No","-40~150","29","No","Yes","Yes","Yes","Yes","0.75 x Vv1","","Yes","500mA"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---System basis chips","UJA1132HW","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/system_basis_chips/UJA1132HW.html","http://www.nxp.com/documents/data_sheet/UJA113X_SER.pdf","CAN; LIN; SBC","CAN FD; High-Speed CAN; LIN Transceiver; SBC","compatible with LIN 1.3; ISO-11898-2; ISO-11898-5; ISO-11898-6; LIN 2.0; LIN 2.1; SAE J2602","","","Sleep Mode; Standby Mode","2","40","15","2000","1","2","0","-58.0","58.0","6","6","No","-40~150","29","No","Yes","Yes","Yes","Yes","0.75 x Vv1","","Yes","500mA"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---System basis chips","UJA1135HW","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/system_basis_chips/UJA1135HW.html","http://www.nxp.com/documents/data_sheet/UJA113X_SER.pdf","CAN; LIN; SBC","CAN FD; High-Speed CAN; LIN Transceiver; SBC","compatible with LIN 1.3; ISO-11898-2; ISO-11898-5; ISO-11898-6; LIN 2.0; LIN 2.1; SAE J2602","","","Sleep Mode; Standby Mode","2","40","15","2000","1","1","0","-58.0","58.0","6","6","No","-40~150","29","No","Yes","Yes","Yes","Yes","0.75 x Vv1","","Yes","500mA"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---System basis chips","UJA1136HW","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/system_basis_chips/UJA1136HW.html","http://www.nxp.com/documents/data_sheet/UJA113X_SER.pdf","CAN; LIN; SBC","CAN FD; High-Speed CAN; LIN Transceiver; SBC","compatible with LIN 1.3; ISO-11898-2; ISO-11898-5; ISO-11898-6; LIN 2.0; LIN 2.1; SAE J2602","","","Sleep Mode; Standby Mode","2","40","15","2000","1","2","0","-58.0","58.0","6","6","No","-40~150","29","No","Yes","Yes","Yes","Yes","0.75 x Vv1","","Yes","500mA"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---System basis chips","UJA1023T","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/system_basis_chips/UJA1023T.html","http://www.nxp.com/documents/data_sheet/UJA1023.pdf","LIN","I/O Slave; LIN Transceiver","LIN 2.0; SAE J2602","SO16","SOT109-1","Sleep Mode; Standby Mode","5.5","27","1","20","0","1","0","-27.0","40.0","","8","Yes","-40~150","106","","No","No","No","Yes","0.6 x Vbat","16","Automotive","UJA1023T/2R04/C"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---System basis chips","UJA1061TW","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/system_basis_chips/UJA1061TW.html","http://www.nxp.com/documents/data_sheet/UJA1061.pdf","CAN; LIN; SBC","Fault Tolerant CAN; LIN Transceiver; SBC","ISO-11898-3; LIN-2.0; SAE-J2602","HTSSOP32","SOT549-1","Sleep Mode; Standby Mode","5.5","33","","125","1","1","0","-60.0","60.0","6","8","No","-40~150","","No","Yes","Yes","Yes","Yes","0.7 x Vv1","32","Automotive","UJA1061TW"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---System basis chips","UJA1065TW","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/system_basis_chips/UJA1065TW.html","http://www.nxp.com/documents/data_sheet/UJA1065.pdf","CAN; LIN; SBC","Fail-safe SBC; High-Speed CAN; LIN Transceiver; SBC","ISO-11898-2; ISO-11898-5; LIN-2.0; SAE-J2602","HTSSOP32","SOT549-1","Sleep Mode; Standby Mode","5.5","33","18","1000","1","1","0","-60.0","60.0","4","8","No","-40~150","","Yes","Yes","Yes","Yes","Yes","0.7 x Vv1","32","Yes","150mA"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---System basis chips","UJA1066TW","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/system_basis_chips/UJA1066TW.html","http://www.nxp.com/documents/data_sheet/UJA1066.pdf","CAN; SBC","Fail-safe SBC; High-Speed CAN; SBC","ISO-11898-2; ISO-11898-5","HTSSOP32","SOT549-1","Sleep Mode; Standby Mode","5.5","33","18","1000","1","0","0","-60.0","60.0","4","8","No","-40~150","","Yes","Yes","Yes","Yes","Yes","0.7 x Vv1","32","Yes","150mA"
