"brand","Series","PartNo","DetailLink","dataSheet","package version","resolution","interface","VDD (interface)","watchdog timer","programmable alarm","countdown timer","stop-watch mode","VDD (clock)","leap year tracking","IDD","temperature compensation","Tamb","AEC-Q100 compliant"
"nxp","Interface and connectivity---I²C---I²C Real-Time Clocks (RTC)","PCA8565AU","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_real_time_clocks_rtc/PCA8565AU.html","http://www.nxp.com/documents/data_sheet/PCA8565A.pdf","NAU000","1 sec to year","I2C","1.8 to 5.5","yes","yes","yes","no","1.0 to 5.5","yes","550","no","-40 to +125","yes"
"nxp","Interface and connectivity---I²C---I²C Real-Time Clocks (RTC)","PCA8565TS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_real_time_clocks_rtc/PCA8565TS.html","http://www.nxp.com/documents/data_sheet/PCA8565.pdf","SOT505-1","1 sec to year","I2C","1.8 to 5.5","yes","yes","yes","no","1.0 to 5.5","yes","650","no","-40 to +125","yes"
"nxp","Interface and connectivity---I²C---I²C Real-Time Clocks (RTC)","PCA85063ATT","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_real_time_clocks_rtc/PCA85063ATT.html","http://www.nxp.com/documents/data_sheet/PCA85063A.pdf","SOT505-1","","","","","","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C Real-Time Clocks (RTC)","PCF8523T","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_real_time_clocks_rtc/PCF8523T.html","http://www.nxp.com/documents/data_sheet/PCF8523.pdf","SOT96-1","1 sec to year","I2C","1.6 to 5.5","yes","yes","yes","no","1.2 to 5.5","yes","150","no","-40 to +85","no"
"nxp","Interface and connectivity---I²C---I²C Real-Time Clocks (RTC)","PCF8523TK","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_real_time_clocks_rtc/PCF8523TK.html","http://www.nxp.com/documents/data_sheet/PCF8523.pdf","SOT909-1","1 sec to year","I2C","1.6 to 5.5","yes","yes","yes","no","1.2 to 5.5","yes","150","no","-40 to +85","no"
"nxp","Interface and connectivity---I²C---I²C Real-Time Clocks (RTC)","PCF8523TS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_real_time_clocks_rtc/PCF8523TS.html","http://www.nxp.com/documents/data_sheet/PCF8523.pdf","SOT402-1","1 sec to year","I2C","1.6 to 5.5","yes","yes","yes","no","1.2 to 5.5","yes","150","no","-40 to +85","no"
"nxp","Interface and connectivity---I²C---I²C Real-Time Clocks (RTC)","PCF8523U","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_real_time_clocks_rtc/PCF8523U.html","http://www.nxp.com/documents/data_sheet/PCF8523.pdf","OL-PCF8523U","1 sec to year","I2C","1.6 to 5.5","yes","yes","yes","no","1.2 to 5.5","yes","150","no","-40 to +85","no"
"nxp","Interface and connectivity---I²C---I²C Real-Time Clocks (RTC)","PCF8563BS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_real_time_clocks_rtc/PCF8563BS.html","http://www.nxp.com/documents/data_sheet/PCF8563.pdf","SOT650-1","1 sec to year","I2C","1.8 to 5.5","yes","yes","yes","no","1.2 to 5.5","yes","250","no","-40 to +85","no"
"nxp","Interface and connectivity---I²C---I²C Real-Time Clocks (RTC)","PCF8563T","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_real_time_clocks_rtc/PCF8563T.html","http://www.nxp.com/documents/data_sheet/PCF8563.pdf","SOT96-1","1 sec to year","I2C","1.8 to 5.5","yes","yes","yes","no","1.0 to 5.5","yes","250","no","-40 to +85","no"
"nxp","Interface and connectivity---I²C---I²C Real-Time Clocks (RTC)","PCF8563TS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_real_time_clocks_rtc/PCF8563TS.html","http://www.nxp.com/documents/data_sheet/PCF8563.pdf","SOT505-1","1 sec to year","I2C","1.8 to 5.5","yes","yes","yes","no","1.0 to 5.5","yes","250","no","-40 to +85","no"
