"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Description","VCC","Logic switching levels","Output drive capability","tpd","fmax","Power dissipation considerations","Tamb","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Flip-flops---D-type flip-flops","74ABT74D","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74ABT74D.html","http://www.nxp.com/documents/data_sheet/74ABT74.pdf","Production","ABT","dual D-type flip-flop with set and reset; positive-edge trigger","4.5 - 5.5","TTL","-15/+20","3","250","medium","-40~85","106","18.9","64","14","SO14","SOT108-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74ABT74DB","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74ABT74DB.html","http://www.nxp.com/documents/data_sheet/74ABT74.pdf","Production","ABT","dual D-type flip-flop with set and reset; positive-edge trigger","4.5 - 5.5","TTL","-15/+20","3","250","medium","-40~85","156","40.0","","14","SSOP14","SOT337-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74ABT74PW","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74ABT74PW.html","http://www.nxp.com/documents/data_sheet/74ABT74.pdf","Production","ABT","dual D-type flip-flop with set and reset; positive-edge trigger","4.5 - 5.5","TTL","-15/+20","3","250","medium","-40~85","140","7.36346238938053","65.7646349557522","14","TSSOP14","SOT402-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AHC1G79GV","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AHC1G79GV.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT1G79.pdf","Production","AHC(T)","positive-edge trigger; single D-type flip-flop","2.0 - 5.5","CMOS","+/- 8","3.5","90","low","-40~125","272","64.5","170","5","TSOP5","SOT753"
"nxp","Logic---Flip-flops---D-type flip-flops","74AHC1G79GW","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AHC1G79GW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT1G79.pdf","Production","AHC(T)","positive-edge trigger; single D-type flip-flop","2.0 - 5.5","CMOS","+/- 8","3.5","90","low","-40~125","312","82.5","183","5","TSSOP5","SOT353-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AHCT1G79GV","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AHCT1G79GV.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT1G79.pdf","Production","AHC(T)","positive-edge trigger; single D-type flip-flop; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.5","90","low","-40~125","272","64.5","170","5","TSOP5","SOT753"
"nxp","Logic---Flip-flops---D-type flip-flops","74AHCT1G79GW","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AHCT1G79GW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT1G79.pdf","Production","AHC(T)","positive-edge trigger; single D-type flip-flop; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.5","90","low","-40~125","312","82.5","183","5","TSSOP5","SOT353-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AHC74BQ","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AHC74BQ.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT74.pdf","Production","AHC(T)","dual D-type flip-flop with set and reset; positive-edge trigger","2.0 - 5.5","CMOS","+/- 8","3.7","170","low","-40~125","106","20.9","74","14","DHVQFN14","SOT762-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AHC74D","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AHC74D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT74.pdf","Production","AHC(T)","dual D-type flip-flop with set and reset; positive-edge trigger","2.0 - 5.5","CMOS","+/- 8","3.7","170","low","-40~125","108","20.1","66","14","SO14","SOT108-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AHC74PW","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AHC74PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT74.pdf","Production","AHC(T)","dual D-type flip-flop with set and reset; positive-edge trigger","2.0 - 5.5","CMOS","+/- 8","3.7","170","low","-40~125","141","7.78845353982301","67.1874314159292","14","TSSOP14","SOT402-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AHCT74BQ","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AHCT74BQ.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT74.pdf","Production","AHC(T)","dual D-type flip-flop with set and reset; positive-edge trigger; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.3","160","low","-40~125","106","20.9","74","14","DHVQFN14","SOT762-1"
