"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","状态","预算报价（不含税）(CNY)","封装类型和焊端数","内核：类型","工作频率 (Max) (MHz) ","内核：内核数量 (Spec)","缓存 (KB) ","L2缓存 (Max) (KB) ","内部RAM (KB) ","支持外部存储器","外部总线接口","工作环境温度 (Min-Max) (°C) ","I/O 工作电压 (Max) (V) ","Junction Temperature (Max) (&#186;C)","GPIOs","内核：性能(MIPS)","PLC代码","Pin count","PLC描述","功耗 (Max) (W) ","功耗 (Typ) (W) ","总线频率 (Max) (MHz) ","无铅","认证级别","RoHS","内核：工作电压 (Spec) (V) ","USB","USB features","SPI","Ethernet Type","以太网","通信协议","I2C","协处理器频率 (Max) (MHz) ","协处理器类型","TDM","DMA通道总数","最后发货日期","最后订单日期","CAN","UART","CAN Type","其他特性","安全","eTSEC","Junction Temperature (Min) (&#186;C)","定时器类型","HDLC","SMC","SCC","替代部件"
"FSL","Power Architecture 处理器---PowerQUICC通信处理器","MPC875","MPC875CVR133","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC875&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/powerquicc-processors/powerquicc-i-8xx/powerquicc-processor-with-cpm-usb-dual-10-100-ethernet-security:MPC875?&fpsp=1&tab=Documentation_Tab#MPC875CVR133","PowerQUICC, 32 Bit Power Architecture, 133MHz, Communications Processor, -40 to 100C","-","-","100 @ CNY130.41 each","PBGA 256","MPC8xx","133","1","8","-","-","SRAM, SDRAM, EPROM, EDO, DRAM","PCMCIA","-40 to 100","-","100","-","-","4","256","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","USB 2.0","-","Fast Ethernet","-","Transparent, IrDA, HDLC, Ethernet, BISYNC, AppleTalk","1","-","-","-","-","-","-","-","-","-","-","-","-","-40","-","-","1","1","-"
"FSL","Power Architecture 处理器---PowerQUICC通信处理器","MPC875","MPC875CVR66","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC875&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/powerquicc-processors/powerquicc-i-8xx/powerquicc-processor-with-cpm-usb-dual-10-100-ethernet-security:MPC875?&fpsp=1&tab=Documentation_Tab#MPC875CVR66","PowerQUICC, 32 Bit Power Architecture, 66MHz, Communications Processor, -40 to 100C","-","-","100 @ CNY118.33 each","PBGA 256","MPC8xx","66","1","8","-","-","DRAM, EDO, EPROM, SDRAM, SRAM","PCMCIA","-40 to 100","-","100","-","-","4","256","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","USB 2.0","-","Fast Ethernet","-","Transparent, IrDA, HDLC, Ethernet, BISYNC, AppleTalk","1","-","-","-","-","-","-","-","-","-","-","-","-","-40","-","-","1","1","-"
"FSL","Power Architecture 处理器---PowerQUICC通信处理器","MPC875","MPC875CZT133","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC875&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/powerquicc-processors/powerquicc-i-8xx/powerquicc-processor-with-cpm-usb-dual-10-100-ethernet-security:MPC875?&fpsp=1&tab=Documentation_Tab#MPC875CZT133","PowerQUICC, 32 Bit Power Architecture, 133MHz, Communications Processor, -40 to 100C","-","-","100 @ CNY130.41 each","PBGA 256","MPC8xx","133","1","8","-","-","DRAM, EDO, EPROM, SDRAM, SRAM","PCMCIA","-40 to 100","-","100","-","-","4","256","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","USB 2.0","-","Fast Ethernet","-","Transparent, IrDA, HDLC, Ethernet, BISYNC, AppleTalk","1","-","-","-","-","-","-","-","-","-","-","-","-","-40","-","-","1","1","-"
"FSL","Power Architecture 处理器---PowerQUICC通信处理器","MPC875","MPC875CZT66","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC875&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/powerquicc-processors/powerquicc-i-8xx/powerquicc-processor-with-cpm-usb-dual-10-100-ethernet-security:MPC875?&fpsp=1&tab=Documentation_Tab#MPC875CZT66","PowerQUICC, 32 Bit Power Architecture, 66MHz, Communications Processor, -40 to 100C","-","-","100 @ CNY118.33 each","PBGA 256","MPC8xx","66","1","8","-","-","SRAM, SDRAM, EPROM, EDO, DRAM","PCMCIA","-40 to 100","-","100","-","-","4","256","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","USB 2.0","-","Fast Ethernet","-","Transparent, IrDA, HDLC, Ethernet, BISYNC, AppleTalk","1","-","-","-","-","-","-","-","-","-","-","-","-","-40","-","-","1","1","-"
"FSL","Power Architecture 处理器---PowerQUICC通信处理器","MPC875","MPC875VR133","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC875&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/powerquicc-processors/powerquicc-i-8xx/powerquicc-processor-with-cpm-usb-dual-10-100-ethernet-security:MPC875?&fpsp=1&tab=Documentation_Tab#MPC875VR133","PowerQUICC, 32 Bit Power Architecture, 133MHz, Communications Processor, 0 to 95C","-","-","100 @ CNY120.75 each","PBGA 256","MPC8xx","133","1","8","-","-","SRAM, SDRAM, EPROM, EDO, DRAM","PCMCIA","0 to 95","-","95","-","-","4","256","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","USB 2.0","-","Fast Ethernet","-","Transparent, IrDA, HDLC, Ethernet, BISYNC, AppleTalk","1","-","-","-","-","-","-","-","-","-","-","-","-","0","-","-","1","1","-"
"FSL","Power Architecture 处理器---PowerQUICC通信处理器","MPC875","MPC875VR66","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC875&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/powerquicc-processors/powerquicc-i-8xx/powerquicc-processor-with-cpm-usb-dual-10-100-ethernet-security:MPC875?&fpsp=1&tab=Documentation_Tab#MPC875VR66","PowerQUICC, 32 Bit Power Architecture, 66MHz, Communications Processor, 0 to 95C","-","-","100 @ CNY109.49 each","PBGA 256","MPC8xx","66","1","8","-","-","SRAM, SDRAM, EPROM, EDO, DRAM","PCMCIA","0 to 95","-","95","-","-","4","256","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","USB 2.0","-","Fast Ethernet","-","Transparent, IrDA, HDLC, Ethernet, BISYNC, AppleTalk","1","-","-","-","-","-","-","-","-","-","-","-","-","0","-","-","1","1","-"
"FSL","Power Architecture 处理器---PowerQUICC通信处理器","MPC875","MPC875VR80","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC875&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/powerquicc-processors/powerquicc-i-8xx/powerquicc-processor-with-cpm-usb-dual-10-100-ethernet-security:MPC875?&fpsp=1&tab=Documentation_Tab#MPC875VR80","PowerQUICC, 32 Bit Power Architecture, 80MHz, Communications Processor, 0 to 95C","-","-","100 @ CNY114.96 each","PBGA 256","MPC8xx","80","1","8","-","-","SRAM, SDRAM, EPROM, EDO, DRAM","PCMCIA","0 to 95","-","95","-","-","4","256","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","USB 2.0","-","Fast Ethernet","-","Transparent, IrDA, HDLC, Ethernet, BISYNC, AppleTalk","1","-","-","-","-","-","-","-","-","-","-","-","-","0","-","-","1","1","-"
"FSL","Power Architecture 处理器---PowerQUICC通信处理器","MPC875","MPC875ZT133","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC875&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/powerquicc-processors/powerquicc-i-8xx/powerquicc-processor-with-cpm-usb-dual-10-100-ethernet-security:MPC875?&fpsp=1&tab=Documentation_Tab#MPC875ZT133","PowerQUICC, 32 Bit Power Architecture, 133MHz, Communications Processor, 0 to 95C","-","-","100 @ CNY120.75 each","PBGA 256","MPC8xx","133","1","16","-","8","SRAM, SDRAM, FLASH, EPROM, EDO","PCMCIA","0 to 95","5","95","59","176","4","256","PRODUCT MATURITY/SATURATION(4)","0.495","0.43","66","-","10-YEARS APPLICATION LIFE","-","3.3","-","USB 2.0","-","MII, 10/100 BaseT","-","Ethernet, TDM, AppleTalk, UART, Transparent, BISYNC, IrDA, HDLC","-","133","CPM","-","10","-","-","-","-","-","-","-","-","0","-","-","-","-","-"
"FSL","Power Architecture 处理器---PowerQUICC通信处理器","MPC875","MPC875ZT66","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC875&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/powerquicc-processors/powerquicc-i-8xx/powerquicc-processor-with-cpm-usb-dual-10-100-ethernet-security:MPC875?&fpsp=1&tab=Documentation_Tab#MPC875ZT66","PowerQUICC, 32 Bit Power Architecture, 66MHz, Communications Processor, 0 to 95C","-","-","100 @ CNY109.49 each","PBGA 256","MPC8xx","66","1","16","-","8","SRAM, SDRAM, FLASH, EPROM, EDO","PCMCIA","0 to 95","5","95","59","87","4","256","PRODUCT MATURITY/SATURATION(4)","0.39","0.31","66","-","10-YEARS APPLICATION LIFE","-","3.3","-","USB 2.0","-","MII, 10/100 BaseT","-","Ethernet, TDM, AppleTalk, UART, Transparent, BISYNC, IrDA, HDLC","-","66","CPM","-","10","-","-","-","-","-","-","-","-","0","-","-","-","-","-"
"FSL","Power Architecture 处理器---PowerQUICC通信处理器","MPC875","MPC875ZT80","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC875&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/powerquicc-processors/powerquicc-i-8xx/powerquicc-processor-with-cpm-usb-dual-10-100-ethernet-security:MPC875?&fpsp=1&tab=Documentation_Tab#MPC875ZT80","PowerQUICC, 32 Bit Power Architecture, 80MHz, Communications Processor, 0 to 95C","-","-","100 @ CNY114.96 each","PBGA 256","MPC8xx","80","1","16","-","8","SRAM, SDRAM, FLASH, EPROM, EDO","PCMCIA","0 to 95","5","95","59","106","4","256","PRODUCT MATURITY/SATURATION(4)","0.43","0.35","40","-","10-YEARS APPLICATION LIFE","-","3.3","-","USB 2.0","-","MII, 10/100 BaseT","-","Ethernet, TDM, AppleTalk, UART, Transparent, BISYNC, IrDA, HDLC","-","80","CPM","-","10","-","-","-","-","-","-","-","-","0","-","-","-","-","-"
"FSL","Power Architecture 处理器---PowerQUICC通信处理器","MPC885","MPC885CVR133","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC885&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/powerquicc-processors/powerquicc-i-8xx/powerquicc-processor-with-cpm-with-atm-usb-dual-10-100-ethernet-security:MPC885?&fpsp=1&tab=Documentation_Tab#MPC885CVR133","PowerQUICC, 32 Bit Power Architecture, 133MHz, Communications Processor, -40 to 100C","-","-","100 @ CNY203.92 each","PBGA 357","MPC8xx","133","1","8","-","-","DRAM, EDO, EPROM, SDRAM, SRAM","PCMCIA","-40 to 100","-","100","-","-","4","357","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","USB 2.0","-","Fast Ethernet","-","Transparent, IrDA, HDLC, Ethernet, BISYNC, AppleTalk, ATM","1","-","-","-","-","-","-","-","-","-","-","-","-","-40","-","-","1","1","-"
"FSL","Power Architecture 处理器---PowerQUICC通信处理器","MPC885","MPC885CVR66","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC885&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/powerquicc-processors/powerquicc-i-8xx/powerquicc-processor-with-cpm-with-atm-usb-dual-10-100-ethernet-security:MPC885?&fpsp=1&tab=Documentation_Tab#MPC885CVR66","PowerQUICC, 32 Bit Power Architecture, 66MHz, Communications Processor, -40 to 100C","-","-","100 @ CNY184.91 each","PBGA 357","MPC8xx","66","1","8","-","-","DRAM, EDO, EPROM, SDRAM, SRAM","PCMCIA","-40 to 100","-","100","-","-","4","357","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","USB 2.0","-","Fast Ethernet","-","Transparent, IrDA, HDLC, Ethernet, BISYNC, AppleTalk, ATM","1","-","-","-","-","-","-","-","-","-","-","-","-","-40","-","-","1","1","-"
"FSL","Power Architecture 处理器---PowerQUICC通信处理器","MPC885","MPC885CZP133","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC885&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/powerquicc-processors/powerquicc-i-8xx/powerquicc-processor-with-cpm-with-atm-usb-dual-10-100-ethernet-security:MPC885?&fpsp=1&tab=Documentation_Tab#MPC885CZP133","PowerQUICC, 32 Bit Power Architecture, 133MHz, Communications Processor, -40 to 100C","-","-","100 @ CNY203.92 each","PBGA 357","MPC8xx","133","1","8","-","-","DRAM, EDO, EPROM, SDRAM, SRAM","PCMCIA","-40 to 100","-","100","-","-","4","357","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","USB 2.0","-","Fast Ethernet","-","Transparent, IrDA, HDLC, Ethernet, BISYNC, AppleTalk, ATM","1","-","-","-","-","-","-","-","-","-","-","-","-","-40","-","-","1","3","-"
"FSL","Power Architecture 处理器---PowerQUICC通信处理器","MPC885","MPC885CZP66","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC885&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/powerquicc-processors/powerquicc-i-8xx/powerquicc-processor-with-cpm-with-atm-usb-dual-10-100-ethernet-security:MPC885?&fpsp=1&tab=Documentation_Tab#MPC885CZP66","PowerQUICC, 32 Bit Power Architecture, 66MHz, Communications Processor, -40 to 100C","-","-","100 @ CNY184.91 each","PBGA 357","MPC8xx","66","1","8","-","-","DRAM, EDO, EPROM, SDRAM, SRAM","PCMCIA","-40 to 100","-","100","-","-","4","357","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","USB 2.0","-","Fast Ethernet","-","Transparent, IrDA, HDLC, Ethernet, BISYNC, AppleTalk, ATM","1","-","-","-","-","-","-","-","-","-","-","-","-","-40","-","-","1","3","-"
"FSL","Power Architecture 处理器---PowerQUICC通信处理器","MPC885","MPC885VR133","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC885&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/powerquicc-processors/powerquicc-i-8xx/powerquicc-processor-with-cpm-with-atm-usb-dual-10-100-ethernet-security:MPC885?&fpsp=1&tab=Documentation_Tab#MPC885VR133","PowerQUICC, 32 Bit Power Architecture, 133MHz, Communications Processor, 0 to 95C","-","-","100 @ CNY188.85 each","PBGA 357","MPC8xx","133","1","8","-","-","SRAM, SDRAM, EPROM, EDO, DRAM","PCMCIA","0 to 95","-","95","-","-","4","357","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","USB 2.0","-","Fast Ethernet","-","Transparent, IrDA, HDLC, Ethernet, BISYNC, AppleTalk, ATM","1","-","-","-","-","-","-","-","-","-","-","-","-","0","-","-","1","3","-"
"FSL","Power Architecture 处理器---PowerQUICC通信处理器","MPC885","MPC885VR66","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC885&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/powerquicc-processors/powerquicc-i-8xx/powerquicc-processor-with-cpm-with-atm-usb-dual-10-100-ethernet-security:MPC885?&fpsp=1&tab=Documentation_Tab#MPC885VR66","PowerQUICC, 32 Bit Power Architecture, 66MHz, Communications Processor, 0 to 95C","-","-","100 @ CNY171.23 each","PBGA 357","MPC8xx","66","1","8","-","-","SRAM, SDRAM, EPROM, EDO, DRAM","PCMCIA","0 to 95","-","95","-","-","4","357","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","USB 2.0","-","Fast Ethernet","-","IrDA, HDLC, Ethernet, BISYNC, AppleTalk, ATM, Transparent","1","-","-","-","-","-","-","-","-","-","-","-","-","0","-","-","1","3","-"
"FSL","Power Architecture 处理器---PowerQUICC通信处理器","MPC885","MPC885VR80","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC885&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/powerquicc-processors/powerquicc-i-8xx/powerquicc-processor-with-cpm-with-atm-usb-dual-10-100-ethernet-security:MPC885?&fpsp=1&tab=Documentation_Tab#MPC885VR80","PowerQUICC, 32 Bit Power Architecture, 80MHz, Communications Processor, 0 to 95C","-","-","100 @ CNY179.75 each","PBGA 357","MPC8xx","80","1","8","-","-","SRAM, SDRAM, EPROM, EDO, DRAM","PCMCIA","0 to 95","-","95","-","-","4","357","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","USB 2.0","-","Fast Ethernet","-","Transparent, IrDA, HDLC, Ethernet, BISYNC, AppleTalk, ATM","1","-","-","-","-","-","-","-","-","-","-","-","-","0","-","-","1","3","-"
"FSL","Power Architecture 处理器---PowerQUICC通信处理器","MPC885","MPC885ZP133","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC885&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/powerquicc-processors/powerquicc-i-8xx/powerquicc-processor-with-cpm-with-atm-usb-dual-10-100-ethernet-security:MPC885?&fpsp=1&tab=Documentation_Tab#MPC885ZP133","PowerQUICC, 32 Bit Power Architecture, 133MHz, Communications Processor, 0 to 95C","-","-","100 @ CNY188.85 each","PBGA 357","MPC8xx","133","1","16","-","8","SRAM, SDRAM, FLASH, EPROM, EDO","PCMCIA","0 to 95","5","95","59","176","4","357","PRODUCT MATURITY/SATURATION(4)","0.495","0.43","66","-","10-YEARS APPLICATION LIFE","-","3.3","-","USB 2.0","-","MII, 10/100 BaseT","-","Ethernet, UTOPIA, TDM, ATM, UART, Transparent, ATOM1, HDLC, BISYNC","-","133","CPM","-","16","-","-","-","-","-","-","-","-","0","-","-","-","-","-"
"FSL","Power Architecture 处理器---PowerQUICC通信处理器","MPC885","MPC885ZP66","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC885&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/powerquicc-processors/powerquicc-i-8xx/powerquicc-processor-with-cpm-with-atm-usb-dual-10-100-ethernet-security:MPC885?&fpsp=1&tab=Documentation_Tab#MPC885ZP66","PowerQUICC, 32 Bit Power Architecture, 66MHz, Communications Processor, 0 to 95C","-","-","100 @ CNY171.23 each","PBGA 357","MPC8xx","66","1","16","-","8","SRAM, SDRAM, FLASH, EPROM, EDO","PCMCIA","0 to 95","5","95","59","87","4","357","PRODUCT MATURITY/SATURATION(4)","0.39","0.31","66","-","10-YEARS APPLICATION LIFE","-","3.3","-","USB 2.0","-","MII, 10/100 BaseT","-","UTOPIA, TDM, Ethernet, BISYNC, HDLC, ATOM1, Transparent, UART, ATM","-","66","CPM","-","16","-","-","-","-","-","-","-","-","0","-","-","-","-","-"
