"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","预算报价（不含税）(CNY)","封装类型和焊端数","内核：类型","工作频率 (Max) (MHz) ","内核：内核数量 (Spec)","工作环境温度 (Min-Max) (°C) ","缓存 (KB) ","L2缓存 (Max) (KB) ","内部RAM (KB) ","支持外部存储器","多媒体","其他特性","视频/显示功能","PLC代码","Pin count","PLC描述","UART","I2C","USB features","定时器类型","SPI","总线频率 (Max) (MHz) ","定时器特性","定时器","无铅","认证级别","RoHS","内核：工作电压 (Spec) (V) ","Ethernet Type","以太网","I2S","CAN","CAN Type","通信协议","PWM (bit)","PWM (ch)","支持外部存储","外部总线接口","SCC","Camera interfaces","GPU 2D (BLIT)","Display resolution @60Hz (max)","Display interfaces","GPU 2D (Vector Graphics)","GPU 3D","Supported graphics libraries","USB features","Tamper detection","Media Local Bus (MLB)","Audio-specific modules","Debug &amp; Trace"," 片上SRAM (KB)","Boot ROM (KB)","External storage support","HW Video Encoder / Decoder","External memory support","DRAM frequency (max)(MHz)","ECSPI","以太网","SDIO","SATA","CAN","ESAI","PWM modules (resolution)","定时器","Additional security features","Watchdog","Temperature sensor","Recommended PMIC","Integrated power management","PCIe 2.0 (# Lane)","Linux","Android","Junction Temperature (Max) (&#186;C)","USB","Junction Temperature (Min) (&#186;C)","Package Type","Package pitch (mm)","外部总线宽度 (bit) ","HW Dev. Tools","Main CPU: Type","Package dimension (LxWxZ) (mm)","Pin compatible i.MX families","Main CPU: L2 Cache (max) (KB)","Main CPU: L2 Cache (max) (KB)","Main CPU: Number of cores","Main CPU: Operating frequency (max) (MHz)","Real-time companion CPU: I/D Cache (max)(KB)","ADC","Real-time companion CPU: Type","Real-time companion CPU: Operating frequency (max) (MHz)","Real-time companion CPU: Tightly-coupled memory (max)(KB)","替代部件"
"FSL","ARM 处理器---i.MX应用处理器","i.MX6UL","MCIMX6G0DVM05AA","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=i.MX6UL&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/i.mx-applications-processors-based-on-arm-cores/i.mx-6-processors/i.mx6qp/i.mx-6ultralite-processor-low-power-secure-arm-cortex-a7-core:i.MX6UL?&fpsp=1&tab=Documentation_Tab#MCIMX6G0DVM05AA","i.MX 32-bit MPU, ARM Cortex-A7 core, 500MHz, 289BGA","-","1000 @ CNY26.13 each","MAPBGA 289","ARM Cortex-A7","528","1","-","-","-","-","-","-","-","-","2","289","PRODUCT RAPID GROWTH(2)","4","2","-","-","-","-","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","1","-","-","-","16","-","-","-","-","-","-","-","-","-","-","-","2x HS USB 2.0 OTG + PHY","-","-","-","JTAG","128","96","-","-","-","400","2","1x 10/100","-","-","-","-","4 (16-bit)","4","-","3","Yes","PF3000","Partial PMU integration (LDO)","-","-","-","70","1","0","MAPBGA","0.8","-","-","-","-","-","32/32","-","-","-","-","-","-","-","-","-"
"FSL","ARM 处理器---i.MX应用处理器","i.MX6UL","MCIMX6G2DVK05AA","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=i.MX6UL&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/i.mx-applications-processors-based-on-arm-cores/i.mx-6-processors/i.mx6qp/i.mx-6ultralite-processor-low-power-secure-arm-cortex-a7-core:i.MX6UL?&fpsp=1&tab=Documentation_Tab#MCIMX6G2DVK05AA","i.MX 32-bit MPU, ARM Cortex-A7 core, 500MHz, 289BGA","-","1000 @ CNY36.88 each","MAPBGA 272","ARM Cortex-A7","528","1","-","-","-","-","-","-","-","-","2","272","PRODUCT RAPID GROWTH(2)","8","4","-","-","-","-","-","-","-","5-YEARS APPLICATION LIFE","-","-","-","-","3","-","FlexCAN","-","16","-","-","-","-","-","-","-","-","-","-","-","2x HS USB 2.0 OTG + PHY","-","-","-","JTAG","128","96","-","-","-","400","4","-","-","-","2x FlexCAN","-","8 (16-bit)","4","-","3","Yes","PF3000","Partial PMU integration (LDO)","-","-","-","70","2","0","MAPBGA","0.5","-","-","-","-","-","32/32","128","-","-","-","-","-","-","-","-"
"FSL","ARM 处理器---i.MX应用处理器","i.MX6UL","MCIMX6G2DVM05AA","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=i.MX6UL&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/i.mx-applications-processors-based-on-arm-cores/i.mx-6-processors/i.mx6qp/i.mx-6ultralite-processor-low-power-secure-arm-cortex-a7-core:i.MX6UL?&fpsp=1&tab=Documentation_Tab#MCIMX6G2DVM05AA","i.MX 32-bit MPU, ARM Cortex-A7 core, 500MHz, 289BGA","-","1000 @ CNY35.16 each","MAPBGA 289","ARM Cortex-A7","528","1","-","-","-","-","-","-","-","-","2","289","PRODUCT RAPID GROWTH(2)","8","4","-","-","-","-","-","-","-","5-YEARS APPLICATION LIFE","-","-","-","-","3","-","FlexCAN","-","16","-","-","-","-","-","-","-","-","-","-","-","2x HS USB 2.0 OTG + PHY","-","-","-","JTAG","128","96","-","-","-","400","4","-","-","-","2x FlexCAN","-","8 (16-bit)","4","-","3","Yes","PF3000","Partial PMU integration (LDO)","-","-","-","70","2","0","MAPBGA","0.8","-","-","-","-","-","32/32","128","-","-","-","-","-","-","-","-"
"FSL","ARM 处理器---i.MX应用处理器","i.MX6UL","MCIMX6G3DVK05AA","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=i.MX6UL&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/i.mx-applications-processors-based-on-arm-cores/i.mx-6-processors/i.mx6qp/i.mx-6ultralite-processor-low-power-secure-arm-cortex-a7-core:i.MX6UL?&fpsp=1&tab=Documentation_Tab#MCIMX6G3DVK05AA","i.MX 32-bit MPU, ARM Cortex-A7 core, 500MHz, 289BGA","-","1000 @ CNY43.62 each","MAPBGA 272","ARM Cortex-A7","528","1","-","-","-","-","-","-","-","-","2","272","PRODUCT RAPID GROWTH(2)","8","4","-","-","-","-","-","-","-","5-YEARS APPLICATION LIFE","-","-","-","-","3","-","FlexCAN","-","16","-","-","-","-","-","-","-","-","-","-","-","2x HS USB 2.0 OTG + PHY","-","-","-","JTAG","128","96","-","-","-","400","4","-","-","-","2x FlexCAN","-","8 (16-bit)","4","-","3","Yes","PF3000","Partial PMU integration (LDO)","-","-","-","70","2","0","MAPBGA","0.5","-","-","-","-","-","32/32","128","-","-","-","-","-","-","-","-"
"FSL","ARM 处理器---i.MX应用处理器","i.MX6UL","MCIMX6G3DVM05AA","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=i.MX6UL&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/i.mx-applications-processors-based-on-arm-cores/i.mx-6-processors/i.mx6qp/i.mx-6ultralite-processor-low-power-secure-arm-cortex-a7-core:i.MX6UL?&fpsp=1&tab=Documentation_Tab#MCIMX6G3DVM05AA","i.MX 32-bit MPU, ARM Cortex-A7 core, 500MHz, 289BGA","-","1000 @ CNY41.52 each","MAPBGA 289","ARM Cortex-A7","528","1","-","-","-","-","-","-","-","-","2","289","PRODUCT RAPID GROWTH(2)","8","4","-","-","-","-","-","-","-","5-YEARS APPLICATION LIFE","-","-","-","-","3","-","FlexCAN","-","16","-","-","-","-","-","-","-","-","-","-","-","2x HS USB 2.0 OTG + PHY","-","-","-","JTAG","128","96","-","-","-","400","4","-","-","-","2x FlexCAN","-","8 (16-bit)","4","-","3","Yes","PF3000","Partial PMU integration (LDO)","-","-","-","70","2","0","MAPBGA","0.8","-","-","-","-","-","32/32","128","-","-","-","-","-","-","-","-"
"FSL","ARM 处理器---i.MX应用处理器","i.MX6SL","MCIMX6L2DVN10AB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=i.MX6SL&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/i.mx-applications-processors-based-on-arm-cores/i.mx-6-processors/i.mx6qp/i.mx-6sololite-processors-single-core-low-power-epd-controller-arm-cortex-a9-core:i.MX6SL?&fpsp=1&tab=Documentation_Tab#MCIMX6L2DVN10AB","i.MX 6 series 32-bit MPU, ARM Cortex-A9 core, 1GHz, MAPBGA 432","-","1000 @ CNY53.16 each","MAPBGA 432","ARM Cortex-A9","1000","1","-","32","256","128","DDR3, LPDDR2","Camera Interface","Temperature Sensor","LCD Controller, OpenVG 1.1","2","432","PRODUCT RAPID GROWTH(2)","5","3","USB OTG, USB OTG HS, USB 2.0, Integrated PHY","General Purpose Timer, Periodic Interrupt Timer, Watchdog Timer","4","400","-","-","-","5-YEARS APPLICATION LIFE","-","-","10/100 BaseT","1","3","-","n/a","-","16","4","MMC, SD","NOR, WEIM","-","1x 16-bit parallel camera port","-","WXGA","1x 24-bit RGB","-","-","-","1x HS USB 2.0 Host + HSIC, 2x HS USB 2.0 OTG + PHY","Yes","-","-","JTAG","128","96","1x SDXC, 3x SD/MMC 4.4","-","32-bit DDR3, 32-bit DDR3L, 32-bit LPDDR2","400","4","1x 10/100","-","-","-","-","4 (16-bit)","2","A-HAB, ARM TrustZone, Cryptographic accelerator, NIST approved RNG, Secure RAM","2","Yes","MMPF0100, MMPF0200, PF3000","Partial PMU integration (LDO)","-","L3.10.53_1.1.0","IMX6_KK443_200_ANDROID","95","3","0","MAPBGA","0.5","32","MCIMX6SLEVK","ARM Cortex-A9","13x13x1.1","-","32/32","256","1","1000","-","-","-","-","-","-"
"FSL","ARM 处理器---i.MX应用处理器","i.MX6SL","MCIMX6L2EVN10AB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=i.MX6SL&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/i.mx-applications-processors-based-on-arm-cores/i.mx-6-processors/i.mx6qp/i.mx-6sololite-processors-single-core-low-power-epd-controller-arm-cortex-a9-core:i.MX6SL?&fpsp=1&tab=Documentation_Tab#MCIMX6L2EVN10AB","i.MX 6 series 32-bit MPU, ARM Cortex-A9 core, 1GHz, MAPBGA 432","-","1000 @ CNY58.43 each","MAPBGA 432","ARM Cortex-A9","1000","1","-","32","256","128","DDR3, LPDDR2","Camera Interface","Temperature Sensor","LCD Controller, OpenVG 1.1","2","432","PRODUCT RAPID GROWTH(2)","5","3","USB OTG, USB OTG HS, USB 2.0, Integrated PHY","General Purpose Timer, Periodic Interrupt Timer, Watchdog Timer","4","400","-","-","-","5-YEARS APPLICATION LIFE","-","-","10/100 BaseT","1","3","-","n/a","-","16","4","MMC, SD","NOR, WEIM","-","1x 16-bit parallel camera port","-","WXGA","1x 24-bit RGB","-","-","-","1x HS USB 2.0 Host + HSIC, 2x HS USB 2.0 OTG + PHY","Yes","-","-","JTAG","128","96","1x SDXC, 3x SD/MMC 4.4","-","32-bit DDR3, 32-bit DDR3L, 32-bit LPDDR2","400","4","1x 10/100","-","-","-","-","4 (16-bit)","2","A-HAB, ARM TrustZone, Cryptographic accelerator, NIST approved RNG, Secure RAM","2","Yes","MMPF0100, MMPF0200, PF3000","Partial PMU integration (LDO)","-","L3.10.53_1.1.0","IMX6_KK443_200_ANDROID","105","3","-40","MAPBGA","0.5","32","MCIMX6SLEVK","ARM Cortex-A9","13x13x1.1","-","32/32","256","1","1000","-","-","-","-","-","-"
"FSL","ARM 处理器---i.MX应用处理器","i.MX6SL","MCIMX6L2EVN10ABR","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=i.MX6SL&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/i.mx-applications-processors-based-on-arm-cores/i.mx-6-processors/i.mx6qp/i.mx-6sololite-processors-single-core-low-power-epd-controller-arm-cortex-a9-core:i.MX6SL?&fpsp=1&tab=Documentation_Tab#MCIMX6L2EVN10ABR","i.MX 6 series 32-bit MPU, ARM Cortex-A9 core, 1GHz, MAPBGA 432","-","-","MAPBGA 432","-","-","-","-","-","-","-","-","-","-","-","2","432","PRODUCT RAPID GROWTH(2)","5","3","-","-","4","-","-","-","-","5-YEARS APPLICATION LIFE","-","-","-","-","3","-","-","-","-","-","-","-","-","1x 16-bit parallel camera port","-","WXGA","1x 24-bit RGB","-","-","-","1x HS USB 2.0 Host + HSIC, 2x HS USB 2.0 OTG + PHY","Yes","-","-","JTAG","128","96","1x SDXC, 3x SD/MMC 4.4","-","32-bit DDR3, 32-bit DDR3L, 32-bit LPDDR2","400","-","1x 10/100","-","-","-","-","4 (16-bit)","2","Secure RAM, NIST approved RNG, Cryptographic accelerator, ARM TrustZone, A-HAB","2","Yes","MMPF0100, MMPF0200, PF3000","Partial PMU integration (LDO)","-","L3.10.53_1.1.0","IMX6_KK443_200_ANDROID","105","3","-40","MAPBGA","0.5","-","MCIMX6SLEVK","ARM Cortex-A9","13x13x1.1","-","32/32","256","1","1000","-","-","-","-","-","-"
"FSL","ARM 处理器---i.MX应用处理器","i.MX6SL","MCIMX6L3DVN10AB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=i.MX6SL&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/i.mx-applications-processors-based-on-arm-cores/i.mx-6-processors/i.mx6qp/i.mx-6sololite-processors-single-core-low-power-epd-controller-arm-cortex-a9-core:i.MX6SL?&fpsp=1&tab=Documentation_Tab#MCIMX6L3DVN10AB","i.MX 6 series 32-bit MPU, ARM Cortex-A9 core, 1GHz, MAPBGA 432","-","1000 @ CNY55.51 each","MAPBGA 432","ARM Cortex-A9","1000","1","-","32","256","128","DDR3, LPDDR2","Camera Interface","Temperature Sensor","LCD Controller, OpenVG 1.1","2","432","PRODUCT RAPID GROWTH(2)","5","3","USB OTG, USB OTG HS, USB 2.0, Integrated PHY","General Purpose Timer, Periodic Interrupt Timer, Watchdog Timer","4","400","-","-","-","5-YEARS APPLICATION LIFE","-","-","10/100 BaseT","1","3","-","n/a","-","16","4","MMC, SD","NOR, WEIM","-","1x 16-bit parallel camera port","Vivante GC320 (600Mpx/s)","WXGA","1x 24-bit RGB","Vivante GC355 (300Mpx/s)","-","-","1x HS USB 2.0 Host + HSIC, 2x HS USB 2.0 OTG + PHY","Yes","-","-","JTAG","128","96","1x SDXC, 3x SD/MMC 4.4","-","32-bit DDR3, 32-bit DDR3L, 32-bit LPDDR2","400","4","1x 10/100","-","-","-","-","4 (16-bit)","2","A-HAB, ARM TrustZone, Cryptographic accelerator, NIST approved RNG, Secure RAM","2","Yes","MMPF0100, MMPF0200, PF3000","Partial PMU integration (LDO)","-","L3.10.53_1.1.0","IMX6_KK443_200_ANDROID","95","3","0","MAPBGA","0.5","32","MCIMX6SLEVK","ARM Cortex-A9","13x13x1.1","-","32/32","256","1","1000","-","-","-","-","-","-"
"FSL","ARM 处理器---i.MX应用处理器","i.MX6SL","MCIMX6L3EVN10AB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=i.MX6SL&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/i.mx-applications-processors-based-on-arm-cores/i.mx-6-processors/i.mx6qp/i.mx-6sololite-processors-single-core-low-power-epd-controller-arm-cortex-a9-core:i.MX6SL?&fpsp=1&tab=Documentation_Tab#MCIMX6L3EVN10AB","i.MX 6 series 32-bit MPU, ARM Cortex-A9 core, 1GHz, MAPBGA 432","-","1000 @ CNY61.04 each","MAPBGA 432","ARM Cortex-A9","1000","1","-","32","256","128","DDR3, LPDDR2","Camera Interface","Temperature Sensor","LCD Controller, OpenVG 1.1","2","432","PRODUCT RAPID GROWTH(2)","5","3","USB OTG, USB OTG HS, USB 2.0, Integrated PHY","General Purpose Timer, Periodic Interrupt Timer, Watchdog Timer","4","400","-","-","-","5-YEARS APPLICATION LIFE","-","-","10/100 BaseT","1","3","-","n/a","-","16","4","MMC, SD","NOR, WEIM","-","1x 16-bit parallel camera port","Vivante GC320 (600Mpx/s)","WXGA","1x 24-bit RGB","Vivante GC355 (300Mpx/s)","-","-","1x HS USB 2.0 Host + HSIC, 2x HS USB 2.0 OTG + PHY","Yes","-","-","JTAG","128","96","1x SDXC, 3x SD/MMC 4.4","-","32-bit DDR3, 32-bit DDR3L, 32-bit LPDDR2","400","4","1x 10/100","-","-","-","-","4 (16-bit)","2","A-HAB, ARM TrustZone, Cryptographic accelerator, NIST approved RNG, Secure RAM","2","Yes","MMPF0100, MMPF0200, PF3000","Partial PMU integration (LDO)","-","L3.10.53_1.1.0","IMX6_KK443_200_ANDROID","105","3","-40","MAPBGA","0.5","32","MCIMX6SLEVK","ARM Cortex-A9","13x13x1.1","-","32/32","256","1","1000","-","-","-","-","-","-"
