"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","替代部件","器件功能","预算报价（不含税）(CNY)","SafeAssure 功能安全","封装类型和焊端数","工作环境温度 (Min-Max) (°C) ","其他特性-模拟","CAN Type","通信协议","负载供电电压 (Min) (V) ","负载供电电压 (Max) (V) ","供电电压 (Min-Max) (V) ","RoHS","接口和输入控制","PLC代码","Pin count","PLC描述","诊断","Sleep Current (Max) (mA) ","认证级别","保护","通道数","每路输出电流限值 (Min) (A) (ILIM)","无铅","负载电流 (Typ) (A) (IL)","漏源导通电阻 (Typ) (mOhm) (RDS(ON))","其他特性 - 电源管理","线性/LDO稳压器数量","开关升压稳压器数量","开关降压稳压器数量","输出电压","输出电流 (A) ","开关监控电压 (Min-Max) (V) (VSENSE)","负载电流 (Max) (A) (IL)","PWM Frquency (Hz) ","内核：内核数量 (Spec)","内部RAM (KB) ","数据传输速率 (Spec) (kbps) ","数据传输速率 (Max) (kbps) ","数据传输速率 (Min) (kbps) ","工作频率 (Max) (MHz) ","内核：类型","内部闪存 (KB) ","内核：工作电压 (Spec) (V) ","ADC (ch)","PWM (bit)","ADC (bit)","PWM (ch)","定时器特性","定时器","PWM","ADC","MCU内部用户闪存 (Spec) (kByte) "
"FSL","模拟与电源管理---发动机和DC电机控制","TC80310","TC80310ASHWS","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=TC80310&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/engine-and-dc-motor-control/powertrain-engine-control/programmable-lin-1.3-alternator-regulator:TC80310?&fpsp=1&tab=Documentation_Tab#TC80310ASHWS","Alternator Regulator with LIN, 14V, 8A, Preconfig, Wafer","-","-","Alternator Regulator","-","-","Die","-40 to 150","-","-","LIN","-","-","8 to 27","-","LIN","2","-","PRODUCT RAPID GROWTH(2)","Status Reporting","-","AUTO; >=10 YEARS APPLICATION LIFE","Load Dump, Overcurrent Protected Bus, Overtemperature, Overvoltage","-","-","-","-","-","Temperature Monitoring","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MPC17531","MPC17531ATEP","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC17531&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/engine-and-dc-motor-control/h-bridges/dual-h-bridge-motor-driver-2-8.6v-1.4a-200khz:MPC17531?&fpsp=1&tab=Documentation_Tab#MPC17531ATEP","H-Bridge, Dual, Low Voltage, Stepper & DC Brushed Motor Driver, 2-8.6V, 1.4A, 200kHz, QFN 24, Tray","-","-","Dual H-Bridge","1000 @ CNY5.72 each","-","QFN 24","-20 to 65","Internal Charge Pump, Low RDSon","-","-","2","8.6","2.7 to 3.6","-","Parallel","3","24","PRODUCT STABLE GROWTH/MATURITY(3)","None","-","5-YEARS APPLICATION LIFE","Shoot Through, Undervoltage Detection","2","1.4","-","0.7","800","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MPC17531","MPC17531ATEPR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC17531&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/engine-and-dc-motor-control/h-bridges/dual-h-bridge-motor-driver-2-8.6v-1.4a-200khz:MPC17531?&fpsp=1&tab=Documentation_Tab#MPC17531ATEPR2","H-Bridge, Dual, Low Voltage, Stepper & DC Brushed Motor Driver, 2-8.6V, 1.4A, 200kHz, QFN 24, Reel","-","-","Dual H-Bridge","1000 @ CNY5.72 each","-","QFN 24","-20 to 65","Internal Charge Pump, Low RDSon","-","-","2","8.6","2.7 to 3.6","-","Parallel","3","24","PRODUCT STABLE GROWTH/MATURITY(3)","None","-","5-YEARS APPLICATION LIFE","Shoot Through, Undervoltage Detection","2","1.4","-","0.7","800","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MPC17511","MPC17511EP","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC17511&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/engine-and-dc-motor-control/h-bridges/h-bridge-brushed-dc-motor-driver-2-6.8v-3.0a-200khz:MPC17511?&fpsp=1&tab=Documentation_Tab#MPC17511EP","H-Bridge, Low Voltage, DC Brushed Motor Driver, 2-6.8V, 3.0A, 200kHz, QFN 24, Tray","-","-","H-Bridge","1000 @ CNY3.94 each","-","QFN-EP 24","-20 to 65","Internal Charge Pump, Low RDSon","-","-","2","6.8","2.7 to 5.7","-","Parallel","3","24","PRODUCT STABLE GROWTH/MATURITY(3)","None","-","5-YEARS APPLICATION LIFE","Shoot Through, Undervoltage Detection","2","3","-","1","460","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MPC17511","MPC17511EPR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC17511&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/engine-and-dc-motor-control/h-bridges/h-bridge-brushed-dc-motor-driver-2-6.8v-3.0a-200khz:MPC17511?&fpsp=1&tab=Documentation_Tab#MPC17511EPR2","H-Bridge, Low Voltage, DC Brushed Motor Driver, 2-6.8V, 3.0A, 200kHz, QFN 24, Reel","-","-","H-Bridge","1000 @ CNY3.94 each","-","QFN-EP 24","-20 to 65","Internal Charge Pump, Low RDSon","-","-","2","6.8","2.7 to 5.7","-","Parallel","3","24","PRODUCT STABLE GROWTH/MATURITY(3)","None","-","5-YEARS APPLICATION LIFE","Shoot Through, Undervoltage Detection","2","3","-","1","460","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MM912_P812","MM912IP812AMAF","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM912_P812&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/integrated-s12p-microcontrollers-mcus-with-ignition-and-injector-driver:MM912_P812?&fpsp=1&tab=Documentation_Tab#MM912IP812AMAF","16-Bit MCU, S12P 96K, MC33812, Ignition, Injector, Driver System In Package (SiP) , QFP 100, Tray","-","-","Embedded MCU plus Power, Powertrain Control","1000 @ CNY20.41 each","-","LQFP-EP 100","-40 to 125","Watchdog Timer, PWM Capable, Output Open/Short Diagnostic, Output Current Limiting, Diagnostics Reporting, A/D Converter and Digital I/O","CAN 2.0 A/B","CAN, ISO 9141","4.7","36","4.7 to 36","-","SPI","3","100","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Output Current, Bus Short Circuit to Battery","1, 2","1.5, 4","-","-","1000, 250","-","-","-","-","-","-","-","2.5, 6","-","1","6","-","1000","10","32","HCS12","96","5","10","16","12","3","Watchdog, TPU, PWM","8-ch. 16 bit","3-ch. 16-bit","10-ch. 12-bit","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MM912_P812","MM912IP812AMAFR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM912_P812&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/integrated-s12p-microcontrollers-mcus-with-ignition-and-injector-driver:MM912_P812?&fpsp=1&tab=Documentation_Tab#MM912IP812AMAFR2","16-Bit MCU, S12P 96K, MC33812, Ignition, Injector, Driver System In Package (SiP) , QFP 100, Reel","-","-","Embedded MCU plus Power, Powertrain Control","1000 @ CNY20.41 each","-","LQFP-EP 100","-40 to 125","Watchdog Timer, PWM Capable, Output Open/Short Diagnostic, Output Current Limiting, Diagnostics Reporting, A/D Converter and Digital I/O","CAN 2.0 A/B","CAN, ISO 9141","4.7","36","4.7 to 36","-","SPI","3","100","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Output Current, Bus Short Circuit to Battery","1, 2","1.5, 4","-","-","1000, 250","-","-","-","-","-","-","-","2.5, 6","-","1","6","-","1000","10","32","HCS12","96","5","10","16","12","3","Watchdog, TPU, PWM","8-ch. 16 bit","3-ch. 16-bit","10-ch. 12-bit","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MM912_P812","MM912JP812AMAF","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM912_P812&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/integrated-s12p-microcontrollers-mcus-with-ignition-and-injector-driver:MM912_P812?&fpsp=1&tab=Documentation_Tab#MM912JP812AMAF","16-Bit MCU, S12P 128K, MC33812, Ignition, Injector, Driver System In Package (SiP) , QFP 100, Tray","-","-","Embedded MCU plus Power, Powertrain Control","1000 @ CNY21.17 each","-","LQFP-EP 100","-40 to 125","Watchdog Timer, PWM Capable, Output Open/Short Diagnostic, Output Current Limiting, Diagnostics Reporting, A/D Converter and Digital I/O","CAN 2.0 A/B","CAN, ISO 9141","4.7","36","4.7 to 36","-","SPI","3","100","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Output Current, Bus Short Circuit to Battery","1, 2","1.5, 4","-","-","1000, 250","-","-","-","-","-","-","-","2.5, 6","-","1","6","-","1000","10","32","HCS12","128","5","10","16","12","3","Watchdog, TPU, PWM","8-ch. 16 bit","3-ch. 16-bit","10-ch. 12-bit","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MM912_P812","MM912JP812AMAFR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM912_P812&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/integrated-s12p-microcontrollers-mcus-with-ignition-and-injector-driver:MM912_P812?&fpsp=1&tab=Documentation_Tab#MM912JP812AMAFR2","16-Bit MCU, S12P 128K, MC33812, Ignition, Injector, Driver System In Package (SiP) , QFP 100, Reel","-","-","Embedded MCU plus Power, Powertrain Control","1000 @ CNY21.17 each","-","LQFP-EP 100","-40 to 125","Watchdog Timer, PWM Capable, Output Open/Short Diagnostic, Output Current Limiting, Diagnostics Reporting, A/D Converter and Digital I/O","CAN 2.0 A/B","CAN, ISO 9141","4.7","36","4.7 to 36","-","SPI","3","100","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Output Current, Bus Short Circuit to Battery","1, 2","1.5, 4","-","-","1000, 250","-","-","-","-","-","-","-","2.5, 6","-","1","6","-","1000","10","32","HCS12","128","5","10","16","12","3","Watchdog, TPU, PWM","8-ch. 16 bit","3-ch. 16-bit","10-ch. 12-bit","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MM912_634","MM912F634DV1AE","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM912_634&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/integrated-hcs12-based-relay-driver-microcontrollers-mcus-with-lin:MM912_634?&fpsp=1&tab=Documentation_Tab#MM912F634DV1AE","MagniV S12 Relay Driver, 2x HS/LS , I sense, 16-bit MCU, 6KB RAM, 32KB Flash, LIN, QFP-EP 48, Tray","-","-","Comm Transceivers, Embedded MCU plus Power, High Side Switch, Low Side Switch, System Basis Chip","1000 @ CNY14.50 each","-","LQFP-EP 48","-40 to 105","Watchdog Timer, Wake, Stop Mode, PWM Capable, A/D Converter and Digital I/O","-","LIN","5.5","27","5.5 to 27","-","-","3","48","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Undervoltage, Overvoltage, Overtemperature","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","-","100","20","20","HCS12","32","2.5","-","-","-","-","-","-","-","-","-"
