"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","封装类型和焊端数","预算报价（不含税）(CNY)","认证级别","内部闪存 (KB) ","内部RAM (KB) ","EEPROM (KB) ","内核：类型","工作频率 (Max) (MHz) ","总线频率 (Max) (MHz) ","CAN","I2C","LIN","SPI","供电电压 (Min-Max) (V) ","GPIOs","工作环境温度 (Min-Max) (°C) ","其他特性","ADC (ch)","PWM (bit)","SCI","ADC (bit)","PWM (ch)","PLC代码","Pin count","PLC描述","定时器特性","定时器","Debug &amp; Trace","PWM","内核：性能(MIPS)","ADC","无铅","RoHS","内核：工作电压 (Spec) (V) ","DAC (bit)","QSPI","CAN Type","其他模拟功能","5v VREG","SENT","SafeAssure 功能安全"," 物理层接口"," 高压输入"," 电机","定时器类型","DAC (ch)","DMA通道总数","PWM分辨率 (ps) ","独立的PWM模块","ADC转换时间 (ns) ","QSCI","模拟比较器","独立ADC模块","FlexMemory (kB) ","负载供电电压 (Max) (V) ","负载供电电压 (Min) (V) ","其他特性-模拟","数据传输速率 (Max) (kbps) ","数据传输速率 (Min) (kbps) ","通道数","诊断","通信协议","每路输出电流限值 (Min) (A) (ILIM)","器件功能","负载电流 (Typ) (A) (IL)","漏源导通电阻 (Typ) (mOhm) (RDS(ON))","保护","接口和输入控制","负载电流 (Max) (A) (IL)","内核：内核数量 (Spec)","J1850","视频/显示功能","协处理器类型","协处理器频率 (Max) (MHz) ","器件","LCD分辨率"," 高电流GPIO / EVDD","状态","替代部件"
"FSL","其他处理器---16位微控制器","S12ZVL","S9S12ZVL16F0CLC","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=S12ZVL&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/s12-magni-mixed-signal-mcusmagniv/s12zvl-mixed-signal-mcu-for-automotive-industrial-lin-applications:S12ZVL?&fpsp=1&tab=Documentation_Tab#S9S12ZVL16F0CLC","MagniV 16-bit MCU, S12Z core, 16KB Flash, 25MHz, -40/+85degC, Automotive Qualified, QFP 32","-","LQFP 32","1 @ CNY8.01 each","AUTO; >=10 YEARS APPLICATION LIFE","16","1","0.128","S12Z","32","-","-","1","-","1","5.5 to 18","19","-40 to 125","-","-","-","2","-","-","2","32","PRODUCT RAPID GROWTH(2)","-","6+2-ch. 16-bit","-","4-ch. 16-bit, 8-ch. 8-bit","-","10-ch. 10-bit","-","-","-","-","-","-","-","1","-","ISO 26262","LIN-PHY","1-ch. HVI, Vsup-Sense","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3ch NGPIO (5V/25mA)","-","-"
"FSL","其他处理器---16位微控制器","S12ZVL","S9S12ZVL16F0CLCR","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=S12ZVL&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/s12-magni-mixed-signal-mcusmagniv/s12zvl-mixed-signal-mcu-for-automotive-industrial-lin-applications:S12ZVL?&fpsp=1&tab=Documentation_Tab#S9S12ZVL16F0CLCR","MagniV 16-bit MCU, S12Z core, 16KB Flash, 25MHz, -40/+85degC, Automotive Qualified, QFP 32","-","LQFP 32","1 @ CNY8.01 each","AUTO; >=10 YEARS APPLICATION LIFE","16","1","0.128","S12Z","32","-","-","1","-","1","5.5 to 18","19","-40 to 125","-","-","-","2","-","-","2","32","PRODUCT RAPID GROWTH(2)","-","6+2-ch. 16-bit","-","4-ch. 16-bit, 8-ch. 8-bit","-","10-ch. 10-bit","-","-","-","-","-","-","-","1","-","ISO 26262","LIN-PHY","1-ch. HVI, Vsup-Sense","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3ch NGPIO (5V/25mA)","-","-"
"FSL","其他处理器---16位微控制器","S12ZVL","S9S12ZVL16F0VLC","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=S12ZVL&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/s12-magni-mixed-signal-mcusmagniv/s12zvl-mixed-signal-mcu-for-automotive-industrial-lin-applications:S12ZVL?&fpsp=1&tab=Documentation_Tab#S9S12ZVL16F0VLC","MagniV 16-bit MCU, S12Z core, 16KB Flash, 25MHz, -40/+105degC, Automotive Qualified, QFP 32","-","LQFP 32","1 @ CNY8.39 each","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","S12Z","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","32","PRODUCT RAPID GROWTH(2)","-","6+2-ch. 16-bit","-","4-ch. 16-bit, 8-ch. 8-bit","-","10-ch. 10-bit","-","-","-","-","-","-","-","1","-","ISO 26262","LIN-PHY","1-ch. HVI, Vsup-Sense","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3ch NGPIO (5V/25mA)","-","-"
"FSL","其他处理器---16位微控制器","S12ZVL","S9S12ZVL32F0MLC","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=S12ZVL&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/s12-magni-mixed-signal-mcusmagniv/s12zvl-mixed-signal-mcu-for-automotive-industrial-lin-applications:S12ZVL?&fpsp=1&tab=Documentation_Tab#S9S12ZVL32F0MLC","MagniV 16-bit MCU, S12Z core, 32KB Flash, 25MHz, -40/+125degC, Automotive Qualified, QFP 32","-","LQFP 32","1 @ CNY9.73 each","AUTO; >=10 YEARS APPLICATION LIFE","32","1","0.128","S12Z","32","-","-","1","-","1","5.5 to 18","19","-40 to 125","-","-","-","2","-","-","2","32","PRODUCT RAPID GROWTH(2)","-","6+2-ch. 16-bit","-","4-ch. 16-bit, 8-ch. 8-bit","-","10-ch. 10-bit","-","-","-","-","-","-","-","1","-","ISO 26262","LIN-PHY","1-ch. HVI, Vsup-Sense","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3ch NGPIO (5V/25mA)","-","-"
"FSL","其他处理器---16位微控制器","S12ZVL","S9S12ZVL32F0MLF","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=S12ZVL&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/s12-magni-mixed-signal-mcusmagniv/s12zvl-mixed-signal-mcu-for-automotive-industrial-lin-applications:S12ZVL?&fpsp=1&tab=Documentation_Tab#S9S12ZVL32F0MLF","MagniV 16-bit MCU, S12Z core, 32KB Flash, 25MHz, -40/+125degC, Automotive Qualified, QFP 48","-","LQFP 48","1 @ CNY10.43 each","AUTO; >=10 YEARS APPLICATION LIFE","32","1","0.128","S12Z","32","-","-","1","-","1","5.5 to 18","34","-40 to 125","-","-","-","2","-","-","2","48","PRODUCT RAPID GROWTH(2)","-","6+2-ch. 16-bit","-","4-ch. 16-bit, 8-ch. 8-bit","-","10-ch. 10-bit","-","-","-","-","-","-","-","1","-","ISO 26262","LIN-PHY","1-ch. HVI, Vsup-Sense","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3ch NGPIO (5V/25mA)","-","-"
"FSL","其他处理器---16位微控制器","S12ZVL","S9S12ZVL32F0VLF","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=S12ZVL&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/s12-magni-mixed-signal-mcusmagniv/s12zvl-mixed-signal-mcu-for-automotive-industrial-lin-applications:S12ZVL?&fpsp=1&tab=Documentation_Tab#S9S12ZVL32F0VLF","MagniV 16-bit MCU, S12Z core, 32KB Flash, 25MHz, -40/+105degC, Automotive Qualified, QFP 48","-","LQFP 48","1 @ CNY9.92 each","AUTO; >=10 YEARS APPLICATION LIFE","32","1","0.128","S12Z","32","-","-","1","-","1","5.5 to 18","34","-40 to 125","-","-","-","2","-","-","2","48","PRODUCT RAPID GROWTH(2)","-","6+2-ch. 16-bit","-","4-ch. 16-bit, 8-ch. 8-bit","-","10-ch. 10-bit","-","-","-","-","-","-","-","1","-","ISO 26262","LIN-PHY","1-ch. HVI, Vsup-Sense","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3ch NGPIO (5V/25mA)","-","-"
"FSL","其他处理器---16位微控制器","S12ZVL","S9S12ZVLS3F0MFM","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=S12ZVL&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/s12-magni-mixed-signal-mcusmagniv/s12zvl-mixed-signal-mcu-for-automotive-industrial-lin-applications:S12ZVL?&fpsp=1&tab=Documentation_Tab#S9S12ZVLS3F0MFM","MagniV 16-bit MCU, S12Z core, 32KB Flash, 25MHz, -40/+125degC, Automotive Qualified, QFN 32","-","QFN-EP 32","1 @ CNY10.49 each","AUTO; >=10 YEARS APPLICATION LIFE","32","1","0.128","S12Z","32","-","-","1","-","1","5.5 to 18","19","-40 to 125","-","-","-","2","-","-","2","32","PRODUCT RAPID GROWTH(2)","-","6+2-ch. 16-bit","-","4-ch. 16-bit, 8-ch. 8-bit","-","10-ch. 10-bit","-","-","-","-","-","-","-","1","-","ISO 26262","LIN-PHY","1-ch. HVI, Vsup-Sense","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3ch NGPIO (5V/25mA)","-","-"
"FSL","其他处理器---16位微控制器","S12XD","MC9S12XD256CAA","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=S12XD&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/s12xd-automotive-and-industrial-microcontrollers-mcus:S12XD?&fpsp=1&tab=Documentation_Tab#MC9S12XD256CAA","S12XD 16-bit MCU, HCS12X core, 256KB Flash, 80MHz, QFP 80","-","QFP 80","10000 @ CNY49.34 each","10-YEARS APPLICATION LIFE","256","14","4","HCS12X","80","40","1","1","-","3","3.15 to 5.5","59","-40 to 85","COP, Internal Clock Generator, Internal Voltage Regulator, Low Voltage Detect, PLL, POR","8","8","2","10","7","4","80","PRODUCT MATURITY/SATURATION(4)","Input Capture, Output Compare, Pulse Accumulator, Realtime Interrupts","4-ch. 16-bit, 4-ch. 24 bit","-","7-ch. 8-bit","-","8-ch. 10-bit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","XGATE","-","-","-","-","-","-"
"FSL","其他处理器---16位微控制器","S12XD","MC9S12XD256CAL","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=S12XD&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/s12xd-automotive-and-industrial-microcontrollers-mcus:S12XD?&fpsp=1&tab=Documentation_Tab#MC9S12XD256CAL","S12XD 16-bit MCU, HCS12X core, 256KB Flash, 80MHz, QFP 112","-","LQFP 112","10000 @ CNY49.98 each","10-YEARS APPLICATION LIFE","256","14","4","HCS12X","80","40","1","1","-","3","3.15 to 5.5","91","-40 to 85","COP, Internal Clock Generator, Internal Voltage Regulator, Low Voltage Detect, PLL, POR","16","8","4","10","8","4","112","PRODUCT MATURITY/SATURATION(4)","Input Capture, Output Compare, Pulse Accumulator, Realtime Interrupts","4-ch. 16-bit, 4-ch. 24 bit","-","8-ch. 8-bit","-","16-ch. 10-bit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","XGATE","-","-","-","-","-","-"
"FSL","其他处理器---16位微控制器","S12XD","MC9S12XD256MAA","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=S12XD&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/s12xd-automotive-and-industrial-microcontrollers-mcus:S12XD?&fpsp=1&tab=Documentation_Tab#MC9S12XD256MAA","S12XD 16-bit MCU, HCS12X core, 256KB Flash, 80MHz, QFP 80","-","QFP 80","10000 @ CNY54.24 each","10-YEARS APPLICATION LIFE","256","14","4","HCS12X","80","40","1","1","-","3","3.15 to 5.5","59","-40 to 125","COP, Internal Clock Generator, Internal Voltage Regulator, Low Voltage Detect, PLL, POR","8","8","2","10","7","4","80","PRODUCT MATURITY/SATURATION(4)","Input Capture, Output Compare, Pulse Accumulator, Realtime Interrupts","8-ch. 16 bit, 8-ch. 24 bit","-","7-ch. 8-bit","-","8-ch. 10-bit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","XGATE","-","-","-","-","-","-"
