"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","状态","替代部件","器件功能","预算报价（不含税）(CNY)","封装类型和焊端数","负载电流 (Typ) (A) (IL)","通道数","漏源导通电阻 (Typ) (mOhm) (RDS(ON))","每路输出电流限值 (Min) (A) (ILIM)","负载供电电压 (Min) (V) ","负载供电电压 (Max) (V) ","供电电压 (Min-Max) (V) ","接口和输入控制","工作环境温度 (Min-Max) (°C) ","保护","诊断","其他特性-模拟","RoHS","PLC代码","Pin count","PLC描述","无铅","认证级别","负载电流 (Max) (A) (IL)","Sleep Current (Max) (mA) ","开关升压稳压器数量","输出电压","输出电流 (A) ","SafeAssure 功能安全","PWM Frquency (Hz) ","内核：内核数量 (Spec)","内部RAM (KB) ","数据传输速率 (Spec) (kbps) ","数据传输速率 (Max) (kbps) ","数据传输速率 (Min) (kbps) ","通信协议","工作频率 (Max) (MHz) ","内核：类型","内部闪存 (KB) ","内核：工作电压 (Spec) (V) "
"FSL","模拟与电源管理---驱动器和开关","MM908E625","MM908E625ACPEK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM908E625&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/8-bit-intelligent-distributed-controllers/8-bit-mcu-with-integrated-vreg-configurable-h-b-lin:MM908E625?&fpsp=1&tab=Documentation_Tab#MM908E625ACPEK","Stepper motor driver, 4x H-B, 1 HSS, 3x Hall input,  8-bit MCU, 16KB Flash , LIN,SOIC-EP 54, Rail","-","-","-","H-Bridge and Config Switches, High Side Switch, Network Transceivers, Embedded MCU plus Power","1000 @ CNY25.75 each","SOIC-EP 54","-","-","-","-","8","18","5 to 28","-","-40 to 85","Undervoltage Detection, Overvoltage, Cross-Conduction Suppression, Short Circuit, Overcurrent, Overtemperature","SPI","PWM Capable, Internal Charge Pump, Hall Effect Sensor Inputs","-","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-","-","-","1","0.5","160","20","10","LIN","8","HC08","16","5"
"FSL","模拟与电源管理---驱动器和开关","MM908E625","MM908E625ACPEKR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM908E625&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/8-bit-intelligent-distributed-controllers/8-bit-mcu-with-integrated-vreg-configurable-h-b-lin:MM908E625?&fpsp=1&tab=Documentation_Tab#MM908E625ACPEKR2","Stepper motor driver, 4x H-B, 1 HSS, 3x Hall input,  8-bit MCU, 16KB Flash , LIN,SOIC-EP 54, Reel","-","-","-","Embedded MCU plus Power, H-Bridge and Config Switches, High Side Switch, Network Transceivers","1000 @ CNY25.75 each","SOIC-EP 54","-","-","-","-","8","18","5 to 28","-","-40 to 85","Short Circuit, Overvoltage, Undervoltage Detection, Cross-Conduction Suppression, Overtemperature, Overcurrent","SPI","Hall Effect Sensor Inputs, Internal Charge Pump, PWM Capable","-","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-","-","-","1","0.5","160","20","10","LIN","8","HC08","16","5"
"FSL","模拟与电源管理---驱动器和开关","MM908E626","MM908E626AVPEK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM908E626&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/8-bit-intelligent-distributed-controllers/8-bit-mcu-with-integrated-vreg-stepper-lin-phy:MM908E626?&fpsp=1&tab=Documentation_Tab#MM908E626AVPEK","Stepper motor driver, 4x H-B, 1 HSS, 3x Hall input,  8-bit MCU, 16KB Flash , LIN,SOIC-EP 54, Rail","-","-","-","H-Bridge and Config Switches, H-Bridge Stepper, Network Transceivers, Embedded MCU plus Power","1000 @ CNY26.13 each","SOIC-EP 54","-","-","-","-","8","18","5 to 28","-","-40 to 115","Undervoltage Detection, Overvoltage, Cross-Conduction Suppression, Short Circuit, Overcurrent, Overtemperature","SPI","PWM Capable, Internal Charge Pump","-","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-","-","-","1","0.5","160","20","10","LIN","8","HC08","16","5"
"FSL","模拟与电源管理---驱动器和开关","MM908E626","MM908E626AVPEKR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM908E626&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/8-bit-intelligent-distributed-controllers/8-bit-mcu-with-integrated-vreg-stepper-lin-phy:MM908E626?&fpsp=1&tab=Documentation_Tab#MM908E626AVPEKR2","Stepper motor driver, 4x H-B, 1 HSS, 3x Hall input,  8-bit MCU, 16KB Flash , LIN,SOIC-EP 54, Reel","-","-","-","Network Transceivers, H-Bridge Stepper, H-Bridge and Config Switches, Embedded MCU plus Power","1000 @ CNY26.13 each","SOIC-EP 54","-","-","-","-","8","18","5 to 28","-","-40 to 115","Short Circuit, Overvoltage, Undervoltage Detection, Cross-Conduction Suppression, Overcurrent, Overtemperature","SPI","PWM Capable, Internal Charge Pump","-","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-","-","-","1","0.5","160","20","10","LIN","8","HC08","16","5"
"FSL","模拟与电源管理---驱动器和开关","MM908E624","MM908E624ACPEW","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM908E624&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/8-bit-intelligent-distributed-controllers/8-bit-mcu-with-integrated-vreg-hss-relay-drivers-lin:MM908E624?&fpsp=1&tab=Documentation_Tab#MM908E624ACPEW","Relay driver, 3x HSS, I-sense, VREG, 8-bit MCU, 512B RAM, 16KB Flash, LIN, SOICW 54, Rail","-","-","-","High Side Switch, Network Transceivers, Embedded MCU plus Power","1000 @ CNY21.17 each","SOIC 54","-","-","-","-","8","18","9 to 16","-","-40 to 85","Short Circuit, Undervoltage Detection, Overcurrent, Overtemperature","SPI","PWM Capable, Output Current Limiting, Internal Charge Pump","-","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-","-","-","1","0.5","100","20","10","LIN","8","HC08","16","5"
"FSL","模拟与电源管理---驱动器和开关","MM908E624","MM908E624ACPEWR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM908E624&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/8-bit-intelligent-distributed-controllers/8-bit-mcu-with-integrated-vreg-hss-relay-drivers-lin:MM908E624?&fpsp=1&tab=Documentation_Tab#MM908E624ACPEWR2","Relay driver, 3x HSS, I-sense, VREG, 8-bit MCU, 512B RAM, 16KB Flash, LIN, SOICW 54, Reel","-","-","-","High Side Switch, Network Transceivers, Embedded MCU plus Power","1000 @ CNY21.17 each","SOIC 54","-","-","-","-","8","18","9 to 16","-","-40 to 85","Short Circuit, Undervoltage Detection, Overcurrent, Overtemperature","SPI","PWM Capable, Output Current Limiting, Internal Charge Pump","-","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-","-","-","1","0.5","100","20","10","LIN","8","HC08","16","5"
"FSL","模拟与电源管理---驱动器和开关","MM908E624","MM908E624AYPEW","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM908E624&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/8-bit-intelligent-distributed-controllers/8-bit-mcu-with-integrated-vreg-hss-relay-drivers-lin:MM908E624?&fpsp=1&tab=Documentation_Tab#MM908E624AYPEW","Relay driver, 3x HSS, I-sense, VREG, 8-bit MCU, 512B RAM, 16KB Flash, LIN, SOICW 54, Rail","-","-","-","High Side Switch, Network Transceivers, Embedded MCU plus Power","1000 @ CNY22.64 each","SOIC 54","-","-","-","-","8","18","9 to 16","-","-40 to 125","Short Circuit, Undervoltage Detection, Overcurrent, Overtemperature","SPI","PWM Capable, Output Current Limiting, Internal Charge Pump","-","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-","-","-","1","0.5","100","20","10","LIN","8","HC08","16","5"
"FSL","模拟与电源管理---驱动器和开关","MM908E624","MM908E624AYPEWR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM908E624&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/8-bit-intelligent-distributed-controllers/8-bit-mcu-with-integrated-vreg-hss-relay-drivers-lin:MM908E624?&fpsp=1&tab=Documentation_Tab#MM908E624AYPEWR2","Relay driver, 3x HSS, I-sense, VREG, 8-bit MCU, 512B RAM, 16KB Flash, LIN, SOICW 54 , Reel","-","-","-","High Side Switch, Network Transceivers, Embedded MCU plus Power","1000 @ CNY22.64 each","SOIC 54","-","-","-","-","8","18","9 to 16","-","-40 to 125","Short Circuit, Undervoltage Detection, Overcurrent, Overtemperature","SPI","PWM Capable, Output Current Limiting, Internal Charge Pump","-","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-","-","-","1","0.5","100","20","10","LIN","8","HC08","16","5"
"FSL","模拟与电源管理---驱动器和开关","MM908E622","MM908E622ACPEK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM908E622&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/8-bit-intelligent-distributed-controllers/8-bit-mcu-with-vreg-h-b-ec-glass-driver-lin-phy:MM908E622?&fpsp=1&tab=Documentation_Tab#MM908E622ACPEK","Integrated motor driver; 4x H-B, 3x HSS,  EC drive, 8-bit MCU, 16KB  Flash, LIN, SOIC-EP 54, Rail","-","-","-","H-Bridge and Config Switches, High Side Switch, Network Transceivers, Embedded MCU plus Power","1000 @ CNY30.33 each","SOIC-EP 54","-","-","-","-","7.5","20","5 to 28","-","-40 to 85","Undervoltage Detection, Overvoltage, Cross-Conduction Suppression, Short Circuit, Overcurrent, Overtemperature","SPI","PWM Capable, Internal Charge Pump","-","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-","-","-","1","0.5","100","20","10","LIN","8","HC08","16","5"
"FSL","模拟与电源管理---驱动器和开关","MM908E622","MM908E622ACPEKR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM908E622&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/8-bit-intelligent-distributed-controllers/8-bit-mcu-with-vreg-h-b-ec-glass-driver-lin-phy:MM908E622?&fpsp=1&tab=Documentation_Tab#MM908E622ACPEKR2","Integrated motor driver; 4x H-B, 3x HSS,  EC drive, 8-bit MCU, 16KB  Flash, LIN, SOIC-EP 54, Reel","-","-","-","H-Bridge and Config Switches, High Side Switch, Network Transceivers, Embedded MCU plus Power","1000 @ CNY30.33 each","SOIC-EP 54","-","-","-","-","7.5","20","5 to 28","-","-40 to 85","Undervoltage Detection, Overvoltage, Cross-Conduction Suppression, Short Circuit, Overcurrent, Overtemperature","SPI","PWM Capable, Internal Charge Pump","-","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-","-","-","1","0.5","100","20","10","LIN","8","HC08","16","5"
"FSL","模拟与电源管理---驱动器和开关","MC36XSD","MC06XSD200FK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC36XSD&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/drivers-and-switches/high-side-switches/36v-industrial-low-rsubdson-sub-extreme-switch:MC36XSD?&fpsp=1&tab=Documentation_Tab#MC06XSD200FK","High-Side Switch, 36V, Dual 6mOhms, PQFN 24, Tray","-","-","-","High Side Switch","1000 @ CNY29.19 each","QFN-EP 23","9","2","6","15","8","36","3 to 5.5","Parallel, SPI","-40 to 125","Short Circuit, Thermal Shutdown, Overcurrent, Overtemperature","SPI","Output Current Limit Selectabl, PWM Capable, Sleep Mode","-","3","23","PRODUCT STABLE GROWTH/MATURITY(3)","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---驱动器和开关","MC36XSD","MC06XSD200FKR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC36XSD&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/drivers-and-switches/high-side-switches/36v-industrial-low-rsubdson-sub-extreme-switch:MC36XSD?&fpsp=1&tab=Documentation_Tab#MC06XSD200FKR2","High-Side Switch, 36V, Dual 6m?, PQFN 24, Reel","-","-","-","High Side Switch","1000 @ CNY29.19 each","QFN-EP 23","9","2","6","15","8","36","3 to 5.5","Parallel, SPI","-40 to 125","Short Circuit, Thermal Shutdown, Overcurrent, Overtemperature","SPI","Output Current Limit Selectabl, PWM Capable, Sleep Mode","-","3","23","PRODUCT STABLE GROWTH/MATURITY(3)","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---驱动器和开关","MC36XSD","MC10XSD200FK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC36XSD&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/drivers-and-switches/high-side-switches/36v-industrial-low-rsubdson-sub-extreme-switch:MC36XSD?&fpsp=1&tab=Documentation_Tab#MC10XSD200FK","High-Side Switch, 36V, Dual 10mOhms, PQFN 24, Tray","-","-","-","High Side Switch","1000 @ CNY23.78 each","QFN-EP 23","6","2","10","9","8","36","3 to 5.5","Parallel, SPI","-40 to 125","Short Circuit, Thermal Shutdown, Overcurrent, Overtemperature","SPI","Output Current Limit Selectabl, PWM Capable, Sleep Mode","-","3","23","PRODUCT STABLE GROWTH/MATURITY(3)","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---驱动器和开关","MC36XSD","MC10XSD200FKR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC36XSD&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/drivers-and-switches/high-side-switches/36v-industrial-low-rsubdson-sub-extreme-switch:MC36XSD?&fpsp=1&tab=Documentation_Tab#MC10XSD200FKR2","High-Side Switch, 36V, Dual 10m?, PQFN 24, Reel","-","-","-","High Side Switch","1000 @ CNY23.78 each","QFN-EP 23","6","2","10","9","8","36","3 to 5.5","Parallel, SPI","-40 to 125","Short Circuit, Thermal Shutdown, Overcurrent, Overtemperature","SPI","Output Current Limit Selectabl, PWM Capable, Sleep Mode","-","3","23","PRODUCT STABLE GROWTH/MATURITY(3)","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---驱动器和开关","MC36XSD","MC16XSD200FK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC36XSD&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/drivers-and-switches/high-side-switches/36v-industrial-low-rsubdson-sub-extreme-switch:MC36XSD?&fpsp=1&tab=Documentation_Tab#MC16XSD200FK","High-Side Switch, 36V, Dual 16mOhms, PQFN 24, Tray","-","-","-","High Side Switch","1000 @ CNY21.11 each","QFN-EP 23","3","2","16","4.5","8","36","3 to 5.5","Parallel, SPI","-40 to 125","Short Circuit, Thermal Shutdown, Overcurrent, Overtemperature","SPI","Output Current Limit Selectabl, PWM Capable, Sleep Mode","-","3","23","PRODUCT STABLE GROWTH/MATURITY(3)","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---驱动器和开关","MC36XSD","MC16XSD200FKR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC36XSD&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/drivers-and-switches/high-side-switches/36v-industrial-low-rsubdson-sub-extreme-switch:MC36XSD?&fpsp=1&tab=Documentation_Tab#MC16XSD200FKR2","High-Side Switch, 36V, Dual 16m?, PQFN 24, reel","-","-","-","High Side Switch","1000 @ CNY21.11 each","QFN-EP 23","3","2","16","4.5","8","36","3 to 5.5","Parallel, SPI","-40 to 125","Short Circuit, Thermal Shutdown, Overcurrent, Overtemperature","SPI","Output Current Limit Selectabl, PWM Capable, Sleep Mode","-","3","23","PRODUCT STABLE GROWTH/MATURITY(3)","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---驱动器和开关","MC36XSD","MC22XSD200BEK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC36XSD&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/drivers-and-switches/high-side-switches/36v-industrial-low-rsubdson-sub-extreme-switch:MC36XSD?&fpsp=1&tab=Documentation_Tab#MC22XSD200BEK","High-Side Switch, 36V, Dual 22mOhms, SOICW-EP 32, Rail","-","-","-","High Side Switch","1000 @ CNY19.65 each","SOIC-EP 32","3","2","22","4.3","8","36","3 to 5.5","Parallel, SPI","-40 to 125","Overcurrent, Overvoltage, Short Circuit, Thermal Shutdown, Undervoltage","SPI","Diagnostics Reporting, Fail Safe Input, Open Load Detect Current Contr, Output Current Monitor, PWM Capable, Sleep Mode","-","2","32","PRODUCT RAPID GROWTH(2)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---驱动器和开关","MC36XSD","MC22XSD200BEKR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC36XSD&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/drivers-and-switches/high-side-switches/36v-industrial-low-rsubdson-sub-extreme-switch:MC36XSD?&fpsp=1&tab=Documentation_Tab#MC22XSD200BEKR2","High-Side Switch, 36V, Dual 22mohm, SOICW-EP 32, Reel","-","-","-","High Side Switch","1000 @ CNY19.65 each","SOIC-EP 32","3","2","22","4.3","8","36","3 to 5.5","Parallel, SPI","-40 to 125","Overcurrent, Overvoltage, Short Circuit, Thermal Shutdown, Undervoltage","SPI","Diagnostics Reporting, Fail Safe Input, Open Load Detect Current Contr, Output Current Monitor, PWM Capable, Sleep Mode","-","2","32","PRODUCT RAPID GROWTH(2)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---驱动器和开关","MC36XSD","MC50XSD200BEK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC36XSD&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/drivers-and-switches/high-side-switches/36v-industrial-low-rsubdson-sub-extreme-switch:MC36XSD?&fpsp=1&tab=Documentation_Tab#MC50XSD200BEK","High-Side Switch, 36V, Dual 50mOhms, SOICW-EP 32, Rail","-","-","-","High Side Switch, LED Drivers","1000 @ CNY16.85 each","SOIC-EP 32","1.2","2","50","-","36","8","6 to 58","SPI","-40 to 125","Overcurrent, Overtemperature, Short Circuit","SPI","3.3/5.0V SPI Interface, PWM Capable","-","2","32","PRODUCT RAPID GROWTH(2)","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","1000","-","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---驱动器和开关","MC36XSD","MC50XSD200BEKR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC36XSD&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/drivers-and-switches/high-side-switches/36v-industrial-low-rsubdson-sub-extreme-switch:MC36XSD?&fpsp=1&tab=Documentation_Tab#MC50XSD200BEKR2","High-Side Switch, 36V, Dual 50mOhms, SOICW-EP 32, Reel","-","-","-","High Side Switch, LED Drivers","1000 @ CNY16.85 each","SOIC-EP 32","-","-","-","-","36","8","6 to 58","SPI","-40 to 125","Overcurrent, Overtemperature, Short Circuit","SPI","3.3/5.0V SPI Interface, PWM Capable","-","2","32","PRODUCT RAPID GROWTH(2)","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","1000","-","-","-","-","-","-","-","-","-","-"
