"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","状态","预算报价（不含税）(CNY)","加速度 (g) ","加速度传感器输出","感应轴","灵敏度 (Typ) (mV/g) ","灵敏度 - 数字 (Typ) (Cnts/g) ","衰减频率 (Typ) (Hz) ","加速度特性","工作环境温度 (Min-Max) (°C) ","供电电压 (Min-Max) (V) ","分辨率 (Spec) (bit) ","SafeAssure 功能安全","零G输出 (Typ) (V) ","供电电压 (Typ) (V) ","PLC代码","封装类型和焊端数","Pin count","PLC描述","无铅","启动响应时间 (Typ) (ms) ","认证级别","RoHS","接口供电电压 (Min-Max) (V) ","接口供电电压 (Typ) (V) ","编程电压 (Typ) (V) ","灵敏度 - 数字 (Typ) (LSB/g) ","睡眠模式响应时间 (Typ) (ms) ","替代部件"
"FSL","传感器---加速度传感器","MMA8653FC","MMA8653FCR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA8653FC&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/accelerometers/3-axis-accelerometers/2g-4g-8g-low-g-10-bit-digital-accelerometer:MMA8653FC?&fpsp=1&tab=Documentation_Tab#MMA8653FCR1","Accelerometer, I2C, 1.91-3.6V, XYZ, 2/4/8g, 10bit, DFN 10, Reel","-","-","1000 @ CNY3.24 each","8, 2, 4","I2C","XYZ","-","256","-","Shock Detect","-40 to 85","1.95 to 3.6","10","-","-","2.5","3","DFN 10","10","PRODUCT STABLE GROWTH/MATURITY(3)","-","2","10-YEARS APPLICATION LIFE","-","-","-","-","-","1","-"
"FSL","传感器---加速度传感器","MMA8652FC","MMA8652FCR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA8652FC&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/accelerometers/3-axis-accelerometers/2g-4g-8g-low-g-12-bit-digital-accelerometer:MMA8652FC?&fpsp=1&tab=Documentation_Tab#MMA8652FCR1","Accelerometer, I2C, 1.91-3.6V, XYZ, 2/4/8g, 12bit, DFN 10, Reel","-","-","1000 @ CNY3.43 each","4, 8, 2","I2C","XYZ","0","1024","0","0g detect, High Pass Filter, Self Test, Shock Detect, Tap Detect","-40 to 85","1.95 to 3.6","12","-","0","2.5","3","DFN 10","10","PRODUCT STABLE GROWTH/MATURITY(3)","-","2","10-YEARS APPLICATION LIFE","-","-","-","-","-","1","-"
"FSL","传感器---加速度传感器","MMA8491Q","MMA8491QR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA8491Q&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/accelerometers/3-axis-accelerometers/8g-low-g-digital-freescale-accelerometer:MMA8491Q?&fpsp=1&tab=Documentation_Tab#MMA8491QR1","Accelerometer, I2C, 1.91-3.6V, XYZ, 8g, 14bit, QFN 12, Tray","-","-","1000 @ CNY4.96 each","8","I2C","XYZ","-","1024","-","-","-40 to 85","1.95 to 3.6","14","-","-","2.8","3","QFN 12","12","PRODUCT STABLE GROWTH/MATURITY(3)","-","0.5","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-"
"FSL","传感器---加速度传感器","MMA8453Q","MMA8453QR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA8453Q&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/accelerometers/3-axis-accelerometers/2g-4g-8g-low-g-10-bit-digital-accelerometer:MMA8453Q?&fpsp=1&tab=Documentation_Tab#MMA8453QR1","Accelerometer, I2C, 1.91-3.6V, XYZ, 2/4/8g, 10bit, QFN 16, Reel","-","-","1000 @ CNY4.32 each","2, 4, 8","I2C","XYZ","-","256","-","Self Test, Tap Detect, Shock Detect, 0g detect","-40 to 85","1.95 to 3.6","10","-","0","2.5","4","QFN 16","16","PRODUCT MATURITY/SATURATION(4)","-","2","10-YEARS APPLICATION LIFE","-","-","-","-","-","1","-"
"FSL","传感器---加速度传感器","MMA8453Q","MMA8453QT","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA8453Q&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/accelerometers/3-axis-accelerometers/2g-4g-8g-low-g-10-bit-digital-accelerometer:MMA8453Q?&fpsp=1&tab=Documentation_Tab#MMA8453QT","Accelerometer, I2C, 1.91-3.6V, XYZ, 2/4/8g, 10bit, QFN 16, Tray","-","-","1000 @ CNY4.32 each","2, 4, 8","I2C","XYZ","-","256","-","Self Test, Tap Detect, Shock Detect, 0g detect","-40 to 85","1.95 to 3.6","10","-","0","2.5","4","QFN 16","16","PRODUCT MATURITY/SATURATION(4)","-","2","10-YEARS APPLICATION LIFE","-","-","-","-","-","1","-"
"FSL","传感器---加速度传感器","MMA8452Q","MMA8452QR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA8452Q&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/accelerometers/3-axis-accelerometers/2g-4g-8g-low-g-12-bit-digital-accelerometer:MMA8452Q?&fpsp=1&tab=Documentation_Tab#MMA8452QR1","Accelerometer, I2C, 1.91-3.6V, XYZ, 2/4/8g, 12bit, QFN 16, Reel","-","-","1000 @ CNY4.32 each","2, 4, 8","I2C","XYZ","-","1024","-","Self Test, Tap Detect, Shock Detect, 0g detect, High Pass Filter","-40 to 85","1.95 to 3.6","12","-","-","2.5","4","QFN 16","16","PRODUCT MATURITY/SATURATION(4)","-","2","10-YEARS APPLICATION LIFE","-","-","-","-","-","1","-"
"FSL","传感器---加速度传感器","MMA8452Q","MMA8452QT","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA8452Q&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/accelerometers/3-axis-accelerometers/2g-4g-8g-low-g-12-bit-digital-accelerometer:MMA8452Q?&fpsp=1&tab=Documentation_Tab#MMA8452QT","Accelerometer, I2C, 1.91-3.6V, XYZ, 2/4/8g, 12bit, QFN 16, Tray","-","-","1000 @ CNY4.32 each","2, 4, 8","I2C","XYZ","-","1024","-","Self Test, Tap Detect, Shock Detect, 0g detect, High Pass Filter","-40 to 85","1.95 to 3.6","12","-","0","2.5","4","QFN 16","16","PRODUCT MATURITY/SATURATION(4)","-","2","10-YEARS APPLICATION LIFE","-","-","-","-","-","1","-"
"FSL","传感器---加速度传感器","MMA69xxKQ","MMA6900KQ","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA69xxKQ&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/accelerometers/2-axis-accelerometers/spi-3.5g-or-5.0g-xy-axis-low-g-digital-inertial-sensor:MMA69xxKQ?&fpsp=1&tab=Documentation_Tab#MMA6900KQ","Digital Low g Accelerometer, 3.3V, XY, 3.5g, QFN 16, Rail","-","-","1000 @ CNY29.76 each","3.5","SPI","XY","-","3.4","400","Self Test","-40 to 125","3.15 to 3.45","-","Quality Managed","2.5","3.3","3","QFN 16","16","PRODUCT STABLE GROWTH/MATURITY(3)","-","10","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-","0.84","-"
"FSL","传感器---加速度传感器","MMA69xxKQ","MMA6900KQR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA69xxKQ&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/accelerometers/2-axis-accelerometers/spi-3.5g-or-5.0g-xy-axis-low-g-digital-inertial-sensor:MMA69xxKQ?&fpsp=1&tab=Documentation_Tab#MMA6900KQR2","Digital Low g Accelerometer, 3.3V, XY, 3.5g, QFN 16, Reel","-","-","1000 @ CNY29.76 each","3.5","SPI","XY","-","3.4","400","Self Test","-40 to 125","3.15 to 3.45","-","Quality Managed","2.5","3.3","3","QFN 16","16","PRODUCT STABLE GROWTH/MATURITY(3)","-","10","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-","0.84","-"
"FSL","传感器---加速度传感器","MMA69xxKQ","MMA6901KQ","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA69xxKQ&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/accelerometers/2-axis-accelerometers/spi-3.5g-or-5.0g-xy-axis-low-g-digital-inertial-sensor:MMA69xxKQ?&fpsp=1&tab=Documentation_Tab#MMA6901KQ","Digital Low g Accelerometer, 5V, XY, 5g, QFN 16, Rail","-","-","1000 @ CNY29.76 each","5","SPI","XY","-","4.9","400","Self Test","-40 to 125","4.75 to 5.25","-","Quality Managed","2.5","5","3","QFN 16","16","PRODUCT STABLE GROWTH/MATURITY(3)","-","10","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-","0.84","-"
