"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","封装类型和焊端数","工作频率 (Max) (MHz) ","内核：类型","内部闪存 (KB) ","UART","I2C","SPI","ADC (bit)","GPIOs","ADC (ch)","Junction Temperature (Max) (&#186;C)","SCI","内部RAM (KB) ","PLC代码","预算报价（不含税）(CNY)","Pin count","PLC描述","其他特性","外部中断","定时器特性","定时器","Debug &amp; Trace","I/O 工作电压 (Max) (V) ","内核：性能(MIPS)","ADC","待机功能","CAN","总线频率 (Max) (MHz) ","工作环境温度 (Min-Max) (°C) ","无铅","供电电压 (Min-Max) (V) ","认证级别","RoHS","DAC (ch)","DAC (bit)","定时器类型","Ethernet Type","以太网","外部总线接口","视频/显示功能","USB","USB features","DMA通道总数","I2S","支持外部存储器","缓存 (KB) ","QSPI","片选","CAN Type","PWM (ch)","支持外部存储","LCD分辨率","内核：工作电压 (Spec) (V) "
"FSL","其他处理器---32位MCU/MPU","SCP2200","SCP2201VMU","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=SCP2200&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/image-cognition-processors/image-cognition-processors:SCP2200?&fpsp=1&tab=Documentation_Tab#SCP2201VMU","32-bit MPU, Image Cognition Processor, Automotive Qualified, MAPBGA 236","-","MAPBGA 236","-","ARM9","-","2","-","2","-","96","-","-","-","128","2","1 @ CNY223.06 each","236","PRODUCT RAPID GROWTH(2)","-","-","-","-","-","-","-","-","-","-","-","-40 to 105","-","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-","-","-","D1 Video Encode/Decode","-","USB OTG","-","-","DDR, SDRAM","-","-","-","-","2","MMC, SD","WVGA (860 x 480)","1"
"FSL","其他处理器---32位MCU/MPU","SCP2200","SCP2207VMU","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=SCP2200&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/image-cognition-processors/image-cognition-processors:SCP2200?&fpsp=1&tab=Documentation_Tab#SCP2207VMU","32-bit MPU, Image Cognition Processor, Automotive Qualified, MAPBGA 236","-","MAPBGA 236","-","ARM9","-","2","-","2","-","96","-","-","-","512","2","1 @ CNY258.79 each","236","PRODUCT RAPID GROWTH(2)","-","-","-","-","-","-","-","-","-","-","-","-40 to 105","-","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-","-","-","D1 Video Encode/Decode","-","USB OTG","-","-","DDR, SDRAM","-","-","-","-","2","MMC, SD","WVGA (860 x 480)","1"
"FSL","其他处理器---32位MCU/MPU","MCF5441X","MCF54415CMJ250","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5441X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor:MCF5441X?&fpsp=1&tab=Documentation_Tab#MCF54415CMJ250","MCF5441X 32-bit MPU, ColdFire V4 core, 250MHz, MAPBGA 256","-","MAPBGA 256","250","ColdFire V4","-","10","6","4","12","87","-","-","-","64","4","10000 @ CNY39.36 each","256","PRODUCT MATURITY/SATURATION(4)","-","7","-","-","-","3.3","385","-","-","2","-","-40 to 85","-","-","10-YEARS APPLICATION LIFE","-","-","12","-","10/100 BaseT","2","Flexbus","-","1","USB 2.0, USB OTG","-","2","-","8","-","6","CAN 2.0 B","-","-","-","-"
"FSL","其他处理器---32位MCU/MPU","MCF5441X","MCF54416CMJ250","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5441X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor:MCF5441X?&fpsp=1&tab=Documentation_Tab#MCF54416CMJ250","MCF5441X 32-bit MPU, ColdFire V4 core, 250MHz, MAPBGA 256","-","MAPBGA 256","250","ColdFire V4","-","10","6","4","12","87","-","-","-","64","4","10000 @ CNY45.84 each","256","PRODUCT MATURITY/SATURATION(4)","-","7","-","-","-","3.3","385","-","-","2","-","-40 to 85","-","-","10-YEARS APPLICATION LIFE","-","-","12","-","10/100 BaseT","2","Flexbus","-","1","USB 2.0, USB OTG","-","2","-","8","-","6","CAN 2.0 B","-","-","-","-"
"FSL","其他处理器---32位MCU/MPU","MCF5441X","MCF54417CMJ250","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5441X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor:MCF5441X?&fpsp=1&tab=Documentation_Tab#MCF54417CMJ250","MCF5441X 32-bit MPU, ColdFire V4 core, 250MHz, MAPBGA 256","-","MAPBGA 256","250","ColdFire V4","-","10","6","4","12","87","-","-","-","64","4","10000 @ CNY55.76 each","256","PRODUCT MATURITY/SATURATION(4)","-","7","-","-","-","3.3","385","-","-","2","-","-40 to 85","-","-","10-YEARS APPLICATION LIFE","-","-","12","-","10/100 BaseT","2","Flexbus","-","1","USB 2.0, USB OTG","-","2","-","8","-","6","CAN 2.0 B","-","-","-","-"
"FSL","其他处理器---32位MCU/MPU","MCF5441X","MCF54418CMJ250","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5441X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor:MCF5441X?&fpsp=1&tab=Documentation_Tab#MCF54418CMJ250","MCF5441X 32-bit MPU, ColdFire V4 core, 250MHz, MAPBGA 256","-","MAPBGA 256","250","ColdFire V4","-","10","6","4","12","87","-","-","-","64","4","10000 @ CNY62.31 each","256","PRODUCT MATURITY/SATURATION(4)","-","7","-","-","-","3.3","385","-","-","2","-","-40 to 85","-","-","10-YEARS APPLICATION LIFE","-","-","12","-","10/100 BaseT","2","Flexbus","-","1","USB 2.0, USB OTG","-","-","-","8","-","6","CAN 2.0 B","-","-","-","-"
"FSL","其他处理器---32位MCU/MPU","MCF527X","MCF5272VM66R2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF527X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v2-mpu/coldfire-v2-integrated-microprocessor:MCF527X?&fpsp=1&tab=Documentation_Tab#MCF5272VM66R2","MCF527x 32-bit MPU, ColdFire V2 core, 66MHz, MAPBGA 196","-","MAPBGA 196","66","-","-","-","-","-","-","32","-","-","-","4","4","10000 @ CNY64.86 each","196","PRODUCT MATURITY/SATURATION(4)","-","-","Watchdog","-","JTAG","3.3","-","-","-","-","66","0 to 70","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","USB 2.0","4","-","SDRAM","1","-","8","-","-","-","-","-"
"FSL","其他处理器---32位MCU/MPU","MCF5445X","MCF54450ACVM180","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5445X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor-with-usb-on-the-go-ethernet-pci-ddr2-ddr-controller-and-encryption:MCF5445X?&fpsp=1&tab=Documentation_Tab#MCF54450ACVM180","MCF5445x 32-bit MPU, ColdFire V4 core, 180MHz, MAPBGA 256","-","MAPBGA 256","180","-","-","3","1","1","-","93","-","-","-","32","4","10000 @ CNY55.57 each","256","PRODUCT MATURITY/SATURATION(4)","Random Number Generator, PLL, Memory Management Unit (MMU)","4","Input Capture, Reference Compare","1-ch. 16 bit, 1-ch. 32 bit","JTAG","3.3","370","-","-","-","90","-40 to 85","-","-","10-YEARS APPLICATION LIFE","-","-","-","Real Time Clock","MAC (FEC) 10/100 Ethernet","1","Flexbus, PCI","-","1","USB 2.0, USB OTG","16","1","DDR","32","-","9","-","-","-","-","-"
"FSL","其他处理器---32位MCU/MPU","MCF5445X","MCF54450AVM240","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5445X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor-with-usb-on-the-go-ethernet-pci-ddr2-ddr-controller-and-encryption:MCF5445X?&fpsp=1&tab=Documentation_Tab#MCF54450AVM240","MCF5445x 32-bit MPU, ColdFire V4 core, 240MHz, MAPBGA 256","-","MAPBGA 256","240","-","-","3","1","1","-","93","-","-","-","32","4","10000 @ CNY55.57 each","256","PRODUCT MATURITY/SATURATION(4)","Random Number Generator, PLL, Memory Management Unit (MMU)","4","Input Capture, Reference Compare","1-ch. 16 bit, 1-ch. 32 bit","JTAG","3.3","370","-","-","-","120","0 to 70","-","-","10-YEARS APPLICATION LIFE","-","-","-","Real Time Clock","MAC (FEC) 10/100 Ethernet","1","Flexbus, PCI","-","1","USB 2.0, USB OTG","16","1","DDR","32","-","9","-","-","-","-","-"
"FSL","其他处理器---32位MCU/MPU","MCF5445X","MCF54450CVM180","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5445X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor-with-usb-on-the-go-ethernet-pci-ddr2-ddr-controller-and-encryption:MCF5445X?&fpsp=1&tab=Documentation_Tab#MCF54450CVM180","MCF5445x 32-bit MPU, ColdFire V4 core, 180MHz, MAPBGA 256","-","MAPBGA 256","180","-","-","3","1","1","-","93","-","-","-","32","4","10000 @ CNY55.57 each","256","PRODUCT MATURITY/SATURATION(4)","PLL, Random Number Generator, Memory Management Unit (MMU)","4","Reference Compare, Input Capture","1-ch. 16 bit, 1-ch. 32 bit","JTAG","3.3","370","-","STOP, WAIT, DOZE","-","90","-40 to 85","-","-","10-YEARS APPLICATION LIFE","-","-","-","Real Time Clock","MAC (FEC) 10/100 Ethernet","1","PCI, Flexbus","-","1","USB 2.0, USB OTG","16","1","DDR","32","-","9","-","-","-","-","-"
