"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","预算报价（不含税）(CNY)","内核：类型","内核：内核数量 (Spec)","工作频率 (Max) (MHz) ","L2缓存 (Max) (KB) ","L3缓存 (Max) (KB) ","Data Path","PCIe","USB features","支持外部存储器","CAN","工作环境温度 (Min-Max) (°C) ","封装类型和焊端数","加速度传感器数量","PLC代码","Pin count","PLC描述","I2C","缓存 (KB) ","其他特性","外部总线接口","SPI","协处理器类型","Ethernet Type","无铅","认证级别","RoHS","DUART","视频/显示功能","Typical Power"
"FSL","ARM 处理器---基于ARM技术的QorIQ处理器","LS1043A","PLS1043ASE7KQA","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=LS1043A&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/qoriq-arm-processors/qoriq-ls1043a-and-ls1023a-communication-processors:LS1043A?&fpsp=1&tab=Documentation_Tab#PLS1043ASE7KQA","QorIQ, 4xCPU 64-Bit ARM Arch, 1.0GHz, DDR3L/4, PCIe, 1/10GbE, HW Accel, 0  to 105C, 21x21 pkg Proto","-","1000 @ CNY423.22 each","ARM Cortex-A53","4","1000","1000","-","Hardware","3x Gen 2.0","3 x USB 3.0","DDR3L, DDR4","-","0 to 0, 105 to 105","FCPBGA 621","-","1","621","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","ARM 处理器---基于ARM技术的QorIQ处理器","LS1043A","PLS1043ASE7MQA","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=LS1043A&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/qoriq-arm-processors/qoriq-ls1043a-and-ls1023a-communication-processors:LS1043A?&fpsp=1&tab=Documentation_Tab#PLS1043ASE7MQA","QorIQ, 4xCPU 64-Bit ARM Arch, 1.2GHz, DDR3L/4, PCIe, 1/10GbE, HW Accel, 0  to 105C, 21x21 pkg Proto","-","1000 @ CNY423.22 each","ARM Cortex-A53","4","1200","1000","-","Hardware","3x Gen 2.0","3 x USB 3.0","DDR3L, DDR4","-","0 to 0, 105 to 105","FCPBGA 621","-","1","621","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","ARM 处理器---基于ARM技术的QorIQ处理器","LS1043A","PLS1043ASE7PQA","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=LS1043A&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/qoriq-arm-processors/qoriq-ls1043a-and-ls1023a-communication-processors:LS1043A?&fpsp=1&tab=Documentation_Tab#PLS1043ASE7PQA","QorIQ, 4xCPU 64-Bit ARM Arch, 1.4GHz, DDR3L/4, PCIe, 1/10GbE, HW Accel, 0  to 105C, 21x21 pkg Proto","-","1000 @ CNY423.22 each","ARM Cortex-A53","4","1400","1000","-","Hardware","3x Gen 2.0","3 x USB 3.0","DDR3L, DDR4","-","0 to 0, 105 to 105","FCPBGA 621","-","1","621","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","ARM 处理器---基于ARM技术的QorIQ处理器","LS1043A","PLS1043ASE7QQA","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=LS1043A&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/qoriq-arm-processors/qoriq-ls1043a-and-ls1023a-communication-processors:LS1043A?&fpsp=1&tab=Documentation_Tab#PLS1043ASE7QQA","QorIQ, 4xCPU 64-Bit ARM Arch, 1.6GHz, DDR3L/4, PCIe, 1/10GbE, HW Accel, 0  to 105C, 21x21 pkg Proto","-","-","ARM Cortex-A53","4","1600","1000","-","Hardware","3x Gen 2.0","3 x USB 3.0","DDR3L, DDR4","-","0 to 0, 105 to 105","FCPBGA 621","-","1","621","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","ARM 处理器---基于ARM技术的QorIQ处理器","LS1024A","LS1024ASE7ELA","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=LS1024A&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/qoriq-arm-processors/qoriq-ls1024a-communications-processor:LS1024A?&fpsp=1&tab=Documentation_Tab#LS1024ASE7ELA","QorIQ Layerscape 32-bit ARM SoC, 2 cores @ 650MHz, GbE, PCIe, DDR3, SATA, VoIP, DECT, 0 to 70C Ta","-","1000 @ CNY116.55 each","ARM Cortex-A9","2","650","256","-","Hardware","2x Gen 2.0","1 x USB 2.0, 1 x USB 3.0","DDR3","-","0 to 70","FCPBGA 625","-","3","625","PRODUCT STABLE GROWTH/MATURITY(3)","1","32","SATA 2.0","PCI-Express","2","-","1GBaseT","-","5-YEARS APPLICATION LIFE","-","-","-","3"
"FSL","ARM 处理器---基于ARM技术的QorIQ处理器","LS1024A","LS1024ASE7JLA","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=LS1024A&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/qoriq-arm-processors/qoriq-ls1024a-communications-processor:LS1024A?&fpsp=1&tab=Documentation_Tab#LS1024ASE7JLA","QorIQ Layerscape 32-bit ARM SoC, 2 cores @ 900MHz, GbE, PCIe, DDR3,SATA, VoIP, DECT,DPI, 0 to 70C Ta","-","1000 @ CNY151.01 each","ARM Cortex-A9","2","900","256","-","Hardware","2x Gen 2.0","1 x USB 2.0, 1 x USB 3.0","DDR3","-","0 to 70","FCPBGA 625","-","3","625","PRODUCT STABLE GROWTH/MATURITY(3)","1","32","SATA 2.0","PCI-Express","2","-","1GBaseT","-","5-YEARS APPLICATION LIFE","-","-","-","3"
"FSL","ARM 处理器---基于ARM技术的QorIQ处理器","LS1024A","LS1024ASE7MLA","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=LS1024A&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/qoriq-arm-processors/qoriq-ls1024a-communications-processor:LS1024A?&fpsp=1&tab=Documentation_Tab#LS1024ASE7MLA","QorIQ Layerscape 32-bit ARM SoC, 2 cores @ 1.2GHz, GbE, PCIe, DDR3, SATA,VoIP, DECT,DPI, 0 to 70C Ta","-","1000 @ CNY164.18 each","ARM Cortex-A9","2","1200","256","-","Hardware","2x Gen 2.0","1 x USB 2.0, 1 x USB 3.0","DDR3","-","0 to 70","FCPBGA 625","-","3","625","PRODUCT STABLE GROWTH/MATURITY(3)","1","32","SATA 2.0","PCI-Express","2","-","1GBaseT","-","5-YEARS APPLICATION LIFE","-","-","-","3"
"FSL","ARM 处理器---基于ARM技术的QorIQ处理器","LS1024A","LS1024ASN7ELA","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=LS1024A&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/qoriq-arm-processors/qoriq-ls1024a-communications-processor:LS1024A?&fpsp=1&tab=Documentation_Tab#LS1024ASN7ELA","QorIQ Layerscape 32-bit ARM SoC, 2 cores @ 650MHz, GbE, PCIe, DDR3, SATA, VoIP, 0 to 70C Ta","-","1000 @ CNY113.24 each","ARM Cortex-A9","2","650","256","-","Hardware","2x Gen 2.0","1 x USB 2.0, 1 x USB 3.0","DDR3","-","0 to 70","FCPBGA 625","-","3","625","PRODUCT STABLE GROWTH/MATURITY(3)","1","32","SATA 2.0","PCI-Express","2","-","1GBaseT","-","5-YEARS APPLICATION LIFE","-","-","-","3"
"FSL","ARM 处理器---基于ARM技术的QorIQ处理器","LS1024A","LS1024ASN7JLA","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=LS1024A&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/qoriq-arm-processors/qoriq-ls1024a-communications-processor:LS1024A?&fpsp=1&tab=Documentation_Tab#LS1024ASN7JLA","QorIQ Layerscape 32-bit ARM SoC, 2 cores @ 900MHz, GbE, PCIe, DDR3, SATA, VoIP, 0 to 70C Ta","-","1000 @ CNY143.26 each","ARM Cortex-A9","2","900","256","-","Hardware","2x Gen 2.0","1 x USB 2.0, 1 x USB 3.0","DDR3","-","0 to 70","FCPBGA 625","-","3","625","PRODUCT STABLE GROWTH/MATURITY(3)","1","32","SATA 2.0","PCI-Express","2","-","1GBaseT","-","5-YEARS APPLICATION LIFE","-","-","-","3"
"FSL","ARM 处理器---基于ARM技术的QorIQ处理器","LS1024A","LS1024ASN7MLA","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=LS1024A&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/qoriq-arm-processors/qoriq-ls1024a-communications-processor:LS1024A?&fpsp=1&tab=Documentation_Tab#LS1024ASN7MLA","QorIQ Layerscape 32-bit ARM SoC, 2 cores @ 1.2GHz, GbE, PCIe, DDR3, SATA, VoIP, 0 to 70C Ta","-","1000 @ CNY155.72 each","ARM Cortex-A9","2","1200","256","-","Hardware","2x Gen 2.0","1 x USB 2.0, 1 x USB 3.0","DDR3","-","0 to 70","FCPBGA 625","-","3","625","PRODUCT STABLE GROWTH/MATURITY(3)","1","32","SATA 2.0","PCI-Express","2","-","1GBaseT","-","5-YEARS APPLICATION LIFE","-","-","-","3"
