"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","状态","替代部件","器件功能","预算报价（不含税）(CNY)","封装类型和焊端数","负载供电电压 (Min) (V) ","负载供电电压 (Max) (V) ","供电电压 (Min-Max) (V) ","接口和输入控制","开关监控电压 (Min-Max) (V) (VSENSE)","工作环境温度 (Min-Max) (°C) ","保护","诊断","其他特性-模拟","ADC动态范围 (dB) ","ADC SNR (dB) ","DAC动态范围 (dB) ","DAC SNR (dB) ","频率 (Min-Max) (MHz) ","RoHS","PLC代码","Pin count","PLC描述","无铅","认证级别","供电电压 (Typ) (V) ","模拟电源电压 (Min) (V) ","模拟电源电压 (Max) (V) "
"FSL","模拟与电源管理---接口","SGTL5000","SGTL5000XNAA3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=SGTL5000&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/interface/ultra-low-power-audio-codec:SGTL5000?&fpsp=1&tab=Documentation_Tab#SGTL5000XNAA3","Audio Codec , Ultra Low-Power, 4 mw for DAC-to-HP, 98 dB SNR and -80 dB THD+N, QFN 32, Tray","-","-","-","Audio Codec","1000 @ CNY8.01 each","QFN-EP 32","-","-","1.2 to 2","SPI, I2S, I2C","-","-40 to 85","-","-","-","87","87","100","100","0.00002 to 0.02","-","4","32","PRODUCT MATURITY/SATURATION(4)","-","5-YEARS APPLICATION LIFE","-","1.62","3.6"
"FSL","模拟与电源管理---接口","SGTL5000","SGTL5000XNAA3R2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=SGTL5000&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/interface/ultra-low-power-audio-codec:SGTL5000?&fpsp=1&tab=Documentation_Tab#SGTL5000XNAA3R2","Audio Codec , Ultra Low-Power, 4 mw for DAC-to-HP, 98 dB SNR and -80 dB THD+N, QFN 32, Reel","-","-","-","Audio Codec","1000 @ CNY8.01 each","QFN-EP 32","-","-","1.2 to 2","SPI, I2S, I2C","-","-40 to 85","-","-","-","87","87","100","100","0.00002 to 0.02","-","4","32","PRODUCT MATURITY/SATURATION(4)","-","5-YEARS APPLICATION LIFE","-","1.62","3.6"
"FSL","模拟与电源管理---接口","SGTL5000","SGTL5000XNLA3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=SGTL5000&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/interface/ultra-low-power-audio-codec:SGTL5000?&fpsp=1&tab=Documentation_Tab#SGTL5000XNLA3","Audio Codec , Ultra Low-Power, 4 mw for DAC-to-HP, 98 dB SNR and -80 dB THD+N, QFN 20, Tray","-","-","-","Audio Codec","1000 @ CNY7.63 each","QFN-EP 20","-","-","1.2 to 2","I2S, I2C","-","-40 to 85","-","-","-","87","87","100","100","0.00002 to 0.02","-","4","20","PRODUCT MATURITY/SATURATION(4)","-","5-YEARS APPLICATION LIFE","-","1.62","3.6"
"FSL","模拟与电源管理---接口","SGTL5000","SGTL5000XNLA3R2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=SGTL5000&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/interface/ultra-low-power-audio-codec:SGTL5000?&fpsp=1&tab=Documentation_Tab#SGTL5000XNLA3R2","Audio Codec , Ultra Low-Power, 4 mw for DAC-to-HP, 98 dB SNR and -80 dB THD+N, QFN 32, Reel","-","-","-","Audio Codec","1000 @ CNY7.63 each","QFN-EP 20","-","-","1.2 to 2","I2S, I2C","-","-40 to 85","-","-","-","87","87","100","100","0.00002 to 0.02","-","4","20","PRODUCT MATURITY/SATURATION(4)","-","5-YEARS APPLICATION LIFE","-","1.62","3.6"
"FSL","模拟与电源管理---接口","MC34978","MC34978AEK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC34978&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/interface/switch-detection-interface-22-i-os-programmable-wetting-current-temp-sensor-3.3-v-5.0-v-spi:MC34978?&fpsp=1&tab=Documentation_Tab#MC34978AEK","Switch Detection Interface, 22-switches, 3.3 V / 5.0 V SPI , SOICW-EP 32, Rail","-","-","-","Switch Monitoring","1000 @ CNY11.89 each","SOIC-EP 32","4.5","36","-","SPI","-","-40 to 85","Overtemperature, Overvoltage, Undervoltage Detection","-","Pulse wetting current, Wake","-","-","-","-","-","-","2","32","PRODUCT RAPID GROWTH(2)","-","10-YEARS APPLICATION LIFE","3.3, 5.5","-","-"
"FSL","模拟与电源管理---接口","MC34978","MC34978AEKR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC34978&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/interface/switch-detection-interface-22-i-os-programmable-wetting-current-temp-sensor-3.3-v-5.0-v-spi:MC34978?&fpsp=1&tab=Documentation_Tab#MC34978AEKR2","Switch Detection Interface, 22-switches, 3.3 V / 5.0 V SPI , SOICW-EP 32, Reel","-","-","-","Switch Monitoring","1000 @ CNY11.89 each","SOIC-EP 32","4.5","36","-","SPI","-","-40 to 85","Overtemperature, Overvoltage, Undervoltage Detection","-","Pulse wetting current, Wake","-","-","-","-","-","-","2","32","PRODUCT RAPID GROWTH(2)","-","10-YEARS APPLICATION LIFE","3.3, 5.5","-","-"
"FSL","模拟与电源管理---接口","MC34978","MC34978AES","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC34978&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/interface/switch-detection-interface-22-i-os-programmable-wetting-current-temp-sensor-3.3-v-5.0-v-spi:MC34978?&fpsp=1&tab=Documentation_Tab#MC34978AES","Switch Detection Interface, 22-switches, 3.3 V / 5.0 V SPI , QFN32, Tray","-","-","-","Switch Monitoring","1000 @ CNY12.59 each","QFN-EP 32","4.5","36","-","SPI","-","-40 to 85","Overtemperature, Overvoltage, Undervoltage Detection","-","Pulse wetting current, Wake","-","-","-","-","-","-","2","32","PRODUCT RAPID GROWTH(2)","-","10-YEARS APPLICATION LIFE","3.3, 5.5","-","-"
"FSL","模拟与电源管理---接口","MC34978","MC34978AESR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC34978&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/interface/switch-detection-interface-22-i-os-programmable-wetting-current-temp-sensor-3.3-v-5.0-v-spi:MC34978?&fpsp=1&tab=Documentation_Tab#MC34978AESR2","Switch Detection Interface, 22-switches, 3.3 V / 5.0 V SPI , QFN32, Reel","-","-","-","Switch Monitoring","1000 @ CNY12.59 each","QFN-EP 32","4.5","36","-","SPI","-","-40 to 85","Overtemperature, Overvoltage, Undervoltage Detection","-","Pulse wetting current, Wake","-","-","-","-","-","-","2","32","PRODUCT RAPID GROWTH(2)","-","10-YEARS APPLICATION LIFE","3.3, 5.5","-","-"
"FSL","模拟与电源管理---接口","MC34975","MC34975ATEK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC34975&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/interface/msdi-with-suppressed-wake-up-and-32-ma-wetting-current:MC34975?&fpsp=1&tab=Documentation_Tab#MC34975ATEK","Switch Detection Interface, 22-switches, 32mA Suppressed Wakeup, 3.3 V / 5.0 V SPI , SOIC 32, Tray","-","-","-","Signal Conditioning, Switch Monitoring","-","SOIC-EP 32","5.5","26","3.1 to 5.25","SPI","-14 to 40","-40 to 85","N/A","SPI","Pulse wetting current","-","-","-","-","-","-","3","32","PRODUCT STABLE GROWTH/MATURITY(3)","-","10-YEARS APPLICATION LIFE","-","-","-"
"FSL","模拟与电源管理---接口","MC34975","MC34975ATEKR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC34975&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/interface/msdi-with-suppressed-wake-up-and-32-ma-wetting-current:MC34975?&fpsp=1&tab=Documentation_Tab#MC34975ATEKR2","Switch Detection Interface, 22-switches, 32mA Suppressed Wakeup, 3.3 V / 5.0 V SPI , SOIC 32, Reel","-","-","-","Signal Conditioning, Switch Monitoring","-","SOIC-EP 32","5.5","26","3.1 to 5.25","SPI","-14 to 40","-40 to 85","N/A","SPI","Pulse wetting current","-","-","-","-","-","-","3","32","PRODUCT STABLE GROWTH/MATURITY(3)","-","10-YEARS APPLICATION LIFE","-","-","-"
