"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Topology","Control Mode","VCC Min (V)","VCC Max (V)","VO Typ (V)","IO Typ (A)","Efficiency (%)","fSW Typ (kHz)","Package Type"
"on","DC-DC控制器、转换器和稳压器---转换器","LM2576","LM2576D2TR4-012G","http://www.onsemi.cn/PowerSolutions/product.do?id=LM2576D2TR4-012G","http://www.onsemi.com/pub/Collateral/LM2576-D.PDF","Buck Regulator, Switching, 3.0 A, 15 V, 3.0 A, 12 V, 52 kHz","Pb-free
Halide free","ActiveNEW","Buck Regulator, Switching, 3.0 A, 15 V","Step-Down","Voltage Mode","7","40","1.23 to 37
3.3
5
12
15","3","85","52","D<sup>2</sup>PAK-5
TO-220-5"
"on","DC-DC控制器、转换器和稳压器---转换器","LM2576","LM2576D2TR4-3.3G","http://www.onsemi.cn/PowerSolutions/product.do?id=LM2576D2TR4-3.3G","http://www.onsemi.com/pub/Collateral/LM2576-D.PDF","Buck Regulator, Switching, 3.0 A, 15 V, 3.0 A, 3.3 V, 52 kHz","Pb-free
Halide free","ActiveNEW","Buck Regulator, Switching, 3.0 A, 15 V","Step-Down","Voltage Mode","7","40","1.23 to 37
3.3
5
12
15","3","85","52","D<sup>2</sup>PAK-5
TO-220-5"
"on","DC-DC控制器、转换器和稳压器---转换器","LM2576","LM2576D2TR4-5G","http://www.onsemi.cn/PowerSolutions/product.do?id=LM2576D2TR4-5G","http://www.onsemi.com/pub/Collateral/LM2576-D.PDF","Buck Regulator, Switching, 3.0 A, 15 V, 3.0 A, 5.0 V, 52 kHz","Pb-free
Halide free","ActiveNEW","Buck Regulator, Switching, 3.0 A, 15 V","Step-Down","Voltage Mode","7","40","1.23 to 37
3.3
5
12
15","3","85","52","D<sup>2</sup>PAK-5
TO-220-5"
"on","DC-DC控制器、转换器和稳压器---转换器","LM2576","LM2576T-005G","http://www.onsemi.cn/PowerSolutions/product.do?id=LM2576T-005G","http://www.onsemi.com/pub/Collateral/LM2576-D.PDF","Buck Regulator, Switching, 3.0 A, 15 V, 3.0 A, 5.0 V, 52 kHz","Pb-free
Halide free","ActiveNEW","Buck Regulator, Switching, 3.0 A, 15 V","Step-Down","Voltage Mode","7","40","1.23 to 37
3.3
5
12
15","3","85","52","D<sup>2</sup>PAK-5
TO-220-5"
"on","DC-DC控制器、转换器和稳压器---转换器","LM2576","LM2576T-012G","http://www.onsemi.cn/PowerSolutions/product.do?id=LM2576T-012G","http://www.onsemi.com/pub/Collateral/LM2576-D.PDF","Buck Regulator, Switching, 3.0 A, 15 V, 3.0 A, 12 V, 52 kHz","Pb-free
Halide free","ActiveNEW","Buck Regulator, Switching, 3.0 A, 15 V","Step-Down","Voltage Mode","7","40","1.23 to 37
3.3
5
12
15","3","85","52","D<sup>2</sup>PAK-5
TO-220-5"
"on","DC-DC控制器、转换器和稳压器---转换器","LM2576","LM2576T-15G","http://www.onsemi.cn/PowerSolutions/product.do?id=LM2576T-15G","http://www.onsemi.com/pub/Collateral/LM2576-D.PDF","Buck Regulator, Switching, 3.0 A, 15 V, 3.0 A, 15.0 V, 52 kHz","Pb-free
Halide free","ActiveNEW","Buck Regulator, Switching, 3.0 A, 15 V","Step-Down","Voltage Mode","7","40","1.23 to 37
3.3
5
12
15","3","85","52","D<sup>2</sup>PAK-5
TO-220-5"
"on","DC-DC控制器、转换器和稳压器---转换器","LM2576","LM2576T-3.3G","http://www.onsemi.cn/PowerSolutions/product.do?id=LM2576T-3.3G","http://www.onsemi.com/pub/Collateral/LM2576-D.PDF","Buck Regulator, Switching, 3.0 A, 15 V, 3.0 A, 3.3 V, 52 kHz","Pb-free
Halide free","ActiveNEW","Buck Regulator, Switching, 3.0 A, 15 V","Step-Down","Voltage Mode","7","40","1.23 to 37
3.3
5
12
15","3","85","52","D<sup>2</sup>PAK-5
TO-220-5"
"on","DC-DC控制器、转换器和稳压器---转换器","LM2576","LM2576T-ADJG","http://www.onsemi.cn/PowerSolutions/product.do?id=LM2576T-ADJG","http://www.onsemi.com/pub/Collateral/LM2576-D.PDF","Buck Regulator, Switching, 3.0 A, 15 V, 3.0 A, Adjustable 1.23-37 V, 52 kHz","Pb-free
Halide free","ActiveNEW","Buck Regulator, Switching, 3.0 A, 15 V","Step-Down","Voltage Mode","7","40","1.23 to 37
3.3
5
12
15","3","85","52","D<sup>2</sup>PAK-5
TO-220-5"
"on","DC-DC控制器、转换器和稳压器---转换器","LM2576","LM2576TV-012G","http://www.onsemi.cn/PowerSolutions/product.do?id=LM2576TV-012G","http://www.onsemi.com/pub/Collateral/LM2576-D.PDF","Buck Regulator, Switching, 3.0 A, 15 V, 3.0 A, 12 V, 52 kHz","Pb-free
Halide free","ActiveNEW","Buck Regulator, Switching, 3.0 A, 15 V","Step-Down","Voltage Mode","7","40","1.23 to 37
3.3
5
12
15","3","85","52","D<sup>2</sup>PAK-5
TO-220-5"
"on","DC-DC控制器、转换器和稳压器---转换器","LM2576","LM2576TV-015G","http://www.onsemi.cn/PowerSolutions/product.do?id=LM2576TV-015G","http://www.onsemi.com/pub/Collateral/LM2576-D.PDF","Buck Regulator, Switching, 3.0 A, 15 V, 3.0 A, 15.0 V, 52 kHz","Pb-free
Halide free","ActiveNEW","Buck Regulator, Switching, 3.0 A, 15 V","Step-Down","Voltage Mode","7","40","1.23 to 37
3.3
5
12
15","3","85","52","D<sup>2</sup>PAK-5
TO-220-5"
"on","DC-DC控制器、转换器和稳压器---转换器","LM2576","LM2576TV-3.3G","http://www.onsemi.cn/PowerSolutions/product.do?id=LM2576TV-3.3G","http://www.onsemi.com/pub/Collateral/LM2576-D.PDF","Buck Regulator, Switching, 3.0 A, 15 V, 3.0 A, 3.3 V, 52 kHz","Pb-free
Halide free","ActiveNEW","Buck Regulator, Switching, 3.0 A, 15 V","Step-Down","Voltage Mode","7","40","1.23 to 37
3.3
5
12
15","3","85","52","D<sup>2</sup>PAK-5
TO-220-5"
"on","DC-DC控制器、转换器和稳压器---转换器","LM2576","LM2576TV-5G","http://www.onsemi.cn/PowerSolutions/product.do?id=LM2576TV-5G","http://www.onsemi.com/pub/Collateral/LM2576-D.PDF","Buck Regulator, Switching, 3.0 A, 15 V, 3.0 A, 5.0 V, 52 kHz","Pb-free
Halide free","ActiveNEW","Buck Regulator, Switching, 3.0 A, 15 V","Step-Down","Voltage Mode","7","40","1.23 to 37
3.3
5
12
15","3","85","52","D<sup>2</sup>PAK-5
TO-220-5"
"on","DC-DC控制器、转换器和稳压器---转换器","LM2576","LM2576TV-ADJG","http://www.onsemi.cn/PowerSolutions/product.do?id=LM2576TV-ADJG","http://www.onsemi.com/pub/Collateral/LM2576-D.PDF","Buck Regulator, Switching, 3.0 A, 15 V, 3.0 A, Adjustable 1.23-37 V, 52 kHz","Pb-free
Halide free","ActiveNEW","Buck Regulator, Switching, 3.0 A, 15 V","Step-Down","Voltage Mode","7","40","1.23 to 37
3.3
5
12
15","3","85","52","D<sup>2</sup>PAK-5
TO-220-5"
"on","DC-DC控制器、转换器和稳压器---转换器","LM2595","LM2595DSADJR4G","http://www.onsemi.cn/PowerSolutions/product.do?id=LM2595DSADJR4G","http://www.onsemi.com/pub/Collateral/LM2595-D.PDF","Buck Regulator, Switching, 1.0 A","Pb-free
Halide free","Active","Buck Regulator, Switching, 1.0 A","Step-Down","Voltage Mode","4.5","40","1.25 to 37","1","85","150","D<sup>2</sup>PAK-5
TO-220-5"
"on","DC-DC控制器、转换器和稳压器---转换器","LM2595","LM2595TADJG","http://www.onsemi.cn/PowerSolutions/product.do?id=LM2595TADJG","http://www.onsemi.com/pub/Collateral/LM2595-D.PDF","Buck Regulator, Switching, 1.0 A","Pb-free
Halide free","Active","Buck Regulator, Switching, 1.0 A","Step-Down","Voltage Mode","4.5","40","1.25 to 37","1","85","150","D<sup>2</sup>PAK-5
TO-220-5"
"on","DC-DC控制器、转换器和稳压器---转换器","LV52117QA","LV52117QATXG","http://www.onsemi.cn/PowerSolutions/product.do?id=LV52117QATXG","http://www.onsemi.com/pub/Collateral/ENA2353-D.PDF","Dual-Output DC-DC Converter for LCD Panel","Pb-free
Halide free","Active","Dual-Output DC-DC Converter for LCD Panel","Step-Up","Current Mode","2.75","4.6","±5","0.1","88","1500","TDFN-12"
"on","DC-DC控制器、转换器和稳压器---转换器","LV52130N0XA","LV52130N0XA-VH","http://www.onsemi.cn/PowerSolutions/product.do?id=LV52130N0XA-VH","http://www.onsemi.com/pub/Collateral/ENA2348-D.PDF","DC-DC Converter and Inverter Charge Pump, 1 Coil Boost","Pb-free
Halide free","ActiveNEW","DC-DC Converter and Inverter Charge Pump, 1 Coil Boost","Step-Up","Current Mode","2.5","5.5","±5","0.1","88","1800","WLCSP-15"
"on","DC-DC控制器、转换器和稳压器---转换器","LV56351HA","LV56351HA-AH","http://www.onsemi.cn/PowerSolutions/product.do?id=LV56351HA-AH","http://www.onsemi.com/pub/Collateral/ENA2145-D.PDF","Step-Up DC-DC Converter, 1-Channel","Pb-free
Halide free","Active","Step-Up DC-DC Converter, 1-Channel","Linear
Step-Up","Voltage Mode","8","23","15","0.52","88.4","400","HSSOP-14"
"on","DC-DC控制器、转换器和稳压器---转换器","LV5768M","LV5768M-TLM-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LV5768M-TLM-H","http://www.onsemi.com/pub/Collateral/ENA1988-D.PDF","Buck Regulator, Switching, 1-Channel","Pb-free
Halide free","Active","Buck Regulator, Switching, 1-Channel","Step-Down","Current Mode","4.7","5.7","12, 5, 3.3","0.24","95","125","SOIC-14W / MFP-14S"
"on","DC-DC控制器、转换器和稳压器---转换器","LV5980MC","LV5980MC-AH","http://www.onsemi.cn/PowerSolutions/product.do?id=LV5980MC-AH","http://www.onsemi.com/pub/Collateral/ENA2104-D.PDF","Buck Converter, Switching Regulator, 1-Channel","Pb-free
Halide free","Active","Buck Converter, Switching Regulator, 1-Channel","Step-Down","Current Mode","4.5","23","5, 3.3","3","80","370","SOIC-8"
"on","DC-DC控制器、转换器和稳压器---转换器","MC33063A","MC33063ADG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33063ADG","http://www.onsemi.com/pub/Collateral/MC34063A-D.PDF","Buck / Boost / Inverting Regulator, Switching, 1.5 A, T","Pb-free
Halide free","Active","Buck / Boost / Inverting Regulator, Switching, 1.5 A","Step-Down
Step-Up
Step-Up/Step-Down","Hysteretic","3","40","1.25 to 40","1.5","80","100","PDIP-8
SOIC-8"
"on","DC-DC控制器、转换器和稳压器---转换器","MC33063A","MC33063ADR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33063ADR2G","http://www.onsemi.com/pub/Collateral/MC34063A-D.PDF","Buck / Boost / Inverting Regulator, Switching, 1.5 A, T","Pb-free
Halide free","Active","Buck / Boost / Inverting Regulator, Switching, 1.5 A","Step-Down
Step-Up
Step-Up/Step-Down","Hysteretic","3","40","1.25 to 40","1.5","80","100","PDIP-8
SOIC-8"
"on","DC-DC控制器、转换器和稳压器---转换器","MC33063A","MC33063AP1G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33063AP1G","http://www.onsemi.com/pub/Collateral/MC34063A-D.PDF","Buck / Boost / Inverting Regulator, Switching, 1.5 A, T","Pb-free
Halide free","Active","Buck / Boost / Inverting Regulator, Switching, 1.5 A","Step-Down
Step-Up
Step-Up/Step-Down","Hysteretic","3","40","1.25 to 40","1.5","80","100","PDIP-8
SOIC-8"
"on","DC-DC控制器、转换器和稳压器---转换器","MC33063A","MC33063AVDG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33063AVDG","http://www.onsemi.com/pub/Collateral/MC34063A-D.PDF","Buck / Boost / Inverting Regulator, Switching, 1.5 A, T","Pb-free
Halide free","Active","Buck / Boost / Inverting Regulator, Switching, 1.5 A","Step-Down
Step-Up
Step-Up/Step-Down","Hysteretic","3","40","1.25 to 40","1.5","80","100","PDIP-8
SOIC-8"
"on","DC-DC控制器、转换器和稳压器---转换器","MC33063A","MC33063AVDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33063AVDR2G","http://www.onsemi.com/pub/Collateral/MC34063A-D.PDF","Buck / Boost / Inverting Regulator, Switching, 1.5 A, T","Pb-free
Halide free","Active","Buck / Boost / Inverting Regulator, Switching, 1.5 A","Step-Down
Step-Up
Step-Up/Step-Down","Hysteretic","3","40","1.25 to 40","1.5","80","100","PDIP-8
SOIC-8"
"on","DC-DC控制器、转换器和稳压器---转换器","MC33166","MC33166D2TG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33166D2TG","http://www.onsemi.com/pub/Collateral/MC34166-D.PDF","Buck / Boost / Inverting Regulator, Switching, 3.0 A, T","Pb-free
Halide free","Active","Buck / Boost / Inverting Regulator, Switching, 3.0 A","Step-Up/Step-Down","Voltage Mode","7.5","40","1.5 to 40","3",,,"D<sup>2</sup>PAK-5
TO-220-5"
"on","DC-DC控制器、转换器和稳压器---转换器","MC33166","MC33166D2TR4G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33166D2TR4G","http://www.onsemi.com/pub/Collateral/MC34166-D.PDF","Buck / Boost / Inverting Regulator, Switching, 3.0 A, T","Pb-free
Halide free","Active","Buck / Boost / Inverting Regulator, Switching, 3.0 A","Step-Up/Step-Down","Voltage Mode","7.5","40","1.5 to 40","3",,,"D<sup>2</sup>PAK-5
TO-220-5"
"on","DC-DC控制器、转换器和稳压器---转换器","MC33166","MC33166TG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33166TG","http://www.onsemi.com/pub/Collateral/MC34166-D.PDF","Buck / Boost / Inverting Regulator, Switching, 3.0 A, T","Pb-free
Halide free","Active","Buck / Boost / Inverting Regulator, Switching, 3.0 A","Step-Up/Step-Down","Voltage Mode","7.5","40","1.5 to 40","3",,,"D<sup>2</sup>PAK-5
TO-220-5"
"on","DC-DC控制器、转换器和稳压器---转换器","MC33166","MC33166TVG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33166TVG","http://www.onsemi.com/pub/Collateral/MC34166-D.PDF","Buck / Boost / Inverting Regulator, Switching, 3.0 A, T","Pb-free
Halide free","Active","Buck / Boost / Inverting Regulator, Switching, 3.0 A","Step-Up/Step-Down","Voltage Mode","7.5","40","1.5 to 40","3",,,"D<sup>2</sup>PAK-5
TO-220-5"
"on","DC-DC控制器、转换器和稳压器---转换器","MC33166","MC34166D2TR4G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC34166D2TR4G","http://www.onsemi.com/pub/Collateral/MC34166-D.PDF","Buck / Boost / Inverting Regulator, Switching, 3.0 A, T","Pb-free
Halide free","Active","Buck / Boost / Inverting Regulator, Switching, 3.0 A","Step-Up/Step-Down","Voltage Mode","7.5","40","1.5 to 40","3",,,"D<sup>2</sup>PAK-5
TO-220-5"
"on","DC-DC控制器、转换器和稳压器---转换器","MC33166","MC34166TG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC34166TG","http://www.onsemi.com/pub/Collateral/MC34166-D.PDF","Buck / Boost / Inverting Regulator, Switching, 3.0 A, T","Pb-free
Halide free","Active","Buck / Boost / Inverting Regulator, Switching, 3.0 A","Step-Up/Step-Down","Voltage Mode","7.5","40","1.5 to 40","3",,,"D<sup>2</sup>PAK-5
TO-220-5"
"on","DC-DC控制器、转换器和稳压器---转换器","MC33166","MC34166THG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC34166THG","http://www.onsemi.com/pub/Collateral/MC34166-D.PDF","Buck / Boost / Inverting Regulator, Switching, 3.0 A, T","Pb-free
Halide free","Active","Buck / Boost / Inverting Regulator, Switching, 3.0 A","Step-Up/Step-Down","Voltage Mode","7.5","40","1.5 to 40","3",,,"D<sup>2</sup>PAK-5
TO-220-5"
"on","DC-DC控制器、转换器和稳压器---转换器","MC33166","MC34166TVG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC34166TVG","http://www.onsemi.com/pub/Collateral/MC34166-D.PDF","Buck / Boost / Inverting Regulator, Switching, 3.0 A, T","Pb-free
Halide free","Active","Buck / Boost / Inverting Regulator, Switching, 3.0 A","Step-Up/Step-Down","Voltage Mode","7.5","40","1.5 to 40","3",,,"D<sup>2</sup>PAK-5
TO-220-5"
"on","DC-DC控制器、转换器和稳压器---转换器","MC34063A","MC34063ADG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC34063ADG","http://www.onsemi.com/pub/Collateral/MC34063A-D.PDF","Buck / Boost / Inverting Regulator, Switching, 1.5 A, T","Pb-free
Halide free","Active","Buck / Boost / Inverting Regulator, Switching, 1.5 A","Step-Down
Step-Up
Step-Up/Step-Down","Voltage Mode","3","40","1.25 to 40","1.5",,"100","PDIP-8
SOIC-8"
"on","DC-DC控制器、转换器和稳压器---转换器","MC34063A","MC34063ADR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC34063ADR2G","http://www.onsemi.com/pub/Collateral/MC34063A-D.PDF","Buck / Boost / Inverting Regulator, Switching, 1.5 A, T","Pb-free
Halide free","Active","Buck / Boost / Inverting Regulator, Switching, 1.5 A","Step-Down
Step-Up
Step-Up/Step-Down","Voltage Mode","3","40","1.25 to 40","1.5",,"100","PDIP-8
SOIC-8"
"on","DC-DC控制器、转换器和稳压器---转换器","MC34063A","MC34063AP1G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC34063AP1G","http://www.onsemi.com/pub/Collateral/MC34063A-D.PDF","Buck / Boost / Inverting Regulator, Switching, 1.5 A, T","Pb-free
Halide free","Active","Buck / Boost / Inverting Regulator, Switching, 1.5 A","Step-Down
Step-Up
Step-Up/Step-Down","Voltage Mode","3","40","1.25 to 40","1.5",,"100","PDIP-8
SOIC-8"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP1030","NCP1030DMR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1030DMR2G","http://www.onsemi.com/pub/Collateral/NCP1030-D.PDF","Integrated DC-DC Converter for PoE and Telecom","Pb-free
Halide free","Active","Integrated DC-DC Converter for PoE and Telecom","Flyback
Step-Down
Step-Up","Voltage Mode","8","200",,"0.5","85","300","Micro8™"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP1032","NCP1032AMNTXG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1032AMNTXG","http://www.onsemi.com/pub/Collateral/NCP1032-D.PDF","Integrated DC-DC Converter, PWM, 3.0W, OV enabled","Pb-free
Halide free","Active","Integrated DC-DC Converter, PWM, 3.0W",,,,,,,,,"WDFN-8"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP1032","NCP1032BMNTXG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1032BMNTXG","http://www.onsemi.com/pub/Collateral/NCP1032-D.PDF","Integrated DC-DC Converter, PWM, 3.0W","Pb-free
Halide free","Active","Integrated DC-DC Converter, PWM, 3.0W",,,,,,,,,"WDFN-8"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP1081","NCP1081DEG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1081DEG","http://www.onsemi.com/pub/Collateral/NCP1081-D.PDF","Integrated PoE-PD and DC-DC Converter Controller, 40 W","Pb-free
Halide free","Active","Integrated PoE-PD and DC-DC Converter Controller, 40 W",,"Current Mode","0","57",,,,"250","TSSOP-20"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP1081","NCP1081DER2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1081DER2G","http://www.onsemi.com/pub/Collateral/NCP1081-D.PDF","Integrated PoE-PD and DC-DC Converter Controller, 40 W","Pb-free
Halide free","Active","Integrated PoE-PD and DC-DC Converter Controller, 40 W",,"Current Mode","0","57",,,,"250","TSSOP-20"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP1083","NCP1083DEG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1083DEG","http://www.onsemi.com/pub/Collateral/NCP1083-D.PDF","Integrated PoE-PD and DC-DC Converter Controller, 40 W, with Auxiliary Supply Support","Pb-free
Halide free","Active","Integrated PoE-PD and DC-DC Converter Controller, 40 W, with Auxiliary Supply Support",,"Current Mode","0","57",,,,"250","TSSOP-20"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP1083","NCP1083DER2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1083DER2G","http://www.onsemi.com/pub/Collateral/NCP1083-D.PDF","Integrated PoE-PD and DC-DC Converter Controller, 40 W, with Auxiliary Supply Support","Pb-free
Halide free","Active","Integrated PoE-PD and DC-DC Converter Controller, 40 W, with Auxiliary Supply Support",,"Current Mode","0","57",,,,"250","TSSOP-20"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP1091","NCP1091DBRG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1091DBRG","http://www.onsemi.com/pub/Collateral/NCP1090-D.PDF","Controller, PoE-PD Interface, Integrated, with Programmable UVLO","Pb-free
Halide free","Active","Controller, PoE-PD Interface, Integrated, with Programmable UVLO",,,"36","57",,,,,"SOIC-8
TSSOP-8"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP1091","NCP1091DG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1091DG","http://www.onsemi.com/pub/Collateral/NCP1090-D.PDF","Controller, PoE-PD Interface, Integrated, with Programmable UVLO","Pb-free
Halide free","Active","Controller, PoE-PD Interface, Integrated, with Programmable UVLO",,,"36","57",,,,,"SOIC-8
TSSOP-8"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP1091","NCP1091DRG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1091DRG","http://www.onsemi.com/pub/Collateral/NCP1090-D.PDF","Controller, PoE-PD Interface, Integrated, with Programmable UVLO","Pb-free
Halide free","Active","Controller, PoE-PD Interface, Integrated, with Programmable UVLO",,,"36","57",,,,,"SOIC-8
TSSOP-8"
