"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Channels","Input Level","Output Level","VCC Typ (V)","fMax Typ (MHz)","tpd Typ (ns)","tR & tF Max (ps)","Package Type"
"on","时钟及数据分配---转换器","MC100EL90","MC100EL90DWG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EL90DWG","http://www.onsemi.com/pub/Collateral/MC100EL90-D.PDF","Translator, Triple ECL Input to PECL Output","Pb-free
Halide free","Active","Translator, Triple ECL Input to PECL Output","3","ECL","ECL","5","650","0.5","500","SOIC-20W"
"on","时钟及数据分配---转换器","MC100ELT20","MC100ELT20DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100ELT20DG","http://www.onsemi.com/pub/Collateral/MC10ELT20-D.PDF","Translator, TTL to Differential PECL","Pb-free
Halide free","Active","Translator, TTL to Differential PECL ","1","TTL","ECL","5","100","0.82","1500","SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC100ELT20","MC100ELT20DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100ELT20DR2G","http://www.onsemi.com/pub/Collateral/MC10ELT20-D.PDF","Translator, TTL to Differential PECL","Pb-free
Halide free","Active","Translator, TTL to Differential PECL ","1","TTL","ECL","5","100","0.82","1500","SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC100ELT20","MC100ELT20DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100ELT20DTG","http://www.onsemi.com/pub/Collateral/MC10ELT20-D.PDF","Translator, TTL to Differential PECL","Pb-free
Halide free","Active","Translator, TTL to Differential PECL ","1","TTL","ECL","5","100","0.82","1500","SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC100ELT20","MC100ELT20DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100ELT20DTR2G","http://www.onsemi.com/pub/Collateral/MC10ELT20-D.PDF","Translator, TTL to Differential PECL","Pb-free
Halide free","Active","Translator, TTL to Differential PECL ","1","TTL","ECL","5","100","0.82","1500","SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC100ELT22","MC100ELT22DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100ELT22DG","http://www.onsemi.com/pub/Collateral/MC10ELT22-D.PDF","Translator, Dual TTL to Differential PECL","Pb-free
Halide free","Active","Translator, Dual TTL to Differential PECL","2","TTL","ECL","5","500","1.2","1600","SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC100ELT22","MC100ELT22DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100ELT22DR2G","http://www.onsemi.com/pub/Collateral/MC10ELT22-D.PDF","Translator, Dual TTL to Differential PECL","Pb-free
Halide free","Active","Translator, Dual TTL to Differential PECL","2","TTL","ECL","5","500","1.2","1600","SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC100ELT22","MC100ELT22DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100ELT22DTG","http://www.onsemi.com/pub/Collateral/MC10ELT22-D.PDF","Translator, Dual TTL to Differential PECL","Pb-free
Halide free","Active","Translator, Dual TTL to Differential PECL","2","TTL","ECL","5","500","1.2","1600","SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC100ELT22","MC100ELT22DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100ELT22DTR2G","http://www.onsemi.com/pub/Collateral/MC10ELT22-D.PDF","Translator, Dual TTL to Differential PECL","Pb-free
Halide free","Active","Translator, Dual TTL to Differential PECL","2","TTL","ECL","5","500","1.2","1600","SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC100ELT24","MC100ELT24DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100ELT24DG","http://www.onsemi.com/pub/Collateral/MC10ELT24-D.PDF","Translator, TTL to Differential ECL","Pb-free
Halide free","Active","Translator, TTL to Differential ECL ","1","TTL","ECL","5","400","0.95","1250","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC100ELT24","MC100ELT24DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100ELT24DR2G","http://www.onsemi.com/pub/Collateral/MC10ELT24-D.PDF","Translator, TTL to Differential ECL","Pb-free
Halide free","Active","Translator, TTL to Differential ECL ","1","TTL","ECL","5","400","0.95","1250","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC100ELT24","MC100ELT24DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100ELT24DTG","http://www.onsemi.com/pub/Collateral/MC10ELT24-D.PDF","Translator, TTL to Differential ECL","Pb-free
Halide free","Active","Translator, TTL to Differential ECL ","1","TTL","ECL","5","400","0.95","1250","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC100ELT24","MC100ELT24DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100ELT24DTR2G","http://www.onsemi.com/pub/Collateral/MC10ELT24-D.PDF","Translator, TTL to Differential ECL","Pb-free
Halide free","Active","Translator, TTL to Differential ECL ","1","TTL","ECL","5","400","0.95","1250","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC100ELT24","MC100ELT24MNR4G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100ELT24MNR4G","http://www.onsemi.com/pub/Collateral/MC10ELT24-D.PDF","Translator, TTL to Differential ECL","Pb-free
Halide free","Active","Translator, TTL to Differential ECL ","1","TTL","ECL","5","400","0.95","1250","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC100ELT28","MC100ELT28DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100ELT28DG","http://www.onsemi.com/pub/Collateral/MC10ELT28-D.PDF","Translator, TTL to Differential PECL and Differential PECL to TTL","Pb-free
Halide free","Active","Translator, TTL to Differential PECL and Differential PECL to TTL","2","ECL
TTL","ECL
TTL","5","100","1.2","1.1
1.6","SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC100ELT28","MC100ELT28DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100ELT28DR2G","http://www.onsemi.com/pub/Collateral/MC10ELT28-D.PDF","Translator, TTL to Differential PECL and Differential PECL to TTL","Pb-free
Halide free","Active","Translator, TTL to Differential PECL and Differential PECL to TTL","2","ECL
TTL","ECL
TTL","5","100","1.2","1.1
1.6","SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC100ELT28","MC100ELT28DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100ELT28DTG","http://www.onsemi.com/pub/Collateral/MC10ELT28-D.PDF","Translator, TTL to Differential PECL and Differential PECL to TTL","Pb-free
Halide free","Active","Translator, TTL to Differential PECL and Differential PECL to TTL","2","ECL
TTL","ECL
TTL","5","100","1.2","1.1
1.6","SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC100ELT28","MC100ELT28DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100ELT28DTR2G","http://www.onsemi.com/pub/Collateral/MC10ELT28-D.PDF","Translator, TTL to Differential PECL and Differential PECL to TTL","Pb-free
Halide free","Active","Translator, TTL to Differential PECL and Differential PECL to TTL","2","ECL
TTL","ECL
TTL","5","100","1.2","1.1
1.6","SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC100EP91","MC100EP91DWG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP91DWG","http://www.onsemi.com/pub/Collateral/MC100EP91-D.PDF","PECL to NECL Translator","Pb-free
Halide free","Active","PECL to NECL Translator","3","CML
CMOS
ECL
LVDS
TTL","ECL","3.3","2","0.5","250","QFN-24
SOIC-20W"
"on","时钟及数据分配---转换器","MC100EP91","MC100EP91DWR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP91DWR2G","http://www.onsemi.com/pub/Collateral/MC100EP91-D.PDF","PECL to NECL Translator","Pb-free
Halide free","Active","PECL to NECL Translator","3","CML
CMOS
ECL
LVDS
TTL","ECL","3.3","2","0.5","250","QFN-24
SOIC-20W"
"on","时钟及数据分配---转换器","MC100EP91","MC100EP91MNG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP91MNG","http://www.onsemi.com/pub/Collateral/MC100EP91-D.PDF","PECL to NECL Translator","Pb-free
Halide free","Active","PECL to NECL Translator","3","CML
CMOS
ECL
LVDS
TTL","ECL","3.3","2","0.5","250","QFN-24
SOIC-20W"
"on","时钟及数据分配---转换器","MC100EP91","MC100EP91MNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP91MNR2G","http://www.onsemi.com/pub/Collateral/MC100EP91-D.PDF","PECL to NECL Translator","Pb-free
Halide free","Active","PECL to NECL Translator","3","CML
CMOS
ECL
LVDS
TTL","ECL","3.3","2","0.5","250","QFN-24
SOIC-20W"
"on","时钟及数据分配---转换器","MC100EPT21","MC100EPT21DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EPT21DG","http://www.onsemi.com/pub/Collateral/MC100EPT21-D.PDF","Differential LVPECL/LVDS/CML to LVTTL/LVCMOS Translator","Pb-free
Halide free","Active","Differential LVPECL/LVDS/CML to LVTTL/LVCMOS Translator","1","CML
ECL
LVDS","TTL","3.3","350","1.4","900","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC100EPT21","MC100EPT21DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EPT21DR2G","http://www.onsemi.com/pub/Collateral/MC100EPT21-D.PDF","Differential LVPECL/LVDS/CML to LVTTL/LVCMOS Translator","Pb-free
Halide free","Active","Differential LVPECL/LVDS/CML to LVTTL/LVCMOS Translator","1","CML
ECL
LVDS","TTL","3.3","350","1.4","900","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC100EPT21","MC100EPT21DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EPT21DTG","http://www.onsemi.com/pub/Collateral/MC100EPT21-D.PDF","Differential LVPECL/LVDS/CML to LVTTL/LVCMOS Translator","Pb-free
Halide free","Active","Differential LVPECL/LVDS/CML to LVTTL/LVCMOS Translator","1","CML
ECL
LVDS","TTL","3.3","350","1.4","900","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC100EPT21","MC100EPT21DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EPT21DTR2G","http://www.onsemi.com/pub/Collateral/MC100EPT21-D.PDF","Differential LVPECL/LVDS/CML to LVTTL/LVCMOS Translator","Pb-free
Halide free","Active","Differential LVPECL/LVDS/CML to LVTTL/LVCMOS Translator","1","CML
ECL
LVDS","TTL","3.3","350","1.4","900","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC100EPT21","MC100EPT21MNR4G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EPT21MNR4G","http://www.onsemi.com/pub/Collateral/MC100EPT21-D.PDF","Differential LVPECL/LVDS/CML to LVTTL/LVCMOS Translator","Pb-free
Halide free","Active","Differential LVPECL/LVDS/CML to LVTTL/LVCMOS Translator","1","CML
ECL
LVDS","TTL","3.3","350","1.4","900","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC100EPT23","MC100EPT23DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EPT23DG","http://www.onsemi.com/pub/Collateral/MC100EPT23-D.PDF","Translator, Dual Differential LVPECL to LVTTL","Pb-free
Halide free","Active","Translator, Dual Differential LVPECL to LVTTL","2","CML
ECL
LVDS","TTL","3.3","350","1.5","900","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC100EPT23","MC100EPT23DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EPT23DR2G","http://www.onsemi.com/pub/Collateral/MC100EPT23-D.PDF","Translator, Dual Differential LVPECL to LVTTL","Pb-free
Halide free","Active","Translator, Dual Differential LVPECL to LVTTL","2","CML
ECL
LVDS","TTL","3.3","350","1.5","900","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC100EPT23","MC100EPT23DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EPT23DTG","http://www.onsemi.com/pub/Collateral/MC100EPT23-D.PDF","Translator, Dual Differential LVPECL to LVTTL","Pb-free
Halide free","Active","Translator, Dual Differential LVPECL to LVTTL","2","CML
ECL
LVDS","TTL","3.3","350","1.5","900","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC100EPT23","MC100EPT23DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EPT23DTR2G","http://www.onsemi.com/pub/Collateral/MC100EPT23-D.PDF","Translator, Dual Differential LVPECL to LVTTL","Pb-free
Halide free","Active","Translator, Dual Differential LVPECL to LVTTL","2","CML
ECL
LVDS","TTL","3.3","350","1.5","900","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC100EPT23","MC100EPT23MNR4G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EPT23MNR4G","http://www.onsemi.com/pub/Collateral/MC100EPT23-D.PDF","Translator, Dual Differential LVPECL to LVTTL","Pb-free
Halide free","Active","Translator, Dual Differential LVPECL to LVTTL","2","CML
ECL
LVDS","TTL","3.3","350","1.5","900","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC100EPT25","MC100EPT25DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EPT25DG","http://www.onsemi.com/pub/Collateral/MC100EPT25-D.PDF","Translator, Differential LVECL / ECL to LVTTL","Pb-free
Halide free","Active","Translator, Differential LVECL / ECL to LVTTL","1","ECL","TTL","3.3","275","0.95","600
1400","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC100EPT25","MC100EPT25DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EPT25DR2G","http://www.onsemi.com/pub/Collateral/MC100EPT25-D.PDF","Translator, Differential LVECL / ECL to LVTTL","Pb-free
Halide free","Active","Translator, Differential LVECL / ECL to LVTTL","1","ECL","TTL","3.3","275","0.95","600
1400","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC100EPT25","MC100EPT25DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EPT25DTG","http://www.onsemi.com/pub/Collateral/MC100EPT25-D.PDF","Translator, Differential LVECL / ECL to LVTTL","Pb-free
Halide free","Active","Translator, Differential LVECL / ECL to LVTTL","1","ECL","TTL","3.3","275","0.95","600
1400","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC100EPT25","MC100EPT25DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EPT25DTR2G","http://www.onsemi.com/pub/Collateral/MC100EPT25-D.PDF","Translator, Differential LVECL / ECL to LVTTL","Pb-free
Halide free","Active","Translator, Differential LVECL / ECL to LVTTL","1","ECL","TTL","3.3","275","0.95","600
1400","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC100EPT25","MC100EPT25MNR4G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EPT25MNR4G","http://www.onsemi.com/pub/Collateral/MC100EPT25-D.PDF","Translator, Differential LVECL / ECL to LVTTL","Pb-free
Halide free","Active","Translator, Differential LVECL / ECL to LVTTL","1","ECL","TTL","3.3","275","0.95","600
1400","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC100EPT622","MC100EPT622FAG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EPT622FAG","http://www.onsemi.com/pub/Collateral/MC100EPT622-D.PDF","Translator, 10-bit LVTTL / LVCMOS to LVPECL","Pb-free
Halide free","Active","Translator, 10-bit LVTTL / LVCMOS to LVPECL","10","CMOS
TTL","ECL","3.3","1500","0.5","450","LQFP-32
QFN-32"
"on","时钟及数据分配---转换器","MC100EPT622","MC100EPT622FAR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EPT622FAR2G","http://www.onsemi.com/pub/Collateral/MC100EPT622-D.PDF","Translator, 10-bit LVTTL / LVCMOS to LVPECL","Pb-free
Halide free","Active","Translator, 10-bit LVTTL / LVCMOS to LVPECL","10","CMOS
TTL","ECL","3.3","1500","0.5","450","LQFP-32
QFN-32"
"on","时钟及数据分配---转换器","MC100EPT622","MC100EPT622MNG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EPT622MNG","http://www.onsemi.com/pub/Collateral/MC100EPT622-D.PDF","Translator, 10-bit LVTTL / LVCMOS to LVPECL","Pb-free
Halide free","Active","Translator, 10-bit LVTTL / LVCMOS to LVPECL","10","CMOS
TTL","ECL","3.3","1500","0.5","450","LQFP-32
QFN-32"
"on","时钟及数据分配---转换器","MC100EPT622","MC100EPT622MNR4G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EPT622MNR4G","http://www.onsemi.com/pub/Collateral/MC100EPT622-D.PDF","Translator, 10-bit LVTTL / LVCMOS to LVPECL","Pb-free
Halide free","Active","Translator, 10-bit LVTTL / LVCMOS to LVPECL","10","CMOS
TTL","ECL","3.3","1500","0.5","450","LQFP-32
QFN-32"
"on","时钟及数据分配---转换器","MC100LVEL91","MC100LVEL91DWG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVEL91DWG","http://www.onsemi.com/pub/Collateral/MC100LVEL91-D.PDF","Translator, Triple LVPECL / PECL Input to ECL Output","Pb-free
Halide free","Active","Translator, Triple LVPECL / PECL Input to ECL Output","3","ECL","ECL","3.3
5","600","0.62","580","SOIC-20W"
"on","时钟及数据分配---转换器","MC100LVEL91","MC100LVEL91DWR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVEL91DWR2G","http://www.onsemi.com/pub/Collateral/MC100LVEL91-D.PDF","Translator, Triple LVPECL / PECL Input to ECL Output","Pb-free
Halide free","Active","Translator, Triple LVPECL / PECL Input to ECL Output","3","ECL","ECL","3.3
5","600","0.62","580","SOIC-20W"
"on","时钟及数据分配---转换器","MC100LVELT20","MC100LVELT20DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVELT20DG","http://www.onsemi.com/pub/Collateral/MC100LVELT20-D.PDF","LVTTL/LVCMOS to Differential LVPECL Translator","Pb-free
Halide free","Active","LVTTL/LVCMOS to Differential LVPECL Translator","1","CMOS
TTL","ECL","3.3","1000","0.37","225","SOIC-8"
"on","时钟及数据分配---转换器","MC100LVELT20","MC100LVELT20DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVELT20DR2G","http://www.onsemi.com/pub/Collateral/MC100LVELT20-D.PDF","LVTTL/LVCMOS to Differential LVPECL Translator","Pb-free
Halide free","Active","LVTTL/LVCMOS to Differential LVPECL Translator","1","CMOS
TTL","ECL","3.3","1000","0.37","225","SOIC-8"
"on","时钟及数据分配---转换器","MC100LVELT23","MC100LVELT23DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVELT23DG","http://www.onsemi.com/pub/Collateral/MC100LVELT23-D.PDF","Translator, Dual Differential LVPECL to LVTTL","Pb-free
Halide free","Active","Translator, Dual Differential LVPECL to LVTTL","2","ECL","TTL","3.3","180","1.7","900","DFN-8
SOIC-8
TSSOP-8"
