"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Interface","Number of Lines","Direction","C Max (pF)","V(BR) Min (V)","VRWM Max (V)","IR Max (uA)","PPK Max (W)","Package Type"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","ESD8351","SZESD8351XV2T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=SZESD8351XV2T1G","http://www.onsemi.com/pub/Collateral/ESD8351-D.PDF","Unidirectional SCR ESD Protection","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Unidirectional SCR ESD Protection","eSATA 2.0
eSATA 3.0
USB 2.0","1","Unidirectional","0.55","5.5","3.3","0.05
0.5",,"SOD-323
SOD-523-2
SOD-923-2
X3DFN-2"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","ESD8472","ESD8472MUT5G","http://www.onsemi.cn/PowerSolutions/product.do?id=ESD8472MUT5G","http://www.onsemi.com/pub/Collateral/ESD8472-D.PDF","Ultra-Low Capacitance RF ESD Protection, Ultra-Low Capacitance RF ESD Protection","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Ultra-Low Capacitance RF ESD Protection","USB 2.0
USB 3.0","1","Bidirectional","0.3","7","5.3","0.05","12.2","X3DFN-2"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","ESD8472","SZESD8472MUT5G","http://www.onsemi.cn/PowerSolutions/product.do?id=SZESD8472MUT5G","http://www.onsemi.com/pub/Collateral/ESD8472-D.PDF","Ultra-Low Capacitance RF ESD Protection, Ultra-Low Capacitance RF ESD Protection","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Ultra-Low Capacitance RF ESD Protection","USB 2.0
USB 3.0","1","Bidirectional","0.3","7","5.3","0.05","12.2","X3DFN-2"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","ESD9C","ESD9C3.3ST5G","http://www.onsemi.cn/PowerSolutions/product.do?id=ESD9C3.3ST5G","http://www.onsemi.com/pub/Collateral/ESD9C3.3S-D.PDF","ESD Protection Diodes, SOD-923","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","ESD Protection Diodes, SOD-923","General I/O","1","Unidirectional","6.2
13","5
11","3.3
5","0.5
1","0.15","SOD-923-2"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","ESD9C","ESD9C5.0ST5G","http://www.onsemi.cn/PowerSolutions/product.do?id=ESD9C5.0ST5G","http://www.onsemi.com/pub/Collateral/ESD9C3.3S-D.PDF","ESD Protection Diodes, SOD-923","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","ESD Protection Diodes, SOD-923","General I/O","1","Unidirectional","6.2
13","5
11","3.3
5","0.5
1","0.15","SOD-923-2"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","ESD9C","SZESD9C5.0ST5G","http://www.onsemi.cn/PowerSolutions/product.do?id=SZESD9C5.0ST5G","http://www.onsemi.com/pub/Collateral/ESD9C3.3S-D.PDF","ESD Protection Diodes, SOD-923","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","ESD Protection Diodes, SOD-923","General I/O","1","Unidirectional","6.2
13","5
11","3.3
5","0.5
1","0.15","SOD-923-2"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","ESD9M","ESD9M5.0ST5G","http://www.onsemi.cn/PowerSolutions/product.do?id=ESD9M5.0ST5G","http://www.onsemi.com/pub/Collateral/ESD9M5.0S-D.PDF","Low Capacitance ESD Protection; Unidirectional","AEC Qualified
Pb-free
Halide free","Active","Low Capacitance ESD Protection; Unidirectional","USB 2.0","1","Unidirectional","2.5","5.8","5","1","0.15","SOD-923-2"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","ESD9R3","ESD9R3.3ST5G","http://www.onsemi.cn/PowerSolutions/product.do?id=ESD9R3.3ST5G","http://www.onsemi.com/pub/Collateral/ESD9R3.3S-D.PDF","ESD Protection Diode, Ultra-Low Leakage, Low Capacitance","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","ESD Protection Diode, Ultra-Low Leakage, Low Capacitance","USB 2.0","1","Unidirectional","0.9","4.8","3.3","0.001","0.15","SOD-923-2"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","ESD9R3","SZESD9R3.3ST5G","http://www.onsemi.cn/PowerSolutions/product.do?id=SZESD9R3.3ST5G","http://www.onsemi.com/pub/Collateral/ESD9R3.3S-D.PDF","ESD Protection Diode, Ultra-Low Leakage, Low Capacitance","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","ESD Protection Diode, Ultra-Low Leakage, Low Capacitance","USB 2.0","1","Unidirectional","0.9","4.8","3.3","0.001","0.15","SOD-923-2"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","ESDR0502B","ESDR0502BT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=ESDR0502BT1G","http://www.onsemi.com/pub/Collateral/ESDR0502B-D.PDF","ESD Protection Diode, Low Leakage, Fast Response Time, with Clamping Capability","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","ESD Protection Diode, Low Leakage, Fast Response Time, with Clamping Capability","USB 2.0","2","Unidirectional","0.45","5.8","5","1","20","SC-75-3"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","ESDR0502B","SZESDR0502BT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=SZESDR0502BT1G","http://www.onsemi.com/pub/Collateral/ESDR0502B-D.PDF","ESD Protection Diode, Low Leakage, Fast Response Time, with Clamping Capability","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","ESD Protection Diode, Low Leakage, Fast Response Time, with Clamping Capability","USB 2.0","2","Unidirectional","0.45","5.8","5","1","20","SC-75-3"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","ESDR0524P","ESDR0524PMUTAG","http://www.onsemi.cn/PowerSolutions/product.do?id=ESDR0524PMUTAG","http://www.onsemi.com/pub/Collateral/ESDR0524P-D.PDF","ESD Protection Diode, Ultra Low Capacitance, Low Clamping Voltage","AEC Qualified
Pb-free
Halide free","Active","ESD Protection Diode, Ultra Low Capacitance, Low Clamping Voltage","Display Port
DVI
eSATA 2.0
HDMI 1.3/1.4","4","Unidirectional","0.4","6","5","1","11.1","UDFN-10"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","MG2040","MG2040MUTAG","http://www.onsemi.cn/PowerSolutions/product.do?id=MG2040MUTAG","http://www.onsemi.com/pub/Collateral/MG2040-D.PDF","ESD Protection Diode, Low Capacitance, High Speed Video Interface","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","ESD Protection Diode, Low Capacitance, High Speed Video Interface","Display Port
HDMI 1.3/1.4","14","Unidirectional","0.42","5.5","5","1","10.7","UDFN-18"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","MG2040","SZMG2040MUTAG","http://www.onsemi.cn/PowerSolutions/product.do?id=SZMG2040MUTAG","http://www.onsemi.com/pub/Collateral/MG2040-D.PDF","ESD Protection Diode, Low Capacitance, High Speed Video Interface","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","ESD Protection Diode, Low Capacitance, High Speed Video Interface","Display Port
HDMI 1.3/1.4","14","Unidirectional","0.42","5.5","5","1","10.7","UDFN-18"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","MMQA15V","MMQA15VT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=MMQA15VT1G","http://www.onsemi.com/pub/Collateral/MMQA-D.PDF","Transient Voltage Suppressor, Common Anode, SC-59, 15 V","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Transient Voltage Suppressor, Common Anode, SC-59","General I/O","4","Unidirectional","-","14.3","11","0.075","150","SC-74"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","MMQA15V","SZMMQA15VT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=SZMMQA15VT1G","http://www.onsemi.com/pub/Collateral/MMQA-D.PDF","Transient Voltage Suppressor, Common Anode, SC-59","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Transient Voltage Suppressor, Common Anode, SC-59","General I/O","4","Unidirectional","-","14.3","11","0.075","150","SC-74"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","MMQA20V","MMQA20VT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=MMQA20VT1G","http://www.onsemi.com/pub/Collateral/MMQA-D.PDF","Transient Voltage Suppressor, Common Anode, SC-59, 20 V","AEC Qualified
Pb-free
Halide free","Active","Transient Voltage Suppressor, Common Anode, SC-59","General I/O","4","Unidirectional",,"19",,"0.075","150","SC-74"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","MMQA24V","MMQA24VT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=MMQA24VT1G","http://www.onsemi.com/pub/Collateral/MMQA-D.PDF","Transient Voltage Suppressor, Common Anode, SC-59, 24 V","AEC Qualified
Pb-free
Halide free","Active","Transient Voltage Suppressor, Common Anode, SC-59","General I/O","4","Unidirectional",,"22.8",,"0.075","150","SC-74"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","MMQA33V","MMQA33VT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=MMQA33VT1G","http://www.onsemi.com/pub/Collateral/MMQA-D.PDF","Transient Voltage Suppressor, Common Anode, SC-59, 33 V","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Transient Voltage Suppressor, Common Anode, SC-59","General I/O","4","Unidirectional","-","31.4","25","0.075","150","SC-74"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","MMQA33V","SZMMQA33VT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=SZMMQA33VT1G","http://www.onsemi.com/pub/Collateral/MMQA-D.PDF","Transient Voltage Suppressor, Common Anode, SC-59","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Transient Voltage Suppressor, Common Anode, SC-59","General I/O","4","Unidirectional","-","31.4","25","0.075","150","SC-74"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","MMQA6V2","MMQA6V2T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=MMQA6V2T1G","http://www.onsemi.com/pub/Collateral/MMQA-D.PDF","Transient Voltage Suppressor, Common Anode, SC-59, 6.2 V","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Transient Voltage Suppressor, Common Anode, SC-59","General I/O","4","Unidirectional","-","5.89","4","0.7","150","SC-74"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","MMQA6V2","SZMMQA6V2T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=SZMMQA6V2T1G","http://www.onsemi.com/pub/Collateral/MMQA-D.PDF","Transient Voltage Suppressor, Common Anode, SC-59","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Transient Voltage Suppressor, Common Anode, SC-59","General I/O","4","Unidirectional","-","5.89","4","0.7","150","SC-74"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","MSQA6V1W5","MSQA6V1W5T2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MSQA6V1W5T2G","http://www.onsemi.com/pub/Collateral/MSQA6V1W5T2-D.PDF","Diode Array for ESD Protection","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Diode Array for ESD Protection","General I/O","4","Unidirectional","90","6.1","3","11","150","SC-88A-5 / SC-70-5 / SOT-323-5"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","MSQA6V1W5","SZMSQA6V1W5T2G","http://www.onsemi.cn/PowerSolutions/product.do?id=SZMSQA6V1W5T2G","http://www.onsemi.com/pub/Collateral/MSQA6V1W5T2-D.PDF","Diode Array for ESD Protection","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Diode Array for ESD Protection","General I/O","4","Unidirectional","90","6.1","3","11","150","SC-88A-5 / SC-70-5 / SOT-323-5"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NSQA6V8A","NSQA12VAW5T2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NSQA12VAW5T2G","http://www.onsemi.com/pub/Collateral/NSQA6V8AW5T2-D.PDF","Low Capacitance Transient Voltage Suppressor Array","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Low Capacitance Transient Voltage Suppressor Array","General I/O","4","Unidirectional","15","6.4
11.4","5
9","0.05
1","20","SC-88A-5 / SC-70-5 / SOT-323-5"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NSQA6V8A","NSQA6V8AW5T2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NSQA6V8AW5T2G","http://www.onsemi.com/pub/Collateral/NSQA6V8AW5T2-D.PDF","Low Capacitance Transient Voltage Suppressor Array","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Low Capacitance Transient Voltage Suppressor Array","General I/O","4","Unidirectional","15","6.4
11.4","5
9","0.05
1","20","SC-88A-5 / SC-70-5 / SOT-323-5"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NSQA6V8A","SZNSQA6V8AW5T2G","http://www.onsemi.cn/PowerSolutions/product.do?id=SZNSQA6V8AW5T2G","http://www.onsemi.com/pub/Collateral/NSQA6V8AW5T2-D.PDF","Low Capacitance Transient Voltage Suppressor Array","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Low Capacitance Transient Voltage Suppressor Array","General I/O","4","Unidirectional","15","6.4
11.4","5
9","0.05
1","20","SC-88A-5 / SC-70-5 / SOT-323-5"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NUP1301","NUP1301ML3T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NUP1301ML3T1G","http://www.onsemi.com/pub/Collateral/NUP1301ML3T1-D.PDF","ESD Protection Low Capacitance Rail Clamp","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","ESD Protection Low Capacitance Rail Clamp","T1/E1, T3/E3","1","Bidirectional","3","70","70","2.5","-","SOT-23-3"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NUP1301","SZNUP1301ML3T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=SZNUP1301ML3T1G","http://www.onsemi.com/pub/Collateral/NUP1301ML3T1-D.PDF","ESD Protection Low Capacitance Rail Clamp","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","ESD Protection Low Capacitance Rail Clamp","T1/E1, T3/E3","1","Bidirectional","3","70","70","2.5","-","SOT-23-3"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NUP2114","NUP2114UCMR6T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NUP2114UCMR6T1G","http://www.onsemi.com/pub/Collateral/NUP2114-D.PDF","ESD Protection Array","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","ESD Protection Array","DVI
HDMI 1.2
USB 2.0","2","Unidirectional","1","6","5","1","-","SOT-553
TSOP-6"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NUP2114","NUP2114UPXV5T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NUP2114UPXV5T1G","http://www.onsemi.com/pub/Collateral/NUP2114-D.PDF","ESD Protection Array","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","ESD Protection Array","DVI
HDMI 1.2
USB 2.0","2","Unidirectional","1","6","5","1","-","SOT-553
TSOP-6"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NUP2114","SNUP2114UCMR6T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=SNUP2114UCMR6T1G","http://www.onsemi.com/pub/Collateral/NUP2114-D.PDF","ESD Protection Array","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","ESD Protection Array","DVI
HDMI 1.2
USB 2.0","2","Unidirectional","1","6","5","1","-","SOT-553
TSOP-6"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NUP2125","NUP2125WTT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NUP2125WTT1G","http://www.onsemi.com/pub/Collateral/NUP2125-D.PDF","Dual Line CAN/CAN-FD Bus Protection, Dual Line CAN Bus Protection","AEC Qualified
Pb-free
Halide free
PPAP Capable","ActiveNEW","Dual Line CAN/CAN-FD Bus Protection","CAN
CAN-FD","2","Bidirectional","10","26.2","24","0.1",,"SC-70-3 / SOT-323-3"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NUP2125","NUP2125WTT3G","http://www.onsemi.cn/PowerSolutions/product.do?id=NUP2125WTT3G","http://www.onsemi.com/pub/Collateral/NUP2125-D.PDF","Dual Line CAN/CAN-FD Bus Protection, Dual Line CAN Bus Protection","AEC Qualified
Pb-free
Halide free
PPAP Capable","ActiveNEW","Dual Line CAN/CAN-FD Bus Protection","CAN
CAN-FD","2","Bidirectional","10","26.2","24","0.1",,"SC-70-3 / SOT-323-3"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NUP2125","SZNUP2125WTT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=SZNUP2125WTT1G","http://www.onsemi.com/pub/Collateral/NUP2125-D.PDF","Dual Line CAN/CAN-FD Bus Protection, Dual Line CAN Bus Protection","AEC Qualified
Pb-free
Halide free
PPAP Capable","ActiveNEW","Dual Line CAN/CAN-FD Bus Protection","CAN
CAN-FD","2","Bidirectional","10","26.2","24","0.1",,"SC-70-3 / SOT-323-3"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NUP2125","SZNUP2125WTT3G","http://www.onsemi.cn/PowerSolutions/product.do?id=SZNUP2125WTT3G","http://www.onsemi.com/pub/Collateral/NUP2125-D.PDF","Dual Line CAN/CAN-FD Bus Protection, Dual Line CAN Bus Protection","AEC Qualified
Pb-free
Halide free
PPAP Capable","ActiveNEW","Dual Line CAN/CAN-FD Bus Protection","CAN
CAN-FD","2","Bidirectional","10","26.2","24","0.1",,"SC-70-3 / SOT-323-3"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NUP2202","NUP2202W1T2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NUP2202W1T2G","http://www.onsemi.com/pub/Collateral/NUP2202W1-D.PDF","Transient Voltage Suppressor, Low Capacitance, for High Speed Data Lines","Pb-free","Active","Transient Voltage Suppressor, Low Capacitance, for High Speed Data Lines","DVI
HDMI 1.2
USB 2.0","2","Bidirectional","3","6","5","5","500","SC-88-6 / SC-70-6 / SOT-363-6"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NUP2301","NUP2301MW6T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NUP2301MW6T1G","http://www.onsemi.com/pub/Collateral/NUP2301MW6T1-D.PDF","Low Capacitance Diode Array for ESD Protection","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Low Capacitance Diode Array for ESD Protection","T1/E1, T3/E3","2","Bidirectional","3","70","70","2.5","-","SC-88-6 / SC-70-6 / SOT-363-6"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NUP2301","SZNUP2301MW6T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=SZNUP2301MW6T1G","http://www.onsemi.com/pub/Collateral/NUP2301MW6T1-D.PDF","Low Capacitance Diode Array for ESD Protection","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Low Capacitance Diode Array for ESD Protection","T1/E1, T3/E3","2","Bidirectional","3","70","70","2.5","-","SC-88-6 / SC-70-6 / SOT-363-6"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NUP3112UPMUTAG","NUP3112UPMUTAG","http://www.onsemi.cn/PowerSolutions/product.do?id=NUP3112UPMUTAG","http://www.onsemi.com/pub/Collateral/NUP3112UPMU-D.PDF","Transient Voltage Suppressor, Quad, Ultra Low Capacitance","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Transient Voltage Suppressor, Quad, Ultra Low Capacitance","USB 2.0","4","Unidirectional","0.9","5.2","4","1",,"UDFN-6"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NUP3112UPMUTAG","SZNUP3112UPMUTAG","http://www.onsemi.cn/PowerSolutions/product.do?id=SZNUP3112UPMUTAG","http://www.onsemi.com/pub/Collateral/NUP3112UPMU-D.PDF","Transient Voltage Suppressor, Quad, Ultra Low Capacitance","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Transient Voltage Suppressor, Quad, Ultra Low Capacitance","USB 2.0","4","Unidirectional","0.9","5.2","4","1",,"UDFN-6"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NUP4000","NUP4000DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NUP4000DR2G","http://www.onsemi.com/pub/Collateral/NUP4000-D.PDF","Bi-Directional Transient Voltage Suppressor Array for High Speed Data Line Protection","Pb-free
Halide free","Active","Bi-Directional Transient Voltage Suppressor Array for High Speed Data Line Protection","General I/O","8","Bidirectional","75","16.7","15","1","400","SOIC-8"
