"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","PFC Mode","Frequency Operation","Control Mode","Topology","fSW Typ (kHz)","VCC Max (V)","Drive Cap. (mA)","UVLO (V)","Latch","UVP","Inhibition","Package Type"
"on","AC-DC控制器和稳压器---功率因数控制器","MC33262","MC33262DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33262DG","http://www.onsemi.com/pub/Collateral/MC34262-D.PDF","Power Factor Controller","PPAP Capable
Pb-free
Halide free","Active","Power Factor Controller","CRM","Variable","Current Mode","Step-Up","Variable","30","500 / 500","8 - 13","Yes","No","Yes","PDIP-8
SOIC-8"
"on","AC-DC控制器和稳压器---功率因数控制器","MC33262","MC33262DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33262DR2G","http://www.onsemi.com/pub/Collateral/MC34262-D.PDF","Power Factor Controller","PPAP Capable
Pb-free
Halide free","Active","Power Factor Controller","CRM","Variable","Current Mode","Step-Up","Variable","30","500 / 500","8 - 13","Yes","No","Yes","PDIP-8
SOIC-8"
"on","AC-DC控制器和稳压器---功率因数控制器","MC33262","MC33262PG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33262PG","http://www.onsemi.com/pub/Collateral/MC34262-D.PDF","Power Factor Controller","PPAP Capable
Pb-free
Halide free","Active","Power Factor Controller","CRM","Variable","Current Mode","Step-Up","Variable","30","500 / 500","8 - 13","Yes","No","Yes","PDIP-8
SOIC-8"
"on","AC-DC控制器和稳压器---功率因数控制器","MC34262","MC34262DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC34262DG","http://www.onsemi.com/pub/Collateral/MC34262-D.PDF","Power Factor Controller","PPAP Capable
Pb-free
Halide free","Active","Power Factor Controller","CCM","Variable","Current Mode","Boost","50","30","500 / 500","Yes","Fixed","No","Yes","PDIP-8
SOIC-8"
"on","AC-DC控制器和稳压器---功率因数控制器","MC34262","MC34262DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC34262DR2G","http://www.onsemi.com/pub/Collateral/MC34262-D.PDF","Power Factor Controller","PPAP Capable
Pb-free
Halide free","Active","Power Factor Controller","CCM","Variable","Current Mode","Boost","50","30","500 / 500","Yes","Fixed","No","Yes","PDIP-8
SOIC-8"
"on","AC-DC控制器和稳压器---功率因数控制器","MC34262","MC34262PG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC34262PG","http://www.onsemi.com/pub/Collateral/MC34262-D.PDF","Power Factor Controller","PPAP Capable
Pb-free
Halide free","Active","Power Factor Controller","CCM","Variable","Current Mode","Boost","50","30","500 / 500","Yes","Fixed","No","Yes","PDIP-8
SOIC-8"
"on","AC-DC控制器和稳压器---功率因数控制器","NCL30030","NCL30030B1DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCL30030B1DR2G","http://www.onsemi.com/pub/Collateral/NCL30030-D.PDF","Ac-Dc Combination Power Factor Correction & Quasi-Resonant Flyback Controller optimized for LED Lighting, with Bi-Level 1.77:1 PFC Output Ratio and auto-recoverable Fault Handling","Pb-free
Halide free","Active","Ac-Dc Combination Power Factor Correction & Quasi-Resonant Flyback Controller optimized for LED Lighting","CRM","Variable","Current Mode","Flyback","80","30","500 / 800","7.5","No",,"yes","SOIC-16 NB"
"on","AC-DC控制器和稳压器---功率因数控制器","NCL30030","NCL30030B2DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCL30030B2DR2G","http://www.onsemi.com/pub/Collateral/NCL30030-D.PDF","Ac-Dc Combination Power Factor Correction & Quasi-Resonant Flyback Controller optimized for LED Lighting, with Bi-level 2:1 PFC Output Ratio and auto-recoverable Fault Handling","Pb-free
Halide free","Active","Ac-Dc Combination Power Factor Correction & Quasi-Resonant Flyback Controller optimized for LED Lighting","CRM","Variable","Current Mode","Flyback","80","30","500 / 800","7.5","No",,"yes","SOIC-16 NB"
"on","AC-DC控制器和稳压器---功率因数控制器","NCL30030","NCL30030B3DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCL30030B3DR2G","http://www.onsemi.com/pub/Collateral/NCL30030-D.PDF","Ac-Dc Combination Power Factor Correction & Quasi-Resonant Flyback Controller optimized for LED Lighting, with Fixed PFC output level over line and auto-recoverable Fault Handling","Pb-free
Halide free","Active","Ac-Dc Combination Power Factor Correction & Quasi-Resonant Flyback Controller optimized for LED Lighting","CRM","Variable","Current Mode","Flyback","80","30","500 / 800","7.5","No",,"yes","SOIC-16 NB"
"on","AC-DC控制器和稳压器---功率因数控制器","NCP1602","NCP1602ABASNT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1602ABASNT1G","http://www.onsemi.com/pub/Collateral/NCP1602-D.PDF","Power Factor Controller, Enhanced, High Efficiency","Pb-free
Halide free","Product Preview","Power Factor Controller, Enhanced, High Efficiency","CRM","Variable","Current Mode","Step-Up","Variable","18",,,,,,"TSOP-6"
