"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Channels","VCC Min (V)","VCC Max (V)","tpd Max (ns)","IO Max (mA)","Package Type"
"on","标准逻辑---多路转换器","MC74HC251A","MC74HC251ADR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74HC251ADR2G","http://www.onsemi.com/pub/Collateral/MC74HC251A-D.PDF","8-Input Multiplexer (3-state)","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","8-Input Multiplexer (3-state) ","1","2","6","48","5.2","SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74HC251A","MC74HC251ADTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74HC251ADTG","http://www.onsemi.com/pub/Collateral/MC74HC251A-D.PDF","8-Input Multiplexer (3-state)","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","8-Input Multiplexer (3-state) ","1","2","6","48","5.2","SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74HC251A","MC74HC251ADTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74HC251ADTR2G","http://www.onsemi.com/pub/Collateral/MC74HC251A-D.PDF","8-Input Multiplexer (3-state)","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","8-Input Multiplexer (3-state) ","1","2","6","48","5.2","SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74HC251A","NLV74HC251ADR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV74HC251ADR2G","http://www.onsemi.com/pub/Collateral/MC74HC251A-D.PDF","8-Input Multiplexer (3-state) , 8-Channel Multiplexer (3-state)","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","8-Input Multiplexer (3-state) ","1","2","6","48","5.2","SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74HC4067A","MC74HC4067ADTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74HC4067ADTG","http://www.onsemi.com/pub/Collateral/MC74HC4067A-D.PDF","Quad Analog Switch/Multiplexer/Demultiplexer","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Quad Analog Switch/Multiplexer/Demultiplexer","1","2","6","19","25","SOIC-24
TSSOP-24"
"on","标准逻辑---多路转换器","MC74HC4067A","MC74HC4067ADTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74HC4067ADTR2G","http://www.onsemi.com/pub/Collateral/MC74HC4067A-D.PDF","Quad Analog Switch/Multiplexer/Demultiplexer","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Quad Analog Switch/Multiplexer/Demultiplexer","1","2","6","19","25","SOIC-24
TSSOP-24"
"on","标准逻辑---多路转换器","MC74HC4067A","MC74HC4067ADWG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74HC4067ADWG","http://www.onsemi.com/pub/Collateral/MC74HC4067A-D.PDF","Quad Analog Switch/Multiplexer/Demultiplexer","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Quad Analog Switch/Multiplexer/Demultiplexer","1","2","6","19","25","SOIC-24
TSSOP-24"
"on","标准逻辑---多路转换器","MC74HC4067A","MC74HC4067ADWR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74HC4067ADWR2G","http://www.onsemi.com/pub/Collateral/MC74HC4067A-D.PDF","Quad Analog Switch/Multiplexer/Demultiplexer","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Quad Analog Switch/Multiplexer/Demultiplexer","1","2","6","19","25","SOIC-24
TSSOP-24"
"on","标准逻辑---多路转换器","MC74HC4067A","NLV74HC4067ADTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV74HC4067ADTR2G","http://www.onsemi.com/pub/Collateral/MC74HC4067A-D.PDF","Quad Analog Switch/Multiplexer/Demultiplexer","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Quad Analog Switch/Multiplexer/Demultiplexer","1","2","6","19","25","SOIC-24
TSSOP-24"
"on","标准逻辑---多路转换器","MC74HCT4051A","M74HCT4051ADTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=M74HCT4051ADTR2G","http://www.onsemi.com/pub/Collateral/MC74HCT4051A-D.PDF","Analog Multiplexers / Demultiplexers with LSTTL Compatible Inputs","Pb-free
Halide free","Active","Analog Multiplexers / Demultiplexers with LSTTL Compatible Inputs","4","2","12","45","25","SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74HCT4051A","MC74HCT4051ADG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74HCT4051ADG","http://www.onsemi.com/pub/Collateral/MC74HCT4051A-D.PDF","Analog Multiplexers / Demultiplexers with LSTTL Compatible Inputs","Pb-free
Halide free","Active","Analog Multiplexers / Demultiplexers with LSTTL Compatible Inputs","4","2","12","45","25","SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74HCT4051A","MC74HCT4051ADR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74HCT4051ADR2G","http://www.onsemi.com/pub/Collateral/MC74HCT4051A-D.PDF","Analog Multiplexers / Demultiplexers with LSTTL Compatible Inputs","Pb-free
Halide free","Active","Analog Multiplexers / Demultiplexers with LSTTL Compatible Inputs","4","2","12","45","25","SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74HCT4051A","MC74HCT4051ADTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74HCT4051ADTG","http://www.onsemi.com/pub/Collateral/MC74HCT4051A-D.PDF","Analog Multiplexers / Demultiplexers with LSTTL Compatible Inputs","Pb-free
Halide free","Active","Analog Multiplexers / Demultiplexers with LSTTL Compatible Inputs","4","2","12","45","25","SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74HCT4053A","M74HCT4053ADTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=M74HCT4053ADTR2G","http://www.onsemi.com/pub/Collateral/MC74HCT4051A-D.PDF","Analog Multiplexers / Demultiplexers with LSTTL Compatible Inputs, Analog Multiplexers / Demultiplexers with LSTTL Compatible Inputs","Pb-free
Halide free","Active","Analog Multiplexers / Demultiplexers with LSTTL Compatible Inputs","4","2","12","45","25","SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74HCT4053A","MC74HCT4053ADR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74HCT4053ADR2G","http://www.onsemi.com/pub/Collateral/MC74HCT4051A-D.PDF","Analog Multiplexers / Demultiplexers with LSTTL Compatible Inputs, Analog Multiplexers / Demultiplexers with LSTTL Compatible Inputs","Pb-free
Halide free","Active","Analog Multiplexers / Demultiplexers with LSTTL Compatible Inputs","4","2","12","45","25","SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74HCT4851A","M74HCT4851ADTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=M74HCT4851ADTR2G","http://www.onsemi.com/pub/Collateral/MC74HCT4851A-D.PDF","Analog Multiplexers/Demultiplexers with Injection Current Effect Control with LSTTL Compatible Inputs","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Analog Multiplexers/Demultiplexers with Injection Current Effect Control with LSTTL Compatible Inputs","4","2","6","40","0.0001","SOIC-16
SOIC-16W
TSSOP-16"
"on","标准逻辑---多路转换器","MC74HCT4851A","M74HCT4851ADWR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=M74HCT4851ADWR2G","http://www.onsemi.com/pub/Collateral/MC74HCT4851A-D.PDF","Analog Multiplexers/Demultiplexers with Injection Current Effect Control with LSTTL Compatible Inputs","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Analog Multiplexers/Demultiplexers with Injection Current Effect Control with LSTTL Compatible Inputs","4","2","6","40","0.0001","SOIC-16
SOIC-16W
TSSOP-16"
"on","标准逻辑---多路转换器","MC74HCT4851A","MC74HCT4851ADG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74HCT4851ADG","http://www.onsemi.com/pub/Collateral/MC74HCT4851A-D.PDF","Analog Multiplexers/Demultiplexers with Injection Current Effect Control with LSTTL Compatible Inputs","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Analog Multiplexers/Demultiplexers with Injection Current Effect Control with LSTTL Compatible Inputs","4","2","6","40","0.0001","SOIC-16
SOIC-16W
TSSOP-16"
"on","标准逻辑---多路转换器","MC74HCT4851A","MC74HCT4851ADR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74HCT4851ADR2G","http://www.onsemi.com/pub/Collateral/MC74HCT4851A-D.PDF","Analog Multiplexers/Demultiplexers with Injection Current Effect Control with LSTTL Compatible Inputs","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Analog Multiplexers/Demultiplexers with Injection Current Effect Control with LSTTL Compatible Inputs","4","2","6","40","0.0001","SOIC-16
SOIC-16W
TSSOP-16"
"on","标准逻辑---多路转换器","MC74HCT4851A","MC74HCT4851ADTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74HCT4851ADTG","http://www.onsemi.com/pub/Collateral/MC74HCT4851A-D.PDF","Analog Multiplexers/Demultiplexers with Injection Current Effect Control with LSTTL Compatible Inputs","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Analog Multiplexers/Demultiplexers with Injection Current Effect Control with LSTTL Compatible Inputs","4","2","6","40","0.0001","SOIC-16
SOIC-16W
TSSOP-16"
"on","标准逻辑---多路转换器","MC74HCT4851A","NLV74HCT4851ADRG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV74HCT4851ADRG","http://www.onsemi.com/pub/Collateral/MC74HCT4851A-D.PDF","Analog Multiplexers/Demultiplexers with Injection Current Effect Control with LSTTL Compatible Inputs","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Analog Multiplexers/Demultiplexers with Injection Current Effect Control with LSTTL Compatible Inputs","4","2","6","40","0.0001","SOIC-16
SOIC-16W
TSSOP-16"
"on","标准逻辑---多路转换器","MC74HCT4851A","NLVHCT4851ADTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLVHCT4851ADTR2G","http://www.onsemi.com/pub/Collateral/MC74HCT4851A-D.PDF","Analog Multiplexers/Demultiplexers with Injection Current Effect Control with LSTTL Compatible Inputs","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Analog Multiplexers/Demultiplexers with Injection Current Effect Control with LSTTL Compatible Inputs","4","2","6","40","0.0001","SOIC-16
SOIC-16W
TSSOP-16"
"on","标准逻辑---多路转换器","MC74LCX138","MC74LCX138DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74LCX138DR2G","http://www.onsemi.com/pub/Collateral/MC74LCX138-D.PDF","Low Voltage CMOS 3-to-8 Decoder/Demultiplexer","Pb-free
Halide free
AEC Qualified
PPAP Capable","ActiveNEW","Low Voltage CMOS 3-to-8 Decoder/Demultiplexer","1","2","3.6","6","24","SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74LCX138","MC74LCX138DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74LCX138DTG","http://www.onsemi.com/pub/Collateral/MC74LCX138-D.PDF","Low Voltage CMOS 3-to-8 Decoder/Demultiplexer","Pb-free
Halide free
AEC Qualified
PPAP Capable","ActiveNEW","Low Voltage CMOS 3-to-8 Decoder/Demultiplexer","1","2","3.6","6","24","SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74LCX138","MC74LCX138DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74LCX138DTR2G","http://www.onsemi.com/pub/Collateral/MC74LCX138-D.PDF","Low Voltage CMOS 3-to-8 Decoder/Demultiplexer","Pb-free
Halide free
AEC Qualified
PPAP Capable","ActiveNEW","Low Voltage CMOS 3-to-8 Decoder/Demultiplexer","1","2","3.6","6","24","SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74LCX138","NLV74LCX138DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV74LCX138DR2G","http://www.onsemi.com/pub/Collateral/MC74LCX138-D.PDF","Low Voltage CMOS 3-to-8 Decoder/Demultiplexer","Pb-free
Halide free
AEC Qualified
PPAP Capable","ActiveNEW","Low Voltage CMOS 3-to-8 Decoder/Demultiplexer","1","2","3.6","6","24","SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74LCX157","MC74LCX157DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74LCX157DR2G","http://www.onsemi.com/pub/Collateral/MC74LCX157-D.PDF","Low Voltage CMOS Quad 2-Input Multiplexer","Pb-free
Halide free","ActiveNEW","Low Voltage CMOS Quad 2-Input Multiplexer","2","2","3.6","5.8","24","SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74LCX157","MC74LCX157DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74LCX157DTG","http://www.onsemi.com/pub/Collateral/MC74LCX157-D.PDF","Low Voltage CMOS Quad 2-Input Multiplexer","Pb-free
Halide free","ActiveNEW","Low Voltage CMOS Quad 2-Input Multiplexer","2","2","3.6","5.8","24","SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74LCX157","MC74LCX157DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74LCX157DTR2G","http://www.onsemi.com/pub/Collateral/MC74LCX157-D.PDF","Low Voltage CMOS Quad 2-Input Multiplexer","Pb-free
Halide free","ActiveNEW","Low Voltage CMOS Quad 2-Input Multiplexer","2","2","3.6","5.8","24","SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74LCX257","MC74LCX257DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74LCX257DR2G","http://www.onsemi.com/pub/Collateral/MC74LCX257-D.PDF","Low Voltage CMOS Quad 2-Input Multiplexer","Pb-free
Halide free","Active","Low Voltage CMOS Quad 2-Input Multiplexer","4","2","3.6","6","24","SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74LCX257","MC74LCX257DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74LCX257DTG","http://www.onsemi.com/pub/Collateral/MC74LCX257-D.PDF","Low Voltage CMOS Quad 2-Input Multiplexer","Pb-free
Halide free","Active","Low Voltage CMOS Quad 2-Input Multiplexer","4","2","3.6","6","24","SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74LCX257","MC74LCX257DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74LCX257DTR2G","http://www.onsemi.com/pub/Collateral/MC74LCX257-D.PDF","Low Voltage CMOS Quad 2-Input Multiplexer","Pb-free
Halide free","Active","Low Voltage CMOS Quad 2-Input Multiplexer","4","2","3.6","6","24","SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74LVX138","MC74LVX138DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74LVX138DR2G","http://www.onsemi.com/pub/Collateral/MC74LVX138-D.PDF","3-to-8 Line Decoder","Pb-free
Halide free","Active","3-to-8 Line Decoder","1","2","3.6","12.3","4","SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74LVX138","MC74LVX138DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74LVX138DTR2G","http://www.onsemi.com/pub/Collateral/MC74LVX138-D.PDF","3-to-8 Line Decoder","Pb-free
Halide free","Active","3-to-8 Line Decoder","1","2","3.6","12.3","4","SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74LVX157","MC74LVX157DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74LVX157DR2G","http://www.onsemi.com/pub/Collateral/MC74LVX157-D.PDF","Quad 2-Channel Multiplexer (Mux)","Pb-free
Halide free","Active","Quad 2-Channel Multiplexer (Mux)","4","2","3.6","11.4","4","SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74LVX157","MC74LVX157DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74LVX157DTR2G","http://www.onsemi.com/pub/Collateral/MC74LVX157-D.PDF","Quad 2-Channel Multiplexer (Mux)","Pb-free
Halide free","Active","Quad 2-Channel Multiplexer (Mux)","4","2","3.6","11.4","4","SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74LVX4051","MC74LVX4051DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74LVX4051DG","http://www.onsemi.com/pub/Collateral/MC74LVX4051-D.PDF","Analog Multiplexer/Demultiplexer (Mux/Demux)","Pb-free
Halide free","Active","Analog Multiplexer/Demultiplexer (Mux/Demux)","1","2.5","6","23","4","QFN-16
SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74LVX4051","MC74LVX4051DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74LVX4051DR2G","http://www.onsemi.com/pub/Collateral/MC74LVX4051-D.PDF","Analog Multiplexer/Demultiplexer (Mux/Demux)","Pb-free
Halide free","Active","Analog Multiplexer/Demultiplexer (Mux/Demux)","1","2.5","6","23","4","QFN-16
SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74LVX4051","MC74LVX4051DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74LVX4051DTG","http://www.onsemi.com/pub/Collateral/MC74LVX4051-D.PDF","Analog Multiplexer/Demultiplexer (Mux/Demux)","Pb-free
Halide free","Active","Analog Multiplexer/Demultiplexer (Mux/Demux)","1","2.5","6","23","4","QFN-16
SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74LVX4051","MC74LVX4051DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74LVX4051DTR2G","http://www.onsemi.com/pub/Collateral/MC74LVX4051-D.PDF","Analog Multiplexer/Demultiplexer (Mux/Demux)","Pb-free
Halide free","Active","Analog Multiplexer/Demultiplexer (Mux/Demux)","1","2.5","6","23","4","QFN-16
SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74LVX4051","MC74LVX4051MNTWG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74LVX4051MNTWG","http://www.onsemi.com/pub/Collateral/MC74LVX4051-D.PDF","Analog Multiplexer/Demultiplexer (Mux/Demux)","Pb-free
Halide free","Active","Analog Multiplexer/Demultiplexer (Mux/Demux)","1","2.5","6","23","4","QFN-16
SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74LVX4053","MC74LVX4053DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74LVX4053DG","http://www.onsemi.com/pub/Collateral/MC74LVX4053-D.PDF","Analog Multiplexer / Demultiplexer","Pb-free
Halide free","Active","Analog Multiplexer / Demultiplexer","3","2.5","6","23","4","SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74LVX4053","MC74LVX4053DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74LVX4053DR2G","http://www.onsemi.com/pub/Collateral/MC74LVX4053-D.PDF","Analog Multiplexer / Demultiplexer","Pb-free
Halide free","Active","Analog Multiplexer / Demultiplexer","3","2.5","6","23","4","SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74LVX4053","MC74LVX4053DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74LVX4053DTG","http://www.onsemi.com/pub/Collateral/MC74LVX4053-D.PDF","Analog Multiplexer / Demultiplexer","Pb-free
Halide free","Active","Analog Multiplexer / Demultiplexer","3","2.5","6","23","4","SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74LVX4053","MC74LVX4053DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74LVX4053DTR2G","http://www.onsemi.com/pub/Collateral/MC74LVX4053-D.PDF","Analog Multiplexer / Demultiplexer","Pb-free
Halide free","Active","Analog Multiplexer / Demultiplexer","3","2.5","6","23","4","SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74LVXT4052","MC74LVXT4052DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74LVXT4052DG","http://www.onsemi.com/pub/Collateral/MC74LVXT4052-D.PDF","Analog Multiplexer/Demultiplexer (Mux/Demux)","Pb-free
Halide free","Active","Analog Multiplexer/Demultiplexer (Mux/Demux)","2","2.5","6","23","4","SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74LVXT4052","MC74LVXT4052DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74LVXT4052DR2G","http://www.onsemi.com/pub/Collateral/MC74LVXT4052-D.PDF","Analog Multiplexer/Demultiplexer (Mux/Demux)","Pb-free
Halide free","Active","Analog Multiplexer/Demultiplexer (Mux/Demux)","2","2.5","6","23","4","SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74LVXT4052","MC74LVXT4052DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74LVXT4052DTG","http://www.onsemi.com/pub/Collateral/MC74LVXT4052-D.PDF","Analog Multiplexer/Demultiplexer (Mux/Demux)","Pb-free
Halide free","Active","Analog Multiplexer/Demultiplexer (Mux/Demux)","2","2.5","6","23","4","SOIC-16
TSSOP-16"
"on","标准逻辑---多路转换器","MC74LVXT4052","MC74LVXT4052DTRG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74LVXT4052DTRG","http://www.onsemi.com/pub/Collateral/MC74LVXT4052-D.PDF","Analog Multiplexer/Demultiplexer (Mux/Demux)","Pb-free
Halide free","Active","Analog Multiplexer/Demultiplexer (Mux/Demux)","2","2.5","6","23","4","SOIC-16
TSSOP-16"
