"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Type","Channels","VCC Min (V)","VCC Max (V)","tpd Max (ns)","IO Max (mA)","Package Type"
"on","标准逻辑---逻辑门","74LVC00","74LVC00ADR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=74LVC00ADR2G","http://www.onsemi.com/pub/Collateral/74LVC00A-D.PDF","Low Voltage CMOS Quad 2-Input NAND Gate","Pb-free
Halide free","ActiveNEW","Low Voltage CMOS Quad 2-Input NAND Gate","NAND","4","1.2","3.6","5.1","24","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","74LVC00","74LVC00ADTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=74LVC00ADTR2G","http://www.onsemi.com/pub/Collateral/74LVC00A-D.PDF","Low Voltage CMOS Quad 2-Input NAND Gate","Pb-free
Halide free","ActiveNEW","Low Voltage CMOS Quad 2-Input NAND Gate","NAND","4","1.2","3.6","5.1","24","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","74LVC04","74LVC04ADR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=74LVC04ADR2G","http://www.onsemi.com/pub/Collateral/74LVC04A-D.PDF","Low Voltage CMOS Hex Inverter","Pb-free
Halide free","ActiveNEW","Low Voltage CMOS Hex Inverter","Inverter","6","1.2","3.6","6","24","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","74LVC04","74LVC04ADTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=74LVC04ADTR2G","http://www.onsemi.com/pub/Collateral/74LVC04A-D.PDF","Low Voltage CMOS Hex Inverter","Pb-free
Halide free","ActiveNEW","Low Voltage CMOS Hex Inverter","Inverter","6","1.2","3.6","6","24","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","74LVC32","74LVC32ADR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=74LVC32ADR2G","http://www.onsemi.com/pub/Collateral/74LVC32A-D.PDF","Low Voltage Quad 2-Input OR Gate with 5V-Tolerant Inputs","Pb-free
Halide free","ActiveNEW","Low Voltage Quad 2-Input OR Gate with 5V-Tolerant Inputs","OR","4","1.2","3.6","5","24","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","74LVC32","74LVC32ADTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=74LVC32ADTR2G","http://www.onsemi.com/pub/Collateral/74LVC32A-D.PDF","Low Voltage Quad 2-Input OR Gate with 5V-Tolerant Inputs","Pb-free
Halide free","ActiveNEW","Low Voltage Quad 2-Input OR Gate with 5V-Tolerant Inputs","OR","4","1.2","3.6","5","24","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC14001B","MC14001BDG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14001BDG","http://www.onsemi.com/pub/Collateral/MC14001B-D.PDF","Quad 2-Input NOR Gate","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Quad 2-Input NOR Gate","NOR","4","3","18","100","2.25","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC14001B","MC14001BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14001BDR2G","http://www.onsemi.com/pub/Collateral/MC14001B-D.PDF","Quad 2-Input NOR Gate","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Quad 2-Input NOR Gate","NOR","4","3","18","100","2.25","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC14001B","MC14001BDTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14001BDTR2G","http://www.onsemi.com/pub/Collateral/MC14001B-D.PDF","Quad 2-Input NOR Gate","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Quad 2-Input NOR Gate","NOR","4","3","18","100","2.25","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC14001B","NLV14001BDG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14001BDG","http://www.onsemi.com/pub/Collateral/MC14001B-D.PDF","Quad 2-Input NOR Gate","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Quad 2-Input NOR Gate","NOR","4","3","18","100","2.25","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC14001B","NLV14001BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14001BDR2G","http://www.onsemi.com/pub/Collateral/MC14001B-D.PDF","Quad 2-Input NOR Gate","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Quad 2-Input NOR Gate","NOR","4","3","18","100","2.25","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC14001B","NLV14001BDTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14001BDTR2G","http://www.onsemi.com/pub/Collateral/MC14001B-D.PDF","Quad 2-Input NOR Gate","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Quad 2-Input NOR Gate","NOR","4","3","18","100","2.25","SOIC-14
TSSOP-14"
