"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","# of  Channels","Data  Rate(s)","Clk Rec","SH/  LH","Temp.  Range","Op  Pwr Sup/  Max Cur","Pkgs"
"exar","Communications-PDH-T3/E3-T3/E3 LIUs","XRT75R12","XRT75R12IB","http://www.exar.com/common/content/document.ashx?id=268&languageid=1033&type=datasheet&part=xrt75r12","http://www.exar.com/communications/pdh/t3-e3/t3-e3-lius/xrt75r12/","Multi-Channel Line Interface Unit (LIU) Family Desynchronizer and Jitter Attenuator with R³ Technology™","12","DS3, E3, STS-1","▪","n/a","Ind.","3V ±5%","TBGA-420"
"exar","Communications-PDH-T3/E3-T3/E3 LIUs","XRT75R12","XRT75R12IB-L","http://www.exar.com/common/content/document.ashx?id=268&languageid=1033&type=datasheet&part=xrt75r12","http://www.exar.com/communications/pdh/t3-e3/t3-e3-lius/xrt75r12/","Multi-Channel Line Interface Unit (LIU) Family Desynchronizer and Jitter Attenuator with R³ Technology™","12","DS3, E3, STS-1","▪","n/a","Ind.","3V ±5%","TBGA-420"
"exar","Communications-PDH-T3/E3-T3/E3 LIUs","XRT75L04","XRT75L04IV","http://www.exar.com/common/content/document.ashx?id=278&languageid=1033&type=datasheet&part=xrt75l04","http://www.exar.com/communications/pdh/t3-e3/t3-e3-lius/xrt75l04/","4-Channel E3/DS3/STS-1 Line Iinterface Unit with Jitter Attenuator","4","DS3, E3, STS-1","▪","n/a","Ind.","3V ±5%","TQFP-176"
"exar","Communications-PDH-T3/E3-T3/E3 LIUs","XRT75L04","XRT75L04IV-F","http://www.exar.com/common/content/document.ashx?id=278&languageid=1033&type=datasheet&part=xrt75l04","http://www.exar.com/communications/pdh/t3-e3/t3-e3-lius/xrt75l04/","4-Channel E3/DS3/STS-1 Line Iinterface Unit with Jitter Attenuator","4","DS3, E3, STS-1","▪","n/a","Ind.","3V ±5%","TQFP-176"
"exar","Communications-PDH-T3/E3-T3/E3 LIUs","XRT75L04","XRT75L04IVTR","http://www.exar.com/common/content/document.ashx?id=278&languageid=1033&type=datasheet&part=xrt75l04","http://www.exar.com/communications/pdh/t3-e3/t3-e3-lius/xrt75l04/","4-Channel E3/DS3/STS-1 Line Iinterface Unit with Jitter Attenuator","4","DS3, E3, STS-1","▪","n/a","Ind.","3V ±5%","TQFP-176"
"exar","Communications-PDH-T3/E3-T3/E3 LIUs","XRT75R03","XRT75R03IV","http://www.exar.com/common/content/document.ashx?id=15&languageid=1033&type=datasheet&part=xrt75r03","http://www.exar.com/communications/pdh/t3-e3/t3-e3-lius/xrt75r03/","Multi-Channel Line Interface Unit (LIU) Family Desynchronizer and Jitter Attenuator with R³ Technology™","3","DS3, E3, STS-1","▪","n/a","Ind.","3V ±5%","TQFP-128"
"exar","Communications-PDH-T3/E3-T3/E3 LIUs","XRT75R03","XRT75R03IV-F","http://www.exar.com/common/content/document.ashx?id=15&languageid=1033&type=datasheet&part=xrt75r03","http://www.exar.com/communications/pdh/t3-e3/t3-e3-lius/xrt75r03/","Multi-Channel Line Interface Unit (LIU) Family Desynchronizer and Jitter Attenuator with R³ Technology™","3","DS3, E3, STS-1","▪","n/a","Ind.","3V ±5%","TQFP-128"
"exar","Communications-PDH-T3/E3-T3/E3 LIUs","XRT75R03","XRT75R03IVTR","http://www.exar.com/common/content/document.ashx?id=15&languageid=1033&type=datasheet&part=xrt75r03","http://www.exar.com/communications/pdh/t3-e3/t3-e3-lius/xrt75r03/","Multi-Channel Line Interface Unit (LIU) Family Desynchronizer and Jitter Attenuator with R³ Technology™","3","DS3, E3, STS-1","▪","n/a","Ind.","3V ±5%","TQFP-128"
"exar","Communications-PDH-T3/E3-T3/E3 LIUs","XRT75R03","XRT75R03IVTR-F","http://www.exar.com/common/content/document.ashx?id=15&languageid=1033&type=datasheet&part=xrt75r03","http://www.exar.com/communications/pdh/t3-e3/t3-e3-lius/xrt75r03/","Multi-Channel Line Interface Unit (LIU) Family Desynchronizer and Jitter Attenuator with R³ Technology™","3","DS3, E3, STS-1","▪","n/a","Ind.","3V ±5%","TQFP-128"
"exar","Communications-PDH-T3/E3-T3/E3 LIUs","XRT75R03D","XRT75R03DIV","http://www.exar.com/common/content/document.ashx?id=20&languageid=1033&type=datasheet&part=xrt75r03d","http://www.exar.com/communications/pdh/t3-e3/t3-e3-lius/xrt75r03d/","Multi-Channel Line Interface Unit (LIU) Family Desynchronizer and Jitter Attenuator with R³ Technology™","3","DS3, E3, STS-1","▪","n/a","Ind.","3V ±5%","TQFP-128"
"exar","Communications-PDH-T3/E3-T3/E3 LIUs","XRT75R03D","XRT75R03DIV-F","http://www.exar.com/common/content/document.ashx?id=20&languageid=1033&type=datasheet&part=xrt75r03d","http://www.exar.com/communications/pdh/t3-e3/t3-e3-lius/xrt75r03d/","Multi-Channel Line Interface Unit (LIU) Family Desynchronizer and Jitter Attenuator with R³ Technology™","3","DS3, E3, STS-1","▪","n/a","Ind.","3V ±5%","TQFP-128"
