"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","No. of  Tx","No. of  Rx","Data Rate  (kbps)","VCC (V)","Typ. ICC  (mA)","ESD  (kV)","Term","Supported  Protocols"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP505A","SP505ACF","http://www.exar.com/common/content/document.ashx?id=743&languageid=1033&type=datasheet&part=sp505a","http://www.exar.com/connectivity/transceiver/multiprotocol/sp505a/","WAN Multi-Mode Serial Transceiver","7","7","10000","5","-","2","V.35, V.11","RS232, RS449,EIA530, ,V.10, V.11, V.28, V.35, V.36,X.21"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP505A","SP505ACF-L","http://www.exar.com/common/content/document.ashx?id=743&languageid=1033&type=datasheet&part=sp505a","http://www.exar.com/connectivity/transceiver/multiprotocol/sp505a/","WAN Multi-Mode Serial Transceiver","7","7","10000","5","-","2","V.35, V.11","RS232, RS449,EIA530, ,V.10, V.11, V.28, V.35, V.36,X.21"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP505A","SP505ACM-L","http://www.exar.com/common/content/document.ashx?id=743&languageid=1033&type=datasheet&part=sp505a","http://www.exar.com/connectivity/transceiver/multiprotocol/sp505a/","WAN Multi-Mode Serial Transceiver","7","7","10000","5","-","2","V.35, V.11","RS232, RS449,EIA530, ,V.10, V.11, V.28, V.35, V.36,X.21"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","XR3160","XR3160ECU-F","http://www.exar.com/common/content/document.ashx?id=21310&languageid=1033&type=datasheet&part=xr3160","http://www.exar.com/connectivity/transceiver/multiprotocol/xr3160/","RS-232/RS-485/RS-422 Transceiver with 15KV ESD Protection","2/1","2/1","250/1M/20M","3.0 to 5.5","2.5","15","-","RS-232, RS-485, RS-422"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","XR3160","XR3160ECUTR-F","http://www.exar.com/common/content/document.ashx?id=21310&languageid=1033&type=datasheet&part=xr3160","http://www.exar.com/connectivity/transceiver/multiprotocol/xr3160/","RS-232/RS-485/RS-422 Transceiver with 15KV ESD Protection","2/1","2/1","250/1M/20M","3.0 to 5.5","2.5","15","-","RS-232, RS-485, RS-422"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","XR3160","XR3160EIU-F","http://www.exar.com/common/content/document.ashx?id=21310&languageid=1033&type=datasheet&part=xr3160","http://www.exar.com/connectivity/transceiver/multiprotocol/xr3160/","RS-232/RS-485/RS-422 Transceiver with 15KV ESD Protection","2/1","2/1","250/1M/20M","3.0 to 5.5","2.5","15","-","RS-232, RS-485, RS-422"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","XR3160","XR3160EIUTR-F","http://www.exar.com/common/content/document.ashx?id=21310&languageid=1033&type=datasheet&part=xr3160","http://www.exar.com/connectivity/transceiver/multiprotocol/xr3160/","RS-232/RS-485/RS-422 Transceiver with 15KV ESD Protection","2/1","2/1","250/1M/20M","3.0 to 5.5","2.5","15","-","RS-232, RS-485, RS-422"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP510E","SP510ECF-L","http://www.exar.com/common/content/document.ashx?id=21155&languageid=1033&type=datasheet&part=sp510e","http://www.exar.com/connectivity/transceiver/multiprotocol/sp510e/","Ultra High Speed Multiprotocol Transceiver","8","8","52000","5","-","15","Complete","RS232, RS449,EIA530, EIA530A,V.10, V.11, V.28, V.35, V.36, X.21"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP510E","SP510EEF-L","http://www.exar.com/common/content/document.ashx?id=21155&languageid=1033&type=datasheet&part=sp510e","http://www.exar.com/connectivity/transceiver/multiprotocol/sp510e/","Ultra High Speed Multiprotocol Transceiver","8","8","52000","5","-","15","Complete","RS232, RS449,EIA530, EIA530A,V.10, V.11, V.28, V.35, V.36, X.21"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP506","SP506CF","http://www.exar.com/common/content/document.ashx?id=779&languageid=1033&type=datasheet&part=sp506","http://www.exar.com/connectivity/transceiver/multiprotocol/sp506/","5V, Single Chip WAN Multi-Mode Serial Transceiver","7","7","20000","5","-","2","V.35, V.11","RS232, RS449,EIA530, ,V.10, V.11, V.28, V.35, V.36,X.21"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP506","SP506CF-L","http://www.exar.com/common/content/document.ashx?id=779&languageid=1033&type=datasheet&part=sp506","http://www.exar.com/connectivity/transceiver/multiprotocol/sp506/","5V, Single Chip WAN Multi-Mode Serial Transceiver","7","7","20000","5","-","2","V.35, V.11","RS232, RS449,EIA530, ,V.10, V.11, V.28, V.35, V.36,X.21"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP506","SP506CM-L","http://www.exar.com/common/content/document.ashx?id=779&languageid=1033&type=datasheet&part=sp506","http://www.exar.com/connectivity/transceiver/multiprotocol/sp506/","5V, Single Chip WAN Multi-Mode Serial Transceiver","7","7","20000","5","-","2","V.35, V.11","RS232, RS449,EIA530, ,V.10, V.11, V.28, V.35, V.36,X.21"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP504","SP504MCF","http://www.exar.com/common/content/document.ashx?id=1369&languageid=1033&type=datasheet&part=sp504","http://www.exar.com/connectivity/transceiver/multiprotocol/sp504/","WAN Multi-Mode Serial Transceiver","7","7","10000","5","-","0.5","Basic","RS232, RS449,EIA530, V.10, V.11, V.28, X.21, RS485, V.35"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP504","SP504MCF-L","http://www.exar.com/common/content/document.ashx?id=1369&languageid=1033&type=datasheet&part=sp504","http://www.exar.com/connectivity/transceiver/multiprotocol/sp504/","WAN Multi-Mode Serial Transceiver","7","7","10000","5","-","0.5","Basic","RS232, RS449,EIA530, V.10, V.11, V.28, X.21, RS485, V.35"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP504","SP504MCF-L/TR","http://www.exar.com/common/content/document.ashx?id=1369&languageid=1033&type=datasheet&part=sp504","http://www.exar.com/connectivity/transceiver/multiprotocol/sp504/","WAN Multi-Mode Serial Transceiver","7","7","10000","5","-","0.5","Basic","RS232, RS449,EIA530, V.10, V.11, V.28, X.21, RS485, V.35"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP504","SP504MCM-L","http://www.exar.com/common/content/document.ashx?id=1369&languageid=1033&type=datasheet&part=sp504","http://www.exar.com/connectivity/transceiver/multiprotocol/sp504/","WAN Multi-Mode Serial Transceiver","7","7","10000","5","-","0.5","Basic","RS232, RS449,EIA530, V.10, V.11, V.28, X.21, RS485, V.35"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP507","SP507CF","http://www.exar.com/common/content/document.ashx?id=790&languageid=1033&type=datasheet&part=sp507","http://www.exar.com/connectivity/transceiver/multiprotocol/sp507/","5V, Single Chip WAN Multi-Mode Serial Transceiver","7","7","20000","5","-","2","V.35, V.11","RS232, RS449,EIA530, EIA530A,V.10, V.11, V.28, V.35, V.36,X.21"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP507","SP507CF-L","http://www.exar.com/common/content/document.ashx?id=790&languageid=1033&type=datasheet&part=sp507","http://www.exar.com/connectivity/transceiver/multiprotocol/sp507/","5V, Single Chip WAN Multi-Mode Serial Transceiver","7","7","20000","5","-","2","V.35, V.11","RS232, RS449,EIA530, EIA530A,V.10, V.11, V.28, V.35, V.36,X.21"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP507","SP507CM-L","http://www.exar.com/common/content/document.ashx?id=790&languageid=1033&type=datasheet&part=sp507","http://www.exar.com/connectivity/transceiver/multiprotocol/sp507/","5V, Single Chip WAN Multi-Mode Serial Transceiver","7","7","20000","5","-","2","V.35, V.11","RS232, RS449,EIA530, EIA530A,V.10, V.11, V.28, V.35, V.36,X.21"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP510","SP510CM-L","http://www.exar.com/common/content/document.ashx?id=20025&languageid=1033&type=datasheet&part=sp510","http://www.exar.com/connectivity/transceiver/multiprotocol/sp510/","Ultra High Speed 52Mbps, 8 Channel Multi-Protocol Transceiver","8","8","52000","5","-","15","Complete","RS232, RS449,EIA530, EIA530A,V.10, V.11, V.28, V.35, V.36, X.21"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP510","SP510CM-L/TR","http://www.exar.com/common/content/document.ashx?id=20025&languageid=1033&type=datasheet&part=sp510","http://www.exar.com/connectivity/transceiver/multiprotocol/sp510/","Ultra High Speed 52Mbps, 8 Channel Multi-Protocol Transceiver","8","8","52000","5","-","15","Complete","RS232, RS449,EIA530, EIA530A,V.10, V.11, V.28, V.35, V.36, X.21"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP510","SP510EM-0A-EB","http://www.exar.com/common/content/document.ashx?id=20025&languageid=1033&type=datasheet&part=sp510","http://www.exar.com/connectivity/transceiver/multiprotocol/sp510/","Ultra High Speed 52Mbps, 8 Channel Multi-Protocol Transceiver","8","8","52000","5","-","15","Complete","RS232, RS449,EIA530, EIA530A,V.10, V.11, V.28, V.35, V.36, X.21"
