"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","# of  Channels","Data  Rate(s)","Clk Rec","SH/  LH","Op  Pwr Sup/  Max Cur","Pkgs"
"exar","Communications---PDH-T1/E1-E1 LIU","XRT83SL28","XRT83SL28IV","http://www.exar.com/common/content/document.ashx?id=42&languageid=1033&type=datasheet&part=xrt83sl28","http://www.exar.com/communications/pdh/t1-e1/e1-liu/xrt83sl28/","8-Channel E1 Short-Haul Line Interface Unit with JA & CDR","8","E1","▪","S","3.3V ±5%, TBD","TQFP-144"
"exar","Communications---PDH-T1/E1-E1 LIU","XRT83SL28","XRT83SL28IV-F","http://www.exar.com/common/content/document.ashx?id=42&languageid=1033&type=datasheet&part=xrt83sl28","http://www.exar.com/communications/pdh/t1-e1/e1-liu/xrt83sl28/","8-Channel E1 Short-Haul Line Interface Unit with JA & CDR","8","E1","▪","S","3.3V ±5%, TBD","TQFP-144"
"exar","Communications---PDH-T1/E1-E1 LIU","XRT82L24A","XRT82L24AIV","http://www.exar.com/common/content/document.ashx?id=454&languageid=1033&type=datasheet&part=xrt82l24a","http://www.exar.com/communications/pdh/t1-e1/e1-liu/xrt82l24a/","Quad E1 Line Transceiver with JA & CDR","4","E1","▪","S","3.3V ±5%, 228mA","TQFP-100"
"exar","Communications---PDH-T1/E1-E1 LIU","XRT82L24A","XRT82L24AIV-F","http://www.exar.com/common/content/document.ashx?id=454&languageid=1033&type=datasheet&part=xrt82l24a","http://www.exar.com/communications/pdh/t1-e1/e1-liu/xrt82l24a/","Quad E1 Line Transceiver with JA & CDR","4","E1","▪","S","3.3V ±5%, 228mA","TQFP-100"
"exar","Communications---PDH-T1/E1-E1 LIU","XRT5997","XRT5997IV-F","http://www.exar.com/common/content/document.ashx?id=223&languageid=1033&type=datasheet&part=xrt5997","http://www.exar.com/communications/pdh/t1-e1/e1-liu/xrt5997/","7-Channel E1 Line Interface Unit","7","E1","-","S","3.3V ±5%, 175mA","TQFP-100"
"exar","Communications---PDH-T1/E1-E1 LIU","XRT81L27","XRT81L27IV","http://www.exar.com/common/content/document.ashx?id=224&languageid=1033&type=datasheet&part=xrt81l27","http://www.exar.com/communications/pdh/t1-e1/e1-liu/xrt81l27/","7-Channel E1 Line Interface Unit with Clock Recovery","7","E1","▪","S","3.3V ±5%, 55mA","TQFP-128"
"exar","Communications---PDH-T1/E1-E1 LIU","XRT81L27","XRT81L27IV-F","http://www.exar.com/common/content/document.ashx?id=224&languageid=1033&type=datasheet&part=xrt81l27","http://www.exar.com/communications/pdh/t1-e1/e1-liu/xrt81l27/","7-Channel E1 Line Interface Unit with Clock Recovery","7","E1","▪","S","3.3V ±5%, 55mA","TQFP-128"
"exar","Communications---PDH-T1/E1-E1 LIU","XRT82D20","XRT82D20IW","http://www.exar.com/common/content/document.ashx?id=435&languageid=1033&type=datasheet&part=xrt82d20","http://www.exar.com/communications/pdh/t1-e1/e1-liu/xrt82d20/","Single Channel E1 Line Interface Unit with JA & CDR","1","E1","▪","S","3.3V ±5%, 58mA","SOJ-28"
"exar","Communications---PDH-T1/E1-E1 LIU","XRT82D20","XRT82D20IW-F","http://www.exar.com/common/content/document.ashx?id=435&languageid=1033&type=datasheet&part=xrt82d20","http://www.exar.com/communications/pdh/t1-e1/e1-liu/xrt82d20/","Single Channel E1 Line Interface Unit with JA & CDR","1","E1","▪","S","3.3V ±5%, 58mA","SOJ-28"
"exar","Communications---PDH-T1/E1-E1 LIU","XRT82D20","XRT82D20IWTR","http://www.exar.com/common/content/document.ashx?id=435&languageid=1033&type=datasheet&part=xrt82d20","http://www.exar.com/communications/pdh/t1-e1/e1-liu/xrt82d20/","Single Channel E1 Line Interface Unit with JA & CDR","1","E1","▪","S","3.3V ±5%, 58mA","SOJ-28"
"exar","Communications---PDH-T1/E1-E1 LIU","XRT82D20","XRT82D20IWTR-F","http://www.exar.com/common/content/document.ashx?id=435&languageid=1033&type=datasheet&part=xrt82d20","http://www.exar.com/communications/pdh/t1-e1/e1-liu/xrt82d20/","Single Channel E1 Line Interface Unit with JA & CDR","1","E1","▪","S","3.3V ±5%, 58mA","SOJ-28"
"exar","Communications---PDH-T1/E1-E1 LIU","XRT59L921","XRT59L921IB","http://www.exar.com/common/content/document.ashx?id=154&languageid=1033&type=datasheet&part=xrt59l921","http://www.exar.com/communications/pdh/t1-e1/e1-liu/xrt59l921/","21-Channel E1 Line Interface Unit","21","E1","-","S","3.3V, 300ma","STBGA-316"
"exar","Communications---PDH-T1/E1-E1 LIU","XRT83VSH28","XRT83VSH28IB","http://www.exar.com/common/content/document.ashx?id=310&languageid=1033&type=datasheet&part=xrt83vsh28","http://www.exar.com/communications/pdh/t1-e1/e1-liu/xrt83vsh28/","8-Channel E1 Short-Haul Line Interface Unit with JA & CDR","8","E1","▪","S","3.3V ±5%, TBD","BGA-225"
"exar","Communications---PDH-T1/E1-E1 LIU","XRT83VSH28","XRT83VSH28IB-F","http://www.exar.com/common/content/document.ashx?id=310&languageid=1033&type=datasheet&part=xrt83vsh28","http://www.exar.com/communications/pdh/t1-e1/e1-liu/xrt83vsh28/","8-Channel E1 Short-Haul Line Interface Unit with JA & CDR","8","E1","▪","S","3.3V ±5%, TBD","BGA-225"
"exar","Communications---PDH-T1/E1-E1 LIU","XRT59L91","XRT59L91ID-F","http://www.exar.com/common/content/document.ashx?id=112&languageid=1033&type=datasheet&part=xrt59l91","http://www.exar.com/communications/pdh/t1-e1/e1-liu/xrt59l91/","Single Chip E1 Line Interface Unit","1","E1","-","S","3.3V ±5%, 56mA","SOIC-16"
