"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","CPU  Interface","No. of  GPIOs","Interrupt  Output Pin","Reset  Input Pin","Integrated  Level Shifters","Internal Pull-Up  Resistors Enabled  at Power-up","5V  Tol  Inputs","Sup V","Package Type"
"exar","Connectivity-UART & Bridging Solutions-Bridging Solutions-I2C GPIO Expanders","XRA1206","XRA1206IG16-0A-EB","http://www.exar.com/common/content/document.ashx?id=20783&languageid=1033&type=datasheet&part=xra1206","http://www.exar.com/connectivity/uart-and-bridging-solutions/bridging-solutions/i2c-gpio-expanders/xra1206/","8-Bit I²C/SMBus GPIO Expander with Integrated Level Shifters","I2C","8","▪","▪","▪","-","▪","1.65V - 3.6V","QFN-16, TSSOP-16"
"exar","Connectivity-UART & Bridging Solutions-Bridging Solutions-I2C GPIO Expanders","XRA1206","XRA1206IG16-F","http://www.exar.com/common/content/document.ashx?id=20783&languageid=1033&type=datasheet&part=xra1206","http://www.exar.com/connectivity/uart-and-bridging-solutions/bridging-solutions/i2c-gpio-expanders/xra1206/","8-Bit I²C/SMBus GPIO Expander with Integrated Level Shifters","I2C","8","▪","▪","▪","-","▪","1.65V - 3.6V","QFN-16, TSSOP-16"
"exar","Connectivity-UART & Bridging Solutions-Bridging Solutions-I2C GPIO Expanders","XRA1206","XRA1206IG16TR-F","http://www.exar.com/common/content/document.ashx?id=20783&languageid=1033&type=datasheet&part=xra1206","http://www.exar.com/connectivity/uart-and-bridging-solutions/bridging-solutions/i2c-gpio-expanders/xra1206/","8-Bit I²C/SMBus GPIO Expander with Integrated Level Shifters","I2C","8","▪","▪","▪","-","▪","1.65V - 3.6V","QFN-16, TSSOP-16"
"exar","Connectivity-UART & Bridging Solutions-Bridging Solutions-I2C GPIO Expanders","XRA1206","XRA1206IL16-0A-EB","http://www.exar.com/common/content/document.ashx?id=20783&languageid=1033&type=datasheet&part=xra1206","http://www.exar.com/connectivity/uart-and-bridging-solutions/bridging-solutions/i2c-gpio-expanders/xra1206/","8-Bit I²C/SMBus GPIO Expander with Integrated Level Shifters","I2C","8","▪","▪","▪","-","▪","1.65V - 3.6V","QFN-16, TSSOP-16"
"exar","Connectivity-UART & Bridging Solutions-Bridging Solutions-I2C GPIO Expanders","XRA1206","XRA1206IL16-F","http://www.exar.com/common/content/document.ashx?id=20783&languageid=1033&type=datasheet&part=xra1206","http://www.exar.com/connectivity/uart-and-bridging-solutions/bridging-solutions/i2c-gpio-expanders/xra1206/","8-Bit I²C/SMBus GPIO Expander with Integrated Level Shifters","I2C","8","▪","▪","▪","-","▪","1.65V - 3.6V","QFN-16, TSSOP-16"
"exar","Connectivity-UART & Bridging Solutions-Bridging Solutions-I2C GPIO Expanders","XRA1206","XRA1206IL16TR-F","http://www.exar.com/common/content/document.ashx?id=20783&languageid=1033&type=datasheet&part=xra1206","http://www.exar.com/connectivity/uart-and-bridging-solutions/bridging-solutions/i2c-gpio-expanders/xra1206/","8-Bit I²C/SMBus GPIO Expander with Integrated Level Shifters","I2C","8","▪","▪","▪","-","▪","1.65V - 3.6V","QFN-16, TSSOP-16"
"exar","Connectivity-UART & Bridging Solutions-Bridging Solutions-I2C GPIO Expanders","XRA1207","XRA1207IG24-0A-EB","http://www.exar.com/common/content/document.ashx?id=20784&languageid=1033&type=datasheet&part=xra1207","http://www.exar.com/connectivity/uart-and-bridging-solutions/bridging-solutions/i2c-gpio-expanders/xra1207/","16-Bit I²C/SMBus GPIO Expander with Integrated Level Shifters","I2C","16","▪","▪","▪","-","▪","1.65V - 3.6V","QFN-24, TSSOP-24"
"exar","Connectivity-UART & Bridging Solutions-Bridging Solutions-I2C GPIO Expanders","XRA1207","XRA1207IG24-F","http://www.exar.com/common/content/document.ashx?id=20784&languageid=1033&type=datasheet&part=xra1207","http://www.exar.com/connectivity/uart-and-bridging-solutions/bridging-solutions/i2c-gpio-expanders/xra1207/","16-Bit I²C/SMBus GPIO Expander with Integrated Level Shifters","I2C","16","▪","▪","▪","-","▪","1.65V - 3.6V","QFN-24, TSSOP-24"
"exar","Connectivity-UART & Bridging Solutions-Bridging Solutions-I2C GPIO Expanders","XRA1207","XRA1207IG24TR-F","http://www.exar.com/common/content/document.ashx?id=20784&languageid=1033&type=datasheet&part=xra1207","http://www.exar.com/connectivity/uart-and-bridging-solutions/bridging-solutions/i2c-gpio-expanders/xra1207/","16-Bit I²C/SMBus GPIO Expander with Integrated Level Shifters","I2C","16","▪","▪","▪","-","▪","1.65V - 3.6V","QFN-24, TSSOP-24"
"exar","Connectivity-UART & Bridging Solutions-Bridging Solutions-I2C GPIO Expanders","XRA1207","XRA1207IL24-0A-EB","http://www.exar.com/common/content/document.ashx?id=20784&languageid=1033&type=datasheet&part=xra1207","http://www.exar.com/connectivity/uart-and-bridging-solutions/bridging-solutions/i2c-gpio-expanders/xra1207/","16-Bit I²C/SMBus GPIO Expander with Integrated Level Shifters","I2C","16","▪","▪","▪","-","▪","1.65V - 3.6V","QFN-24, TSSOP-24"
"exar","Connectivity-UART & Bridging Solutions-Bridging Solutions-I2C GPIO Expanders","XRA1207","XRA1207IL24-F","http://www.exar.com/common/content/document.ashx?id=20784&languageid=1033&type=datasheet&part=xra1207","http://www.exar.com/connectivity/uart-and-bridging-solutions/bridging-solutions/i2c-gpio-expanders/xra1207/","16-Bit I²C/SMBus GPIO Expander with Integrated Level Shifters","I2C","16","▪","▪","▪","-","▪","1.65V - 3.6V","QFN-24, TSSOP-24"
"exar","Connectivity-UART & Bridging Solutions-Bridging Solutions-I2C GPIO Expanders","XRA1207","XRA1207IL24TR-F","http://www.exar.com/common/content/document.ashx?id=20784&languageid=1033&type=datasheet&part=xra1207","http://www.exar.com/connectivity/uart-and-bridging-solutions/bridging-solutions/i2c-gpio-expanders/xra1207/","16-Bit I²C/SMBus GPIO Expander with Integrated Level Shifters","I2C","16","▪","▪","▪","-","▪","1.65V - 3.6V","QFN-24, TSSOP-24"
"exar","Connectivity-UART & Bridging Solutions-Bridging Solutions-I2C GPIO Expanders","XRA1203","XRA1203IG24-0A-EB","http://www.exar.com/common/content/document.ashx?id=20782&languageid=1033&type=datasheet&part=xra1203","http://www.exar.com/connectivity/uart-and-bridging-solutions/bridging-solutions/i2c-gpio-expanders/xra1203/","16-Bit I²C/SMBus GPIO Expander with Reset","I2C","16","▪","▪","-","-","▪","1.65V - 3.6V","QFN-24, TSSOP-24"
