"brand","Series","FileType","Title","Url"
NXP,MCU---Cortex_M3---LPC1700,最小系统与快速入门,【硬件资料】LPC175x最小系统电路与器件封装库,http://www.zlgmcu.com/NXP/LPC1000/ds/LPC175x_ku.zip
NXP,MCU---Cortex_M3---LPC1700,最小系统与快速入门,【硬件资料】LPC176x最小系统电路与器件封装库,http://www.zlgmcu.com/NXP/LPC1000/ds/LPC176x_ku.zip
NXP,MCU---Cortex_M3---LPC1700,最小系统与快速入门,【入门书籍】《深入浅出Cortex-M3--LPC175X（上册）》,http://www.zlgmcu.com/download/downs.asp?ID=6416
NXP,MCU---Cortex_M3---LPC1700,最小系统与快速入门,【入门书籍】《深入浅出Cortex-M3--LPC175X（下册）》,http://www.zlgmcu.com/download/downs.asp?ID=6417
NXP,MCU---Cortex_M3---LPC1700,最小系统与快速入门,【硬件资料】EasyCortex M3-1752 V2.00 原理图及封装,http://www.zlgmcu.com/NXP/LPC1000/lpc1700/EasyCortexM3-1752_ku.zip
NXP,MCU---Cortex_M3---LPC1700,最小系统与快速入门,【硬件资料】开发板硬件参考资料,http://www.zlgmcu.com/NXP/LPC1000/ds/deve_board_resources.rar
NXP,MCU---Cortex_M3---LPC1700,最小系统与快速入门,【配套例程】KEIL工程模板及配套例程,http://www.zlgmcu.com/NXP/LPC1000/ds/KEIL_PT_DEMO.rar
NXP,MCU---Cortex_M3---LPC1700,最小系统与快速入门,【用户手册】EasyCortex M3-1752用户使用手册V1.02,http://www.zlgmcu.com/download/downs.asp?ID=6408
NXP,MCU---Cortex_M3---LPC1700,工具与软件,【工具软件】串口调试软件EasyARM,http://www.zlgmcu.com/download/downs.asp?ID=6404
NXP,MCU---Cortex_M3---LPC1700,工具与软件,【工具软件】串口下载软件FlashMagic v7.02,http://www.zlgmcu.com/NXP/LPC1000/ds/SF_FlashMagic.rar
NXP,MCU---Cortex_M3---LPC1700,工具与软件,【工具软件】LPC177x_8x_PinMux,http://www.zlgmcu.com/NXP/LPC1000/ds/LPC177x_8x_PinMux.rar
NXP,MCU---Cortex_M3---LPC1700,工具与软件,【工具软件】LCD带宽计算工具,http://www.lpcware.com/content/nxpfile/lcd-bus-bandwidth-calculator-lpc177x8x
NXP,MCU---Cortex_M3---LPC1700,工具与软件,【工具软件】代码校验工具,http://www.lpcware.com/content/nxpfile/lpc177x8x-checksum-insertion-program
NXP,MCU---Cortex_M3---LPC1700,工具与软件,【工具软件】PLL计算工具,http://www.lpcware.com/content/nxpfile/lpc17xx-pll0-calculator
NXP,MCU---Cortex_M3---LPC1700,工具与软件,【仿真软件】板载USB仿真器软件,http://www.zlg.cn/uploadfiles/rar/20130609043508281.rar
NXP,MCU---Cortex_M3---LPC1700,技术应用文档,【应用文档】LPC1700 SPI/SSP访问SD/MMC卡,http://www.zlgmcu.com/NXP/LPC1000/ds/AN11070.zip
NXP,MCU---Cortex_M3---LPC1700,技术应用文档,【应用文档】AES加密及解密的软件实现,http://www.zlgmcu.com/download/downs.asp?ID=6501
NXP,MCU---Cortex_M3---LPC1700,技术应用文档,【应用文档】emWin使用指南,http://www.zlgmcu.com/download/downs.asp?ID=6519
NXP,MCU---Cortex_M3---LPC1700,技术应用文档,【应用文档】emWin移植指南,http://www.zlgmcu.com/download/downs.asp?ID=6518
NXP,MCU---Cortex_M3---LPC1700,技术应用文档,【应用文档】Full-speed USB使用指南,http://www.zlgmcu.com/download/downs.asp?ID=6503
NXP,MCU---Cortex_M3---LPC1700,技术应用文档,【应用文档】I2C Bootloader,http://www.zlgmcu.com/NXP/LPC1000/ds/AN11258.zip
NXP,MCU---Cortex_M3---LPC1700,技术应用文档,【应用文档】LPC1700 DMA应用之Mem到DAC的数据传输,http://www.zlgmcu.com/NXP/LPC1000/ds/AN10917.zip
NXP,MCU---Cortex_M3---LPC1700,技术应用文档,【应用文档】LPC1700 EFSL和FatFs移植 ,http://www.zlgmcu.com/NXP/LPC1000/ds/AN10916.zip
NXP,MCU---Cortex_M3---LPC1700,技术应用文档,【应用文档】LPC1700 IAP使用指南,http://www.zlgmcu.com/NXP/LPC1000/ds/AN11071.zip
NXP,MCU---Cortex_M3---LPC1700,技术应用文档,【应用文档】LPC1700 MP3播放器解决方案,http://www.zlgmcu.com/NXP/LPC1000/ds/AN11178.zip
NXP,MCU---Cortex_M3---LPC1700,技术应用文档,【应用文档】LPC1700 Power Modes使用指南,http://www.zlgmcu.com/NXP/LPC1000/ds/AN10915.zip
NXP,MCU---Cortex_M3---LPC1700,技术应用文档,【应用文档】LPC1700 USB Bootloader,http://www.zlgmcu.com/NXP/LPC1000/ds/AN10866.zip
NXP,MCU---Cortex_M3---LPC1700,技术应用文档,【应用文档】LPC1700/LCP1300 DSP库介绍 ,http://www.zlgmcu.com/NXP/LPC1000/ds/AN10913_CM3_DSP.zip
NXP,MCU---Cortex_M3---LPC1700,技术应用文档,【应用文档】LPC1700符合IEC 60601-1-8标准的声音报警器的实现,http://www.zlgmcu.com/NXP/LPC1000/ds/AN10875.zip
NXP,MCU---Cortex_M3---LPC1700,技术应用文档,【应用文档】LPC1700无刷直流电机控制,http://www.zlgmcu.com/NXP/LPC1000/ds/AN10898.zip
NXP,MCU---Cortex_M3---LPC1700,技术应用文档,【应用文档】LPC1700系列快速入门指导,http://www.zlgmcu.com/download/downs.asp?ID=6507
NXP,MCU---Cortex_M3---LPC1700,技术应用文档,【应用文档】LPC1700以太网MII管理,http://www.zlgmcu.com/NXP/LPC1000/ds/AN10859.zip
NXP,MCU---Cortex_M3---LPC1700,技术应用文档,【应用文档】LPC175x/6x 12位ADC设计指南,http://www.zlgmcu.com/NXP/LPC1000/ds/AN10974_12bit_ADC_design.zip
NXP,MCU---Cortex_M3---LPC1700,技术应用文档,【应用文档】LPC175x/6x Speex应用,http://www.zlgmcu.com/NXP/LPC1000/ds/AN11085.zip
NXP,MCU---Cortex_M3---LPC1700,技术应用文档,【应用文档】LPC175x/6x电容触摸感应方案,http://www.zlgmcu.com/NXP/LPC1000/ds/AN11095.zip
NXP,MCU---Cortex_M3---LPC1700,技术应用文档,【应用文档】PMBus 软件堆栈的实现,http://www.zlgmcu.com/NXP/LPC1000/ds/AN11318.zip
NXP,MCU---Cortex_M3---LPC1700,技术应用文档,【应用文档】SPI Bootloader,http://www.zlgmcu.com/NXP/LPC1000/ds/AN11257.zip
NXP,MCU---Cortex_M3---LPC1700,技术应用文档,【应用文档】表面贴装回流焊指导,http://www.zlgmcu.com/download/downs.asp?ID=6486
NXP,MCU---Cortex_M3---LPC1700,技术应用文档,【应用文档】基于LPC系列单片机M3内核的IEC60335 B类库 ,http://www.zlgmcu.com/NXP/LPC1000/ds/AN10918_ClassB_CM3.zip
NXP,MCU---Cortex_M3---LPC1700,技术应用文档,【应用文档】LPC176x5x系列微控制器12位ADC设计指导,http://www.zlgmcu.com/NXP/LPC1000/lpc1700/LPC176x5x_ADCdesign.zip
NXP,MCU---Cortex_M3---LPC1700,技术应用文档,【应用文档】emWin图形库用户手册,http://www.zlgmcu.com/download/downs.asp?ID=5703
NXP,MCU---Cortex_M3---LPC1700,技术应用文档,【应用文档】emWin图形库用户手册(英),http://www.zlgmcu.com/download/downs.asp?ID=5702
NXP,MCU---Cortex_M3---LPC1700,技术应用文档,【应用文档】NXP微控制器BGA封装的PCB布线指南,http://www.zlgmcu.com/download/downs.asp?ID=5701
NXP,MCU---Cortex_M3---LPC1700,技术应用文档,【应用文档】NXP芯片表面贴装—回流焊技术,http://www.zlgmcu.com/download/downs.asp?ID=5700
NXP,MCU---Cortex_M3---LPC1700,技术应用文档,【应用文档】LPC1700系列Cortex-M3内核微控制器教学课件,http://www.zlgmcu.com/nxp/lpc1000/ds/LPC1700_ppt_all.rar
NXP,MCU---Cortex_M3---LPC1700,技术应用文档,【应用文档】LPC1700以太网（MIIM）接口应用笔记(英),http://www.zlgmcu.com/download/downs.asp?ID=3929
NXP,MCU---Cortex_M3---LPC1700,技术应用文档,【应用文档】NXP Cortex-M3 LPC1700系列微控制器简介,http://www.zlgmcu.com/download/downs.asp?ID=3875
NXP,MCU---Cortex_M0/M0+---LPC800,最小系统与快速入门,【配套例程】EasyARM-824M0+配套实验例程V1.01,http://www.zlgmcu.com/download/downs.asp?ID=6629
NXP,MCU---Cortex_M0/M0+---LPC800,最小系统与快速入门,【快速入门】EasyARM-824M0+开发工具快速入门 V1.00,http://www.zlgmcu.com/NXP/LPC800/pdf/EasyARM_824M0_fast.pdf
NXP,MCU---Cortex_M0/M0+---LPC800,最小系统与快速入门,【硬件资料】EasyARM-824M0+硬件使用手册V1.00,http://www.zlgmcu.com/NXP/LPC800/pdf/EasyARM_824M0_um.pdf
NXP,MCU---Cortex_M0/M0+---LPC800,最小系统与快速入门,【硬件资料】LPC81x系列微控制器最小系统原理图,http://www.zlgmcu.com/download/downs.asp?ID=5922
NXP,MCU---Cortex_M0/M0+---LPC800,最小系统与快速入门,【硬件资料】EasyARM-824M0+开发板原理图,http://www.zlgmcu.com/NXP/LPC800/pdf/EasyARM-824M0.pdf
NXP,MCU---Cortex_M0/M0+---LPC800,最小系统与快速入门,【硬件资料】LPC82x系列微控制器最小系统原理图及封装库,http://www.zlgmcu.com/download/downs.asp?ID=6622
NXP,MCU---Cortex_M0/M0+---LPC800,最小系统与快速入门,【配套例程】LPC81x系列微控制器实验例程 V1.10,http://www.zlgmcu.com/download/downs.asp?ID=6061
NXP,MCU---Cortex_M0/M0+---LPC800,最小系统与快速入门,【配套教材】《新编计算机基础教程》-基于TinyM0+实践与制作,http://www.zlgmcu.com/download/downs.asp?ID=6567
